,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,3.847588003535168e-06,9.296821988988683e-07,9.983362652463388e-07,-1.1614788053086856e-06,-2.7512587549367478e-08,-5.957802637566096e-10,-6.007283720765356e-10,5.279081914040056e-09,-4.138050960685464e-08,-0.0006433713839266741,3.747153794602374e-06,3.812646576197965e-06,4.50107410881495e-05,0.00024735695950921395,-0.28481249306216416,3.2071559048558834e-05,2.2579462599242832e-05,-5.519223190654197,0.1312998413826525,-9.2625777051168e-07,-3.2233175266446225e-07,-6.536170378429524e-07,-8.163609555760827e-05,-2.526790892399764e-05
dB/dt tg02,2.869900048786623e-06,1.6888133245344618e-06,1.7438001019767543e-06,-2.949014574417295e-06,-1.2426790827781409e-08,-2.4313990737697395e-10,-3.5277842393754845e-10,6.904270147504897e-09,-2.85503474884257e-08,-0.00041676607951139367,1.4636649021956085e-06,2.255904727991029e-06,-9.58806511116196e-05,0.00016775628071530088,-0.238295718845094,2.6723369249756336e-05,1.903546119804977e-05,-4.484896334695416,0.09024711284731601,-1.707766700934575e-07,-3.2367226857322936e-08,-3.5268938455312104e-07,-8.01457700293309e-05,-1.7461214123488655e-05
dB/dt tg03,8.009467097086666e-07,4.923838081885476e-07,5.14139072851861e-07,-6.608514752774691e-07,8.551388482727532e-10,-1.725358178218483e-10,-1.8722014967765947e-10,2.666388601128261e-09,-1.909341620284493e-08,-0.0002954428737622291,9.936620722911832e-07,1.1460812752079422e-06,1.1256597225731453e-05,0.00010796225231681225,-0.1937332967040237,2.2974666892267657e-05,1.641960111334126e-05,-2.2190009833551407,0.06033507347001918,3.351805004750165e-07,3.513119033201069e-09,-1.4665694461561714e-07,-3.635227727711038e-05,-1.169735677306019e-05
dB/dt tg04,-4.3834510364199584e-07,-3.278424273271234e-07,-3.2765962672653174e-07,8.937228293476707e-07,7.252821700407711e-09,-1.3138146946085412e-10,-8.110702189811242e-11,-3.1401593748191686e-10,-1.1613820967321527e-08,-0.00019751374373978579,7.288970494240993e-07,4.388644923639835e-07,8.101523854077585e-05,6.210236680722149e-05,-0.14569275706237356,1.9264653169306535e-05,1.3759927926502597e-05,-0.6422547980760601,0.03666217899164822,5.881103675014083e-07,1.1271591261224579e-08,-2.1928693141184033e-08,-5.382664807808104e-06,-7.129263540668223e-06
dB/dt tg05,2.48946941233092e-07,3.4817534269370196e-07,3.565975480345901e-07,-5.577745272969026e-07,2.831703265428265e-09,-3.6894911893124937e-11,-5.747173354443989e-11,1.5236175391859694e-09,-7.740032941254304e-09,-0.00011994389936402958,1.4487292708663459e-07,3.2955697551377284e-07,-1.4680745081105663e-05,4.135722791299993e-05,-0.10427128706930323,1.5865022350374726e-05,1.1296076576681236e-05,-0.9438921022839445,0.024211024057865883,4.922045935234827e-07,7.165445363499751e-08,-1.1873473487093183e-08,-1.7169226881514757e-05,-4.752547221398596e-06
dB/dt tg06,2.7053574130357803e-07,3.698069066163512e-07,3.7704007436250146e-07,-6.473299886832866e-07,1.8468171777764472e-09,-1.126731010607904e-11,-3.7937208693280807e-11,1.4432960734433844e-09,-5.2942744742863875e-09,-8.037790850314181e-05,-7.227041197126085e-09,2.1371157018461253e-07,-2.6036787497914978e-05,2.7831351487400815e-05,-0.07762359602861686,1.359228268246507e-05,9.620476311287132e-06,-0.7564510048697667,0.01645305567798114,4.3464843916545586e-07,7.69023706961832e-08,1.807938389460499e-09,-1.4749877650853426e-05,-3.2517349090409274e-06
dB/dt tg07,-3.371016610216663e-08,9.18645435352794e-08,9.348705727236281e-08,-1.0847905021016687e-07,2.72822030088357e-09,-1.5415972293529756e-11,-1.842763707281548e-11,4.803777808861137e-10,-3.5277124472107494e-09,-5.870825006834586e-05,2.5672683101733583e-08,8.211900007639856e-08,1.3513239924628443e-06,1.7579645284970235e-05,-0.05964219918572303,1.1976559013898326e-05,8.415505728332337e-06,-0.33596889619450926,0.010919101142830718,4.1359599734482127e-07,5.978966222805343e-08,2.0440411238621796e-08,-5.7187554452322186e-06,-2.1687440063384187e-06
dB/dt tg08,-1.686354513068052e-07,-4.7659128530531666e-08,-4.879903322029911e-08,1.583788307835941e-07,2.7486171106111906e-09,-1.4399803867430266e-11,-6.101669170056851e-12,-3.914058834269479e-11,-2.1675643431155818e-09,-3.992908529690893e-05,2.7839319754939738e-08,2.970741951771115e-09,1.3917721804459826e-05,1.0047756290203556e-05,-0.043063403699224706,1.0319162854115456e-05,7.1754296168990075e-06,-0.08893770949826135,0.006662530125756104,3.579932361110878e-07,4.743042932412244e-08,2.8903423289245906e-08,-6.59848259101589e-07,-1.3336337066037023e-06
dB/dt tg09,-7.120811432167817e-08,9.714902625756393e-09,9.38564912660848e-09,2.069095676151591e-08,1.6548986519599841e-09,-5.267533709587201e-12,-3.830506188611897e-12,9.622448579730317e-11,-1.3738167686344206e-09,-2.5091389230174815e-05,-1.9788290663128106e-08,-2.814938012342561e-09,4.07085481575795e-06,6.208495352644597e-06,-0.029533354081274537,8.748566413930674e-06,5.9989431500095066e-06,-0.09273938157628671,0.004174107921820489,2.6973226416916474e-07,4.367147483781e-08,2.3793914425809825e-08,-1.3479127795434008e-06,-8.445414022958991e-07
dB/dt tg10,2.9559485857781063e-08,7.75052992873351e-08,7.822413651362061e-08,-1.3597492298960138e-07,7.691289608039298e-10,1.2234280119457062e-12,-4.6961021974155834e-12,2.968952223617371e-10,-1.004035736730902e-09,-1.6846952649173053e-05,-5.3323039213296663e-08,1.0214089009800557e-08,-5.969068908841571e-06,4.641898146456779e-06,-0.02151979869715884,7.662655632222382e-06,5.1849401932370165e-06,-0.14204513576376593,0.0030199125439753084,2.0302794149483073e-07,4.146351315490791e-08,1.7071595232738507e-08,-2.8127057891308318e-06,-6.161186352899723e-07
dB/dt tg11,1.9041898016067464e-08,5.6337432205755436e-08,5.675485590309248e-08,-9.856269715277714e-08,5.953820623201169e-10,1.4010930276130738e-12,-2.970631136072264e-12,2.143356378341536e-10,-7.106049915098673e-10,-1.2222445703429368e-05,-4.9412563416121436e-08,1.1632341255468284e-09,-4.3873068631904066e-06,3.1854477584010234e-06,-0.016329463141065207,6.866283377920473e-06,4.587313917079909e-06,-0.10113982649750257,0.0021178383786576976,1.6546441649023785e-07,3.572819670643999e-08,1.5755722005305966e-08,-2.0046570292468113e-06,-4.3564990060428444e-07
dB/dt tg12,-4.264196234393972e-08,-7.64754491530084e-09,-8.167927565850683e-09,3.1435148877799676e-08,7.119847331082637e-10,-1.1967372313343656e-12,1.956776483287505e-13,-7.657351013123718e-12,-4.061625148092581e-10,-8.48380099267591e-06,-2.7950467244430665e-08,-1.9089911429435794e-08,2.6451113108488376e-06,1.5586441420648235e-06,-0.011550682828747126,6.020228354142203e-06,3.953226836624802e-06,-0.013497342562741217,0.0011909029312632293,1.3389534038523348e-07,2.723371265955476e-08,1.649178561614844e-08,-5.668138024998727e-08,-2.488975491236469e-07
dB/dt tg13,-3.162826275264177e-08,-7.786838982899426e-09,-8.250515379521198e-09,2.6570104649220432e-08,4.896464573125948e-10,-5.686204612671893e-13,5.315818954735768e-13,-1.553479027496133e-11,-2.4403522450081273e-10,-5.425492093770088e-06,-2.6565227356696893e-08,-1.8273438965068e-08,2.038763402967746e-06,8.560437986346243e-07,-0.007766479032243603,5.192652161859365e-06,3.336960298702027e-06,-0.0041441379972037866,0.0007014548454197212,9.741117383611463e-08,2.2142872654052264e-08,1.3439661123631396e-08,6.636111204917455e-08,-1.4915910434090032e-07
dB/dt tg14,-3.294341427841551e-09,1.0706680261950579e-08,1.0545000453402292e-08,-1.6033352874354268e-08,2.457200222851429e-10,7.614668812477311e-13,-9.693288524745597e-14,4.210682645927614e-11,-1.8183515628505224e-10,-3.645594435200504e-06,-3.101902238694756e-08,-1.1268202865684375e-08,-5.933392160089368e-07,6.821298810264796e-07,-0.005570715887479411,4.593348682986052e-06,2.8942490096927353e-06,-0.021032699668813656,0.0005171994214552179,7.126802503680739e-08,1.9476669786754906e-08,1.0134765257871899e-08,-3.8924103766559496e-07,-1.107737917181897e-07
dB/dt tg15,2.8692625330615145e-09,1.2473804155950909e-08,1.2340220927308616e-08,-2.17969877088585e-08,1.5455855693834187e-10,9.997078715160237e-13,-1.3451129445140055e-13,4.6184015398435433e-11,-1.3444724560969983e-10,-2.628397798008942e-06,-2.9690894546978e-08,-9.424302886824306e-09,-1.030930757474926e-06,5.048913943344307e-07,-0.004189114482899823,4.141431501728763e-06,2.563062736000812e-06,-0.020504883692043056,0.0003779885376897846,5.538911054114584e-08,1.6889653721811477e-08,8.384656578872254e-09,-4.0869224695919243e-07,-8.168529237209046e-08
dB/dt tg16,-2.664131027921846e-09,4.476776709971581e-09,4.276860456542665e-09,-6.299720272473194e-09,1.2951332594320689e-10,6.236370100501955e-13,1.846530899421348e-13,1.7858518920661393e-11,-8.097358515848397e-11,-1.7625430502707163e-06,-2.4190766434741255e-08,-1.0173649380684384e-08,-2.1930981189339254e-07,2.668282822049572e-07,-0.0028825607592751937,3.619487283057063e-06,2.1847588864237807e-06,-0.008944773201349508,0.00022171483740929113,4.09703688490686e-08,1.346836488880321e-08,7.023849967267173e-09,-1.60820941682537e-07,-4.899303159285726e-08
dB/dt tg17,-8.860375644380396e-09,-3.248679028543779e-09,-3.471316944838891e-09,9.297290133524039e-09,1.2292347938304165e-10,1.957387191500815e-13,4.663572188717461e-13,-9.353034653912751e-12,-4.1640053312362175e-11,-1.1608000502373987e-06,-1.8580277396875958e-08,-1.081527561736746e-08,6.3342813002088e-07,8.955718916780564e-08,-0.001912782807765625,3.1181268977720946e-06,1.8275237138382952e-06,0.0016082486036493085,0.00010809739464603378,2.9750625482066947e-08,1.032721182386973e-08,5.8358785267610715e-09,7.239394304544673e-08,-2.501175149866078e-08
