X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.628,100.000,0.0,1.0e-06,0.200
0.000,0.000,0.000,4.739,2448.633,0.1,6.0e-04,0.872
0.000,0.000,0.000,4.102,2295.537,0.2,5.6e-04,0.839
0.000,0.000,0.000,7.769,1488.979,0.6,1.0e-06,0.237
0.000,0.000,0.000,0.000,469.390,0.0,1.0e-06,0.103
