X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,2.822,100.000,0.0,1.0e-06,0.603
0.000,0.000,0.000,6.151,2472.585,0.1,6.4e-04,0.903
0.000,0.000,0.000,5.092,2270.682,0.1,6.0e-04,0.868
0.000,0.000,0.000,8.204,1355.405,0.5,1.0e-06,0.278
0.000,0.000,0.000,0.000,629.099,0.0,1.0e-06,0.105
