name	ri	minT(us)	maxT(us)	lam	lam_fin	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
B001	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.09e-04	470.039	518.762	 1.4
B001	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.20e-04	500.626	316.525	 1.4
B001	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.19e-04	593.386	331.810	 3.4
B001	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.20e-04	126.371	 46.808	 6.0
B001	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.19e-04	180.665	 42.939	 3.8
B001	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.20e-04	103.148	 25.253	 2.3
B002	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.23e-04	137.009	277.624	 5.3
B002	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.24e-04	150.365	300.650	 5.3
B002	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.23e-04	172.566	209.375	 1.5
B002	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.23e-04	109.890	 51.902	 1.4
B002	r004	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.17	25	12	1.24e-04	109.883	 37.899	 1.4
B002	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.23e-04	110.043	 29.068	 1.4
B003	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.27e-04	126.181	198.813	 1.3
B003	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.35e-04	100.772	113.630	 1.4
B003	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.34e-04	139.114	 71.710	 1.4
B003	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.34e-04	102.226	 46.896	 1.3
B003	r004	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.17	25	13	1.34e-04	109.166	 32.992	 1.7
B003	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.34e-04	104.339	 26.500	 5.3
B004	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.38e-04	171.820	1092.243	 5.5
B004	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.43e-04	103.329	129.981	 3.2
B004	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.36e-04	288.954	680.358	 3.8
B004	r003	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.14	25	13	1.42e-04	109.646	 55.298	 3.6
B004	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.41e-04	107.487	 36.945	 1.8
B004	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.42e-04	105.844	 27.284	 2.9
B005	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.48e-04	104.801	323.692	 1.4
B005	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.44e-04	228.715	799.700	 1.4
B005	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.49e-04	110.417	 98.932	 1.4
B005	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.49e-04	104.328	 55.532	 1.8
B005	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.48e-04	110.110	 41.952	 2.0
B005	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.49e-04	105.631	 27.895	 1.4
B006	r000	5.0	100.0	   500.0	    14.1	1.0e+02	8.0e-01	0.05	25	15	1.57e-04	 95.836	321.582	 1.8
B006	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.57e-04	160.531	401.689	 1.3
B006	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.57e-04	117.769	114.625	 1.4
B006	r003	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.14	25	13	1.61e-04	108.942	 60.552	 1.6
B006	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.57e-04	107.895	 40.281	 1.3
B006	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.56e-04	374.841	351.264	 1.3
