         165
  104      9     10     16     17   -0.1944901759E+00      102.64950
  105     10     11     17     18   -0.1924701510E+00      101.58335
  106     11     12     18     19   -0.1911807725E+00      100.90283
  107     12     13     19     20   -0.1905510837E+00      100.57049
  108     13     14     20     21   -0.1903264810E+00      100.45195
  109     14     15     21     22   -0.1900544828E+00      100.30839
  110     15     16     22     23   -0.1899326209E+00      100.24408
  111     16     17     23     24   -0.1899321545E+00      100.24383
  112      1      2      9     10   -0.1171760403E+00       92.76609
  113      2      3     10     11   -0.1171944233E+00       92.78064
  114      3      4     11     12   -0.1147344854E+00       90.83315
  115      4      5     12     13   -0.1045113796E+00       82.73971
  116      5      6     13     14   -0.9013496897E-01       71.35817
  117      6      7     14     15   -0.1054585997E+00       83.48961
  118      7      8     15     16   -0.1316941147E+00      104.25977
  119      8      9     16     17   -0.1322900173E+00      104.73154
  120      9     10     17     18   -0.1299775189E+00      102.90078
  121     10     11     18     19   -0.1283870034E+00      101.64160
  122     11     12     19     20   -0.1274779990E+00      100.92195
  123     12     13     20     21   -0.1270837993E+00      100.60987
  124     13     14     21     22   -0.1267710580E+00      100.36228
  125     14     15     22     23   -0.1266489761E+00      100.26563
  126     15     16     23     24   -0.1264922415E+00      100.14155
  127      1      2     10     11   -0.8390403870E-01       94.89323
  128      2      3     11     12   -0.8341744506E-01       94.34291
  129      3      4     12     13   -0.8140243777E-01       92.06399
  130      4      5     13     14   -0.7399458996E-01       83.68591
  131      5      6     14     15   -0.6291849582E-01       71.15914
  132      6      7     15     16   -0.7292133342E-01       82.47209
  133      7      8     16     17   -0.9172553763E-01      103.73914
  134      8      9     17     18   -0.9271850134E-01      104.86215
  135      9     10     18     19   -0.9104691746E-01      102.97164
  136     10     11     19     20   -0.8990706809E-01      101.68250
  137     11     12     20     21   -0.8927962786E-01      100.97288
  138     12     13     21     22   -0.8889324759E-01      100.53589
  139     13     14     22     23   -0.8870052849E-01      100.31793
  140     14     15     23     24   -0.8855608958E-01      100.15458
  141      1      2     11     12   -0.6193704036E-01       96.31757
  142      2      3     12     13   -0.6139433629E-01       95.47362
  143      3      4     13     14   -0.5985070484E-01       93.07313
  144      4      5     14     15   -0.5434218642E-01       84.50690
  145      5      6     15     16   -0.4568392105E-01       71.04253
  146      6      7     16     17   -0.5244503324E-01       81.55666
  147      7      8     17     18   -0.6646024246E-01      103.35155
  148      8      9     18     19   -0.6743219645E-01      104.86302
  149      9     10     19     20   -0.6626940864E-01      103.05479
  150     10     11     20     21   -0.6545617028E-01      101.79013
  151     11     12     21     22   -0.6492770351E-01      100.96832
  152     12     13     22     23   -0.6465668851E-01      100.54686
  153     13     14     23     24   -0.6447218076E-01      100.25994
  154      1      2     12     13   -0.4693507556E-01       97.31759
  155      2      3     13     14   -0.4648273709E-01       96.37968
  156      3      4     14     15   -0.4530103509E-01       93.92948
  157      4      5     15     16   -0.4111259869E-01       85.24497
  158      5      6     16     17   -0.3421886909E-01       70.95115
  159      6      7     17     18   -0.3900484089E-01       80.87463
  160      7      8     18     19   -0.4964186718E-01      102.92999
  161      8      9     19     20   -0.5058409512E-01      104.88365
  162      9     10     20     21   -0.4977391277E-01      103.20378
  163     10     11     21     22   -0.4912543947E-01      101.85920
  164     11     12     22     23   -0.4873659729E-01      101.05295
  165     12     13     23     24   -0.4849945043E-01      100.56124
