time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,1.474856720e-06,5.360977778e-04,3.469511111e-07,4.288782222e-05,3.090136521e+03,6.076000000e+01
6.070000e-06,3.610962341e-06,2.068222222e-04,2.214000000e-07,1.654577778e-05,1.260165819e+03,8.485000000e+01
7.080000e-06,8.244351886e-07,7.884755556e-05,1.333866667e-07,6.307804444e-06,2.610143456e+03,1.248800000e+02
8.520000e-06,-1.056556760e-06,1.887822222e-05,6.246577778e-08,1.510257778e-06,-1.624911105e+03,2.378100000e+02
1.053000e-05,7.162030217e-07,5.102222222e-07,4.923644444e-08,4.923644444e-08,1.479401661e+03,1.854890000e+03
1.255000e-05,8.188710364e-07,-1.216697778e-06,6.128133333e-08,9.733582222e-08,1.009890461e+03,-7.759600000e+02
1.456000e-05,1.559394755e-07,-7.086622222e-07,3.690000000e-08,5.669297778e-08,2.381868690e+03,-8.684700000e+02
1.744000e-05,-1.731571996e-07,-1.254417778e-07,2.186666667e-08,1.003534222e-08,-1.644193713e+03,-2.038660000e+03
2.146000e-05,-1.317399360e-08,2.186666667e-07,1.867777778e-08,1.867777778e-08,-6.480815509e+03,9.955400000e+02
2.549000e-05,1.696129959e-07,3.416666667e-07,2.297822222e-08,2.733333333e-08,8.855947039e+02,5.553700000e+02
2.950000e-05,1.218541113e-07,3.520533333e-07,2.294177778e-08,2.816426667e-08,8.654208132e+02,4.265100000e+02
3.528000e-05,-3.609974595e-08,2.848133333e-07,2.155688889e-08,2.278506667e-08,-1.445241517e+03,3.647100000e+02
4.330000e-05,-3.213325736e-08,2.571155556e-07,2.237688889e-08,2.237688889e-08,-1.110131667e+03,2.775100000e+02
5.140000e-05,1.809460029e-08,1.947955556e-07,2.179377778e-08,2.179377778e-08,1.223262397e+03,2.508600000e+02
5.941000e-05,2.481083891e-08,1.655124444e-07,1.876888889e-08,1.876888889e-08,7.785692853e+02,2.197100000e+02
7.095000e-05,6.005421907e-09,1.234373333e-07,1.468893333e-08,1.468893333e-08,1.491218002e+03,1.987100000e+02
8.707000e-05,-1.293992104e-08,8.478800000e-08,1.402564444e-08,1.402564444e-08,-6.354608926e+02,1.814500000e+02
