,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,3.976868790720246e-06,9.273720105530308e-07,9.72090137587186e-07,2.2112343868053082e-06,-3.0184704909737016e-08,-4.947413615441178e-10,-2.8024951220565537e-10,4.601525831967532e-09,-4.1286939816126497e-08,-0.0007222686654994091,2.956262752715191e-06,1.6079795883030385e-06,0.00010570942449208882,0.0002400035083729486,-0.1617540032731566,4.599913970633611e-05,3.273633000475389e-05,-5.76496931833557,0.13021340975570747,-1.3422456555496424e-06,-1.7978289671148214e-07,-1.7393710764322655e-07,7.155322166614185e-05,-2.5484362089590453e-05
dB/dt tg02,5.866549064293386e-06,1.7980539590809714e-06,1.9991318584428206e-06,-2.272487087455038e-05,-5.394310838483611e-08,-1.1696879743457056e-09,-2.3755661814696496e-09,2.657160874906688e-08,-5.3793973289426235e-08,-0.0004317009836924798,7.2492130924547996e-06,1.5387011424823104e-05,6.385331617163134e-05,0.00035239336958663126,-0.13041268880260123,3.8077797836151415e-05,2.800742631518267e-05,-48.110857159943805,0.16627822166657677,-1.5188581071197018e-06,-9.581746117865822e-07,-3.276458019636914e-06,-0.0005339268700520278,-3.324963569876357e-05
dB/dt tg03,1.0303694560430988e-06,5.827553693854619e-07,6.039617842834682e-07,-2.2381983101459488e-07,-4.131385720304615e-10,-1.8349693962408702e-10,-1.8343048579909633e-10,2.413958622723302e-09,-2.0600823748114332e-08,-0.0003347800704442099,9.940664785289633e-07,1.0658330514089572e-06,-1.6720034848966258e-05,0.00011582968890535292,-0.11920974458598312,3.267975591623076e-05,2.3587173227780054e-05,-0.39214071278532153,0.06451877918080601,1.7169144476320537e-07,3.477631665405337e-08,-1.1545367582811535e-07,5.477841972472127e-06,-1.2761746130821841e-05
dB/dt tg04,-2.0508643904044183e-06,-2.8619837393006683e-07,-3.824837058617788e-07,1.4370689243556808e-05,3.201645823217284e-08,4.5564915030513794e-10,1.2460024215878262e-09,-1.3109812093714143e-08,2.424787224326577e-09,-0.00024985710066934285,-3.0466689972733575e-06,-8.263848780932465e-06,-4.571482977651301e-05,-4.558504140817275e-05,-0.09952572702329233,2.733497514891675e-05,1.932469737652955e-05,29.070781471314305,-0.0061852411478875175,1.1822382920744e-06,6.633411993500555e-07,1.9357101959140385e-06,0.00035369219111614685,1.4604037512299794e-06
dB/dt tg05,7.378458229726695e-07,3.686708138988594e-07,4.019734081800908e-07,-4.03739104540967e-06,-3.400251949171359e-09,-1.9618399868046724e-10,-4.0849759057774073e-10,5.093865630444877e-09,-1.2444516105794699e-08,-0.0001322603416578132,1.1218231324211254e-06,2.5980055683422854e-06,1.5402073652451636e-05,7.498852953912034e-05,-0.06504613989136923,2.2353689229991755e-05,1.61623893680873e-05,-8.850523547984423,0.038311027919752515,2.387132846272213e-07,-6.37600385970119e-08,-5.030520251469227e-07,-9.377359395440183e-05,-7.71282421486901e-06
dB/dt tg06,9.640503731038171e-07,3.830086799172194e-07,4.2797404436528766e-07,-5.92046599402242e-06,-7.5778666621725e-09,-2.4765044965840533e-10,-5.648031874814305e-10,6.680810754490507e-09,-1.1777886144012634e-08,-8.422671394626057e-05,1.4669752851504222e-06,3.636609468364385e-06,2.0275541100096192e-05,7.528048982231817e-05,-0.047639196865190025,1.906645110648364e-05,1.3769844249809578e-05,-12.538011887731567,0.03600052400849547,1.0630605397667902e-07,-1.4415491417453978e-07,-7.486396740593815e-07,-0.00014055318363605053,-7.293864047353238e-06
dB/dt tg07,-8.73242230383565e-09,1.0238107671710538e-07,1.047410968287537e-07,-2.4169005370740663e-07,2.892705078657787e-09,-2.233601507843031e-11,-3.30622658634503e-11,6.895680802253333e-10,-4.030419681646257e-09,-6.873197596220368e-05,4.786490194252043e-08,1.6331763675292347e-07,1.3040775434131347e-06,2.0494954323721393e-05,-0.039349929186191394,1.675702839211529e-05,1.1887444518849913e-05,-0.67393075215097,0.012354837030264262,3.650814219893656e-07,7.513188362463348e-08,1.4005601654667513e-08,-4.058245975678026e-06,-2.5043465133968938e-06
dB/dt tg08,-4.550141932321125e-07,-3.676652370772632e-08,-5.470488889250614e-08,2.4579042815546075e-06,7.339180015873448e-09,8.654916144974187e-11,2.204493414438027e-10,-2.2395502852096958e-09,2.0892283751979576e-10,-5.143365120576556e-05,-6.304906067052495e-07,-1.4883448301655534e-06,-8.814496668407721e-06,-8.353136324100408e-06,-0.030187638625161765,1.438294210096611e-05,1.0030983392965972e-05,5.063843687191566,-0.0006088020336645039,4.454836567977754e-07,1.7172564777708597e-07,3.7136812103039343e-07,6.061714392302746e-05,1.1868699409220905e-07
dB/dt tg09,-1.4534985819012939e-07,1.6355234773183323e-08,1.1531108205273808e-08,6.172718940561084e-07,3.0205843875963404e-09,2.0799543909162683e-11,5.4450596538971686e-11,-4.6372053578444255e-10,-8.378836483407335e-10,-3.1153859324372976e-05,-1.9898087823428694e-07,-3.9241455221944495e-07,-2.5129131459879897e-06,1.8082931689924735e-06,-0.020459077819021523,1.2124359787743873e-05,8.380766469584397e-06,1.2648728521860344,0.002506697281346552,2.784771161851757e-07,8.57665748755055e-08,1.1847910761397415e-07,1.5671426164301574e-05,-5.233266675776979e-07
dB/dt tg10,1.7603579694519316e-07,7.818766710611794e-08,8.741814850027422e-08,-1.3368422570411196e-06,-1.1943195954727296e-09,-5.1192474837898004e-11,-1.2299337423862072e-10,1.4957121280505206e-09,-2.4541995675824038e-09,-1.8326229451202684e-05,2.6817655705456514e-07,7.760731050287247e-07,5.194710499631468e-06,1.5241080193420122e-05,-0.014185232128074694,1.0563997009094126e-05,7.258891408974451e-06,-2.8599776303837503,0.007389014757857902,1.263159653011258e-07,-1.2373902560220309e-09,-1.4739274419351254e-07,-3.1851926022284024e-05,-1.51887472311703e-06
dB/dt tg11,1.2535263352563325e-07,5.6646802078201305e-08,6.326153837179698e-08,-9.804416275696651e-07,-8.259342178898956e-10,-3.690488085663112e-11,-8.96390574841541e-11,1.0957071726380344e-09,-1.7719652385275177e-09,-1.341358186590133e-05,1.8409611460569534e-07,5.614447243751195e-07,3.8929636298407555e-06,1.0941409211825662e-05,-0.010915877171493298,9.427415722446945e-06,6.394420032410128e-06,-2.1019852796532024,0.005314916768762205,1.09279680697097e-07,5.927630427861963e-09,-1.0387681927660045e-07,-2.3372850376562782e-05,-1.0961588545444863e-06
dB/dt tg12,-9.917769103411124e-08,-5.006852648460446e-09,-8.872554583747424e-09,4.6785422553667094e-07,1.6479582124029041e-09,1.825896691153757e-11,4.335456396706918e-11,-4.267090881786093e-10,4.683694288971884e-11,-1.1253078119220623e-05,-1.5961528380483187e-07,-3.061120637029429e-07,-1.7631606459358924e-06,-1.972222167616274e-06,-0.00844167120597008,8.225680713847532e-06,5.453817273199e-06,0.972074583129602,-0.00019911163192198127,1.48860277598048e-07,5.5989125470087585e-08,8.479321374767442e-08,1.155163695691628e-05,2.8068015198373924e-08
dB/dt tg13,-7.64730171835555e-08,-6.013005441740973e-09,-9.123015162503124e-09,3.706071994662473e-07,1.2181193820790592e-09,1.4830112717665608e-11,3.46066937651067e-11,-3.476342815016335e-10,1.2057747655545357e-10,-7.397641985350956e-06,-1.3098135958301535e-07,-2.4496965485010976e-07,-1.410315479048719e-06,-1.964536600714668e-06,-0.005802163352224703,7.048401017612991e-06,4.578347830487312e-06,0.7736229019202001,-0.0004152287394273112,1.1083176411008184e-07,4.484338289491423e-08,6.728159987442698e-08,9.112945587848152e-06,7.437434703744087e-08
dB/dt tg14,1.1085376743227601e-08,1.1091013813531185e-08,1.1765297005378674e-08,-1.4591306594103517e-07,8.49324712315193e-11,-4.623599028065827e-12,-1.2683518960565569e-11,1.7375519259121537e-10,-3.449620645298246e-10,-4.3954426020281025e-06,-2.433584522187253e-09,6.761663208045171e-08,5.87320338755034e-07,1.8435070119618372e-06,-0.004008987366288904,6.196920408566572e-06,3.962168611249364e-06,-0.3156515125523482,0.0010043981580898276,6.230647051219608e-08,1.9173901518119534e-08,-4.8698092740611996e-09,-3.4306230867750516e-06,-2.1274332447964736e-07
dB/dt tg15,2.7221873183982617e-08,1.2610740045414149e-08,1.3899066057448658e-08,-2.2646820954403288e-07,-1.6052272221234245e-10,-7.694982549704107e-12,-2.0104487533647364e-11,2.50190763414648e-10,-3.7726601550996834e-10,-3.008603496922899e-06,2.0652452548393582e-08,1.1818751468258393e-07,8.916869185846752e-07,2.2798295535492053e-06,-0.0029938839905896885,5.557656027046156e-06,3.4952918736952814e-06,-0.4838209405864471,0.001108809797830269,4.365364734295323e-08,1.223712082331257e-08,-1.7970506644110922e-08,-5.4068879359893826e-06,-2.325439317867164e-07
