name	ri	minT(us)	maxT(us)	lam	lam_fin	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
B025	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.20e-04	117.672	411.629	 1.1
B025	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.43e-04	2570.915	26634.671	 1.2
B025	r002	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.11	25	13	1.19e-04	122.623	108.080	 1.4
B025	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.19e-04	116.868	 65.405	 1.2
B025	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.19e-04	110.434	 42.193	 1.3
B025	r005	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.20	25	14	1.20e-04	 99.298	 24.638	 1.7
B026	r000	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.05	25	12	1.16e-04	117.255	294.334	 1.4
B026	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.15e-04	121.497	142.863	 1.4
B026	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.16e-04	118.287	 91.631	 1.5
B026	r003	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.14	25	12	1.16e-04	166.460	127.287	 1.5
B026	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.16e-04	117.471	 43.578	 1.3
B026	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.15e-04	117.018	 33.216	 1.5
B027	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.17e-04	140.274	165.049	 1.3
B027	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.16e-04	110.186	123.534	 1.3
B027	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.16e-04	114.323	 78.910	 1.3
B027	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.17e-04	116.800	 47.751	 1.2
B027	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.17e-04	123.377	 37.426	 1.3
B027	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.16e-04	116.221	 27.620	 1.3
B028	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.19e-04	148.278	161.207	 1.4
B028	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.21e-04	115.767	 85.304	 1.4
B028	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.21e-04	114.443	 59.217	 1.3
B028	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.20e-04	118.364	 56.573	 1.3
B028	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.21e-04	116.680	 39.655	 1.2
B028	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.20e-04	136.710	 42.103	 1.3
B029	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.15e-04	150.120	231.318	 1.3
B029	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.19e-04	113.417	 88.782	 1.2
B029	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.19e-04	120.084	 65.824	 1.3
B029	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.18e-04	118.722	 47.029	 1.2
B029	r004	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.17	25	14	1.19e-04	121.966	 41.863	 1.6
B029	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.19e-04	111.785	 26.737	 1.4
B030	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.24e-04	128.818	225.981	 1.2
B030	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.31e-04	103.386	 95.601	 1.1
B030	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.31e-04	104.161	 64.703	 1.2
B030	r003	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.14	25	13	1.31e-04	102.444	 43.271	 1.3
B030	r004	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.17	25	12	1.31e-04	105.338	 32.956	 1.2
B030	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.30e-04	107.614	 25.705	 1.2
