X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.491,100.000,0.0,1.0e-06,0.268
0.000,0.000,0.000,5.043,2563.074,0.1,6.2e-04,0.884
0.000,0.000,0.000,4.224,2346.910,0.1,5.8e-04,0.849
0.000,0.000,0.000,8.155,1536.519,0.6,1.0e-06,0.328
0.000,0.000,0.000,0.000,428.608,0.0,1.0e-06,0.098
