X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,2.917,100.000,0.0,1.0e-06,0.554
0.000,0.000,0.000,6.042,2429.032,0.1,6.4e-04,0.898
0.000,0.000,0.000,5.064,2236.247,0.1,5.9e-04,0.863
0.000,0.000,0.000,8.152,1087.429,0.6,1.0e-06,0.272
0.000,0.000,0.000,0.000,617.925,0.0,1.0e-06,0.104
