,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,6.333736303343157e-06,2.3606019932640102e-06,2.4594920057362025e-06,2.4038869203215185e-07,-4.4787816430927136e-08,-6.231108535499705e-10,-6.341115546310156e-10,1.0562115465320093e-08,-5.309502373909147e-08,-0.0006799296791507859,3.732380238657214e-06,3.918207043753013e-06,-1.0045221047656316e-05,0.00030156191903640714,-0.0944442545487096,5.978797021676208e-05,4.39337768599179e-05,-6.943940908681121,0.15703103451315242,-2.163832076889842e-06,-3.1229471506888745e-07,-7.114196824209285e-07,-0.00011107127560530231,-3.1035420755364323e-05
dB/dt tg02,3.7721688945834754e-06,1.0605168384944677e-06,1.0847760226782663e-06,-9.849449217285205e-06,-2.7056580456473815e-08,-7.150035745862736e-10,-9.503668402276512e-10,1.188639605063073e-08,-3.8240902394166345e-08,-0.00044015843212203527,4.2851025102236386e-06,5.939021400714891e-06,0.00011155625817050929,0.00021599933380344946,-0.08391176539428195,4.949238968173745e-05,3.665102748903344e-05,-12.221817955890474,0.1123370918386669,-1.0603009303178002e-06,-5.023583986555277e-07,-1.2706647998390495e-06,-9.473760518252719e-07,-2.2370654137654147e-05
dB/dt tg03,1.4839897838212238e-06,9.031033206490178e-07,9.285758130931343e-07,-7.936852035404736e-07,-2.5038020369327927e-09,-2.0385913282418958e-10,-2.2904403855435472e-10,5.134234255230469e-09,-2.4476800119409104e-08,-0.00032213177131932105,1.0924078280201485e-06,1.3483151175205962e-06,7.675779554939032e-06,0.00013163817931217226,-0.07921994987842403,4.231338612938033e-05,3.129013117569806e-05,-3.3007081207344813,0.07208529922391962,2.274164463120069e-08,4.11071411265285e-08,-1.721860302114551e-07,-3.8432285490876776e-05,-1.4353540463659805e-05
dB/dt tg04,1.3613272990667316e-07,7.714131260571171e-07,7.990888393781977e-07,5.28147190220588e-06,1.0647456852670058e-08,1.2813886341005665e-10,2.4442404635363945e-10,3.371182469895361e-10,-1.380967544817198e-08,-0.00022353000191865997,-9.657213314849288e-07,-1.6563076476607166e-06,-6.17268919850134e-05,6.822509798730709e-05,-0.06706461663270588,3.524426123764493e-05,2.5932520315736153e-05,2.7355527199737115,0.04083653564162758,6.033954723061999e-07,3.755768715083306e-07,5.363122830534145e-07,-6.182164463182606e-05,-8.127378335729985e-06
dB/dt tg05,3.8458744083809665e-07,2.8109603563803706e-07,2.8315199216058555e-07,-1.757961099365204e-06,1.4980362193961485e-09,-1.122232064722433e-10,-1.547030059582094e-10,2.686314077473769e-09,-1.0084147561886578e-08,-0.0001335536610373402,5.625691517350454e-07,9.063793224872146e-07,2.1607164137477097e-05,5.178522938164211e-05,-0.045066810250715676,2.8801601602022255e-05,2.1098070239783218e-05,-2.334921232508544,0.029367455830135857,3.129216370441917e-07,4.354300825268082e-08,-1.2891786126191025e-07,-3.28599366523639e-06,-5.924263969389161e-06
dB/dt tg06,2.979221868348099e-07,1.369783099342999e-07,1.3400219837856352e-07,-2.430950285749043e-06,2.2876952473037943e-10,-1.1976871007547952e-10,-1.7679893139457922e-10,2.4047802145215553e-09,-7.091424055940715e-09,-8.965372310725168e-05,6.288235197461485e-07,1.059474393783433e-06,2.944244236585315e-05,3.630542980470647e-05,-0.03345560531005636,2.4515774954653452e-05,1.78280820870895e-05,-2.552939280697972,0.02049280488471108,2.5807705557594546e-07,2.3538633465376794e-09,-1.862014375795e-07,6.815662190882157e-06,-4.1647518904699475e-06
dB/dt tg07,3.001362379712928e-08,1.503357518629728e-07,1.5143828450359775e-07,-1.7552867260298106e-07,2.9532970492523367e-09,-1.8357416107355574e-11,-2.3560538263157693e-11,9.109396120525729e-10,-4.457193114231493e-09,-6.761359939785785e-05,8.8757922404271e-09,9.091107019351266e-08,2.73207211541768e-06,2.116910646246492e-05,-0.027581278366151592,2.1480411523438635e-05,1.5482533412314148e-05,-0.5271325946259627,0.012868560867514154,3.3359107069237095e-07,9.906183910264679e-08,4.0468260790856464e-08,-5.208730309557565e-06,-2.6234006975464883e-06
dB/dt tg08,-1.002245521604588e-07,1.3341739740368343e-07,1.3599518778704564e-07,8.984949769968808e-07,3.8024528690359045e-09,3.142023312788242e-11,5.0962984526723755e-11,7.819082556336106e-11,-2.5511631972689204e-09,-4.748792444831329e-05,-2.8707009997060677e-07,-3.752520659346013e-07,-1.0155805044713591e-05,1.0804320835502446e-05,-0.02115661836553656,1.8377134908441406e-05,1.3091651628057771e-05,0.4938604804854107,0.007338997334006203,3.317958408540219e-07,1.3513095802684658e-07,1.4295647327583739e-07,-9.969290234025892e-06,-1.5053974131486321e-06
dB/dt tg09,-4.561683074657458e-08,6.944947070814469e-08,6.968357691293214e-08,2.040444644088988e-07,2.101039898626069e-09,6.8299113859632114e-12,1.0749327912800201e-11,2.2216347711656277e-10,-1.6766606979330064e-09,-3.002547129032847e-05,-1.1809353662313768e-07,-1.0975897317118487e-07,-2.094546768616738e-06,7.100143224559737e-06,-0.014487910552481616,1.544691010576278e-05,1.0848201908346178e-05,0.023688764217344248,0.004759641168057974,2.33445489946428e-07,8.570870161994608e-08,6.561766847486897e-08,-3.6777764310571454e-06,-9.876272088676575e-07
dB/dt tg10,2.2998249171227477e-08,2.3041659730410952e-08,2.132437727446347e-08,-5.353642640372532e-07,5.839624895693487e-10,-2.136625467108309e-11,-3.415445364630747e-11,4.882682782944268e-10,-1.345044086725162e-09,-1.9896920557855476e-05,6.889940415167346e-08,1.829812159940349e-07,6.619192450821653e-06,6.172012063606706e-06,-0.010199423817018802,1.3427670249815744e-05,9.307110136831222e-06,-0.5316727494333452,0.0037718073186613736,1.5059985264824012e-07,3.889652715985171e-08,-1.443357128216169e-08,2.079520823807409e-06,-7.893140339576198e-07
