,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,6.7354415221145625e-06,2.2853834815069016e-06,2.3629706281918206e-06,-2.2666086633834194e-06,-5.36564204929267e-08,-7.275616388690568e-10,-7.878061800229967e-10,8.803740131862667e-09,-4.8171626633672114e-08,-0.0006951307114503278,4.3026288130037205e-06,4.869214250573945e-06,2.295269340439685e-05,0.00029227779996925,-0.08154997048454639,6.775919207101327e-05,4.863382439938143e-05,-8.43748947986044,0.15340555665461322,-2.6837222321284733e-06,-4.180786180290556e-07,-9.561953596146686e-07,-1.3905706252228791e-05,-2.9969785848361113e-05
dB/dt tg02,3.510732450351643e-06,9.454360058831868e-07,1.0248487937527683e-06,-6.37434722868132e-08,-2.4310475307656038e-08,-5.472103528945155e-10,-5.636359904186716e-10,9.853483848223476e-09,-3.2044837462060355e-08,-0.0004597385832916754,3.171355561766976e-06,3.456991846518817e-06,-0.0001021829112623626,0.00018907417626697688,-0.07768585583903635,5.6057467545303385e-05,4.052802033471556e-05,-2.4743566021420604,0.10186619546109095,-1.0528826837603538e-06,-2.907883150882272e-07,-6.595441016038755e-07,-0.00018054508621968019,-1.9971560229267683e-05
dB/dt tg03,1.5663593920176067e-06,8.826869262397557e-07,9.066057590636584e-07,-8.090048929675894e-07,-3.959402011915349e-09,-2.1740900465945749e-10,-2.4137290144278627e-10,4.476360611348305e-09,-2.1832337483825767e-08,-0.00033204186529096197,1.1418893622323708e-06,1.4128964405713435e-06,4.064179495750371e-06,0.0001248999761620853,-0.0735197988208296,4.785333522795402e-05,3.4592348726945944e-05,-3.008070313933723,0.06925443553697581,-5.5110063177250265e-08,4.663449842870561e-08,-1.831912140743605e-07,-2.1262371942463513e-05,-1.3626091510711455e-05
dB/dt tg04,4.504050365696862e-07,8.109828871149756e-07,7.988699451791496e-07,-1.2668105896940777e-06,6.163651103273257e-09,-7.409846517677236e-12,-3.497533994702378e-11,5.903781781505885e-10,-1.3699255362096431e-08,-0.00022609743414492395,-1.3350543319658522e-07,1.1297677351171278e-07,7.329127814504413e-05,7.536413454339389e-05,-0.06196405162315673,3.978411040870017e-05,2.8648830161217043e-05,-3.2776399220298527,0.04329206740757583,4.494881399459984e-07,2.400853004996745e-07,1.0745595797908166e-07,8.609123785540998e-05,-8.562486800627007e-06
dB/dt tg05,3.3021682059926936e-07,2.647484697971752e-07,2.758030728822642e-07,-8.299904669029977e-08,2.4317617298083364e-09,-8.121880888246265e-11,-8.660291912860879e-11,2.3210344139453382e-09,-8.551763724295099e-09,-0.00013937895170312002,3.5043063633109875e-07,4.6492954139131937e-07,-1.60191729962194e-05,4.580118060884754e-05,-0.042837167498634934,3.246822426514199e-05,2.3255430214668e-05,-0.6548388248014074,0.02687168049816748,3.476959522936654e-07,9.495764697681153e-08,-1.4305636267975874e-08,-3.264920332901552e-05,-5.3501047813774295e-06
dB/dt tg06,1.99155364510785e-07,1.1674295664444947e-07,1.2824259797586736e-07,1.2509721134521711e-07,1.8165809176233247e-09,-6.998034576181111e-11,-7.066265068006132e-11,2.0352032070002636e-09,-5.69132444230576e-09,-9.471149894614369e-05,3.021639446885118e-07,3.7734967231765033e-07,-2.6009800644548396e-05,2.9656015874438183e-05,-0.03211758085965381,2.7593556118069412e-05,1.961908143067528e-05,-0.07678120173422663,0.017782324836635575,3.1627867714991423e-07,7.266733308401298e-08,-1.3061695877406629e-08,-4.323994271111308e-05,-3.562496899495573e-06
dB/dt tg07,3.230043845552065e-08,1.4951872920564576e-07,1.5059294144700195e-07,-1.1293805477896711e-07,3.067921165582958e-09,-1.72866504177621e-11,-2.1198383294508218e-11,8.239760803292455e-10,-3.897200412112824e-09,-7.013147797591237e-05,-7.496142023196137e-09,7.087979421511449e-08,4.7314541825299294e-07,1.9552986402289403e-05,-0.02622271405072202,2.4135872873502985e-05,1.7019249510028938e-05,-0.42732287138991193,0.012103588962853757,3.428576383738952e-07,1.1185064453635602e-07,5.013054303316699e-08,-4.035936838016527e-06,-2.440602899387595e-06
dB/dt tg08,-5.3868439297329946e-08,1.4043042934139627e-07,1.3624359456924123e-07,-2.059723810680065e-07,3.2405665074418766e-09,9.978837167044021e-12,5.113315795748119e-12,1.3616150019139368e-10,-2.465266932733532e-09,-4.849019419750522e-05,-1.5902482671543586e-07,-8.709146043407172e-08,1.2736152057922287e-05,1.1768397719543366e-05,-0.01998527235223919,2.060688445432885e-05,1.436883195653312e-05,-0.5245143578204504,0.007589452242325576,3.179106954852166e-07,1.2015305115473418e-07,7.604363733534423e-08,1.4791164308338155e-05,-1.5442422109888157e-06
dB/dt tg09,-3.391298349087146e-08,7.100708039206227e-08,6.943439575595972e-08,-7.763820741288112e-08,2.0149655293095307e-09,1.703842847890713e-12,-6.784576842090797e-13,2.2165064984354983e-10,-1.5179692066479524e-09,-3.0995346101957766e-05,-9.138547877856702e-08,-4.002097463937617e-08,3.5843324055554523e-06,6.960158347535709e-06,-0.013781936518429537,1.72825948315038e-05,1.1881034271163878e-05,-0.22753010242771368,0.004622828622803046,2.3406933248487484e-07,8.733696295823227e-08,5.158274554140982e-08,3.1532897037579013e-06,-9.503183753954585e-07
dB/dt tg10,1.6292220501633766e-09,1.9896415973164493e-08,2.1477586114500133e-08,3.9264086542130244e-08,9.720391527800393e-10,-9.828513717374478e-12,-1.0124973286746227e-11,4.148681066973406e-10,-1.0436712594137178e-09,-2.108923155916955e-05,-8.622285330011771e-09,2.7315542450285455e-08,-5.846376591043428e-06,4.701172842943863e-06,-0.0098243766321143,1.4994818138182073e-05,1.017381499870672e-05,0.02097972151146846,0.0031501843932248783,1.6590819532376662e-07,5.816658858648961e-08,2.6357848824604982e-08,-9.39537663748196e-06,-6.526692941207224e-07
dB/dt tg11,-2.813070714353882e-09,1.3891492375716713e-08,1.4854132035599432e-08,2.9925380561731035e-08,7.690833445343565e-10,-6.382098923609772e-12,-6.703582453850512e-12,2.989804399220517e-10,-7.341717943336538e-10,-1.5505175497146598e-05,-2.1592416892492914e-08,1.0273435167807729e-08,-4.285953981500236e-06,3.1909122706199553e-06,-0.007595983114165938,1.3321288991855472e-05,8.926019437919279e-06,0.019217984499866125,0.0021943679135125755,1.36708954170461e-07,5.164022700982776e-08,2.4924118269141705e-08,-6.843816734112768e-06,-4.5866603053394063e-07
dB/dt tg12,-2.599422451980126e-08,2.6930301699802475e-08,2.548737847812136e-08,-3.732482372457123e-08,9.09886832327766e-10,4.265269751378851e-12,2.9794449266197445e-12,2.6822669326089952e-11,-4.5079959839403195e-10,-1.0958787516758383e-05,-7.868042317644354e-08,-4.671350849342782e-08,2.438243248395797e-06,1.788049140091079e-06,-0.005765189310003006,1.1549107502597613e-05,7.60891692253428e-06,-0.0946906276825154,0.0013240611055653146,1.194626674098154e-07,5.3646535485036494e-08,3.354437802631064e-08,2.8560691787881505e-06,-2.8124395420257883e-07
dB/dt tg13,-1.984446785725519e-08,1.802829960069335e-08,1.6813812319415642e-08,-2.699846372879262e-08,6.36197249649147e-10,3.834993791466239e-12,2.8155407311485546e-12,4.48553108410952e-12,-2.7210416223721744e-10,-7.14568796163291e-06,-6.761591675215422e-08,-4.0836801654781015e-08,1.8937838848938412e-06,1.0006624708321286e-06,-0.00398612812961172,9.825709372858909e-06,6.339754240214932e-06,-0.06578447022583792,0.0007836491517102485,8.805058172760106e-08,4.295406879719438e-08,2.6805826630709553e-08,2.305200426658418e-06,-1.693063843931334e-07
dB/dt tg14,-6.939840040011493e-09,5.9471905727241525e-09,5.685138376859417e-09,2.3577094925094655e-09,3.340486637595309e-10,2.727132307020963e-13,-2.0795582188903697e-13,6.32648464819922e-11,-1.8840249050516904e-10,-4.87879393483481e-06,-3.964935189934678e-08,-1.807889182238103e-08,-5.904969551241469e-07,6.832045498554159e-07,-0.0028224093974955314,8.585197936659584e-06,5.435441847015494e-06,-0.005413939655630886,0.0005357541089824625,6.253378530511891e-08,3.167062629282794e-08,1.754475127834968e-08,-1.0495395608965268e-06,-1.168892446931413e-07
