X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.533,100.000,0.0,1.0e-06,0.178
0.000,0.000,0.000,4.412,2437.770,0.1,5.9e-04,0.868
0.000,0.000,0.000,3.862,2264.381,0.2,5.6e-04,0.834
0.000,0.000,0.000,7.765,1419.733,0.6,1.0e-06,0.251
0.000,0.000,0.000,0.000,472.743,0.0,1.0e-06,0.099
