time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,6.072022160e-06,5.138666667e-04,2.930133333e-07,8.735733333e-05,1.202971456e+03,6.249000000e+01
6.070000e-06,2.425731920e-06,1.966177778e-04,1.855022222e-07,3.342502222e-05,1.642912622e+03,8.774000000e+01
7.080000e-06,1.603255137e-06,7.465644444e-05,1.463608889e-07,1.269159556e-05,1.675329736e+03,1.295200000e+02
8.520000e-06,1.119054264e-06,1.737124444e-05,6.496222222e-08,2.953111556e-06,1.563834288e+03,2.514400000e+02
1.053000e-05,1.899318144e-07,2.470933333e-07,5.109511111e-08,5.109511111e-08,3.584085736e+03,3.007730000e+03
1.255000e-05,-5.078338549e-08,-1.129048889e-06,6.385066667e-08,1.919383111e-07,-6.445701316e+03,-8.156500000e+02
1.456000e-05,1.743105266e-09,-7.228755556e-07,4.371511111e-08,1.228888444e-07,4.764376988e+04,-8.570600000e+02
1.744000e-05,1.511803203e-08,-1.059986667e-07,3.152444444e-08,1.801977333e-08,8.354423980e+03,-2.280940000e+03
2.146000e-05,-4.594436238e-08,2.188488889e-07,2.986622222e-08,3.720431111e-08,-2.818078835e+03,9.949900000e+02
2.549000e-05,-8.957860419e-08,2.538355556e-07,3.187066667e-08,4.315204444e-08,-1.355412751e+03,6.769700000e+02
2.950000e-05,-7.647864948e-08,2.531066667e-07,2.857244444e-08,4.302813333e-08,-1.180576099e+03,5.316000000e+02
3.528000e-05,-3.561763469e-08,2.545644444e-07,2.605777778e-08,4.327595556e-08,-1.458253886e+03,3.931300000e+02
4.330000e-05,-2.822127350e-08,2.162977778e-07,2.900977778e-08,3.677062222e-08,-1.210486418e+03,3.113500000e+02
5.140000e-05,-3.264252797e-08,2.011733333e-07,2.997555556e-08,3.419946667e-08,-8.254607577e+02,2.456200000e+02
5.941000e-05,-2.920184656e-08,1.937022222e-07,2.509200000e-08,3.292937778e-08,-6.984221800e+02,1.978000000e+02
7.095000e-05,-1.973139809e-08,9.823600000e-08,2.237688889e-08,2.237688889e-08,-6.747324250e+02,2.313900000e+02
8.707000e-05,-1.099806754e-08,5.947733333e-08,2.035422222e-08,2.035422222e-08,-7.082158755e+02,2.298400000e+02
