time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,6.456723615e-06,5.329777778e-04,5.198222222e-07,7.461688889e-05,1.135847901e+03,5.999000000e+01
6.070000e-06,1.174461291e-06,2.062222222e-04,3.466666667e-07,2.887111111e-05,2.621005626e+03,8.358000000e+01
7.080000e-06,1.689366739e-06,8.104888889e-05,1.950222222e-07,1.134684444e-05,1.591488558e+03,1.206200000e+02
8.520000e-06,2.078423475e-06,2.055111111e-05,8.305777778e-08,2.877155556e-06,1.018090127e+03,2.211600000e+02
1.053000e-05,5.304020291e-09,1.632888889e-06,3.889777778e-08,2.286044444e-07,3.830224000e+04,8.401700000e+02
1.255000e-05,-3.668961904e-07,-5.509333333e-07,3.264000000e-08,7.713066667e-08,-1.696575659e+03,-1.294450000e+03
1.456000e-05,2.022676629e-08,-3.815111111e-07,4.213333333e-08,5.341155556e-08,9.143693233e+03,-1.290860000e+03
1.744000e-05,1.876046271e-07,3.768888889e-08,3.011555556e-08,3.011555556e-08,1.533210359e+03,4.470310000e+03
2.146000e-05,7.938808736e-09,3.258666667e-07,3.344000000e-08,4.562133333e-08,8.935560941e+03,7.507800000e+02
2.549000e-05,-1.573732750e-07,4.295111111e-07,3.164444444e-08,6.013155556e-08,-9.157379141e+02,4.689800000e+02
2.950000e-05,-1.253882378e-07,3.726222222e-07,2.933333333e-08,5.216711111e-08,-8.352189718e+02,4.040200000e+02
3.528000e-05,1.589336269e-10,2.993777778e-07,2.497777778e-08,4.191288889e-08,5.292368626e+04,3.469900000e+02
4.330000e-05,-4.672707467e-10,2.209777778e-07,2.880000000e-08,3.093688889e-08,-1.832944664e+04,3.019600000e+02
5.140000e-05,-3.727246600e-08,1.244088889e-07,2.974222222e-08,2.974222222e-08,-7.432660452e+02,3.327700000e+02
5.941000e-05,-3.947922828e-08,8.513777778e-08,2.428444444e-08,2.428444444e-08,-5.619054176e+02,3.366400000e+02
7.095000e-05,-2.063264938e-08,1.126400000e-07,2.519111111e-08,2.519111111e-08,-6.442447845e+02,2.077600000e+02
8.707000e-05,-2.026239878e-09,5.804444444e-08,2.209777778e-08,2.209777778e-08,-2.151625900e+03,2.297900000e+02
