,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,3.7396753261555513e-06,6.543686371473234e-07,7.18305844772027e-07,-1.9804215671816895e-06,-2.9832753578435005e-08,-5.996288718911423e-10,-6.989449669594908e-10,7.585188685057236e-09,-4.170807808178288e-08,-0.0007195073399788155,3.57759224221421e-06,4.332761074297541e-06,-2.8276369005321103e-05,0.0002641534315654888,-0.12724192616392396,5.003764720604341e-05,3.62089841467806e-05,-29.53373666268259,0.14225146073831865,-1.4983723099091117e-06,-2.966491139164373e-07,-8.085999016009348e-07,-8.148409429835033e-05,-2.6730452095315946e-05
dB/dt tg02,8.227718342809462e-06,2.9712936350137233e-06,3.091867003983304e-06,-1.8007973326371743e-07,-7.883099221073318e-08,-8.053838451070398e-10,-6.613004197416046e-10,-2.7146052219468033e-09,-2.382776440118693e-08,-0.00041218581269207273,4.90219021851858e-06,4.040214135112199e-06,8.065923501827051e-05,0.00013957012784068237,-0.0794071340199825,4.1587447745585176e-05,3.0403193147230272e-05,86.46764524098643,0.08176451596072314,-2.5848484304204705e-06,-5.98884540774417e-07,-7.971086194797237e-07,0.00018414703198603108,-1.532137115113048e-05
dB/dt tg03,1.0902114318937326e-06,5.275770292903467e-07,5.515638336149318e-07,-7.070999257188066e-07,-2.1469368951778603e-09,-2.0697032379159375e-10,-2.3246644769260727e-10,2.7430808677279763e-09,-1.8524115266457895e-08,-0.0003334779352432731,1.1269368066113078e-06,1.3754388348978046e-06,-5.597352592881451e-07,0.0001099542851397482,-0.0957275273313922,3.562074401367804e-05,2.6109775274814426e-05,-3.0276499172775604,0.06294826172461579,7.328898685536492e-08,1.613616580514348e-08,-1.8805248230535617e-07,-1.190027917604699e-05,-1.190983789035526e-05
dB/dt tg04,-3.510872019131458e-06,-1.1295799026121292e-06,-1.1692277012389389e-06,-1.0275124561920747e-06,4.5907761704133595e-08,1.8428554771247676e-10,4.815783529445131e-11,6.1946539475319585e-09,-1.3866503372543237e-08,-0.0002607290454496469,-1.3284040277057709e-06,-3.6025310164690975e-07,-5.514153368075551e-05,8.425537847760441e-05,-0.09626900628172463,2.9733553441682323e-05,2.17641385611577e-05,-62.379187005573456,0.04657906521416355,1.7211873146112805e-06,4.0242751175554043e-07,1.996304755892171e-07,-0.00014200211628649087,-8.908671085269029e-06
dB/dt tg05,1.1293485790341327e-06,5.786431245603245e-07,5.973887301501528e-07,-9.191510521436597e-08,-7.191268168995513e-09,-1.2876153819888674e-10,-1.0621371466945358e-10,-7.7613553830893e-11,-6.689953038541616e-09,-0.00013011160148753648,6.85845069139647e-07,5.951543123293152e-07,1.4707487360482615e-05,3.565724617589047e-05,-0.049604208470588516,2.4389406193106043e-05,1.7772892011986345e-05,14.707930821747073,0.02257111462772007,6.295718457755048e-08,1.0824472220118824e-08,-5.991044730631845e-08,3.105870045828071e-05,-4.315476028949161e-06
dB/dt tg06,1.5493888540297852e-06,7.062809272369136e-07,7.291490256945613e-07,7.922351617549523e-08,-1.3205065696697773e-08,-1.4375062896746636e-10,-1.0177668063328068e-10,-1.036064997851232e-09,-3.961316881775389e-09,-8.068879523084664e-05,8.005682326674597e-07,5.735687768848156e-07,2.2131422988956756e-05,1.902241023604459e-05,-0.03348658104918956,2.0811116590553097e-05,1.5063345967104418e-05,23.2081990454859,0.01333360538633597,-1.4129323328924427e-07,-3.411992931740284e-08,-7.204651373867147e-08,5.068844114847162e-05,-2.561150477360193e-06
dB/dt tg07,6.886750760826227e-09,1.0932425303212547e-07,1.110382715753468e-07,-9.887581532239226e-08,2.791972334463676e-09,-1.9685838424215836e-11,-2.2241790394462457e-11,4.4849312641886206e-10,-3.29048787191951e-09,-6.924813892794437e-05,2.7561835009494127e-08,8.848258212955479e-08,9.331247960741026e-07,1.6971203583534248e-05,-0.03252050871528811,1.826302905143781e-05,1.3117424661921584e-05,0.22079973974876355,0.010924678440763724,3.438365304254891e-07,8.42329603503201e-08,3.384991892951585e-08,-1.1687418161021895e-07,-2.121761929901974e-06
dB/dt tg08,-7.071371507580083e-07,-1.8047858920721687e-07,-1.8901484679272797e-07,-1.66197422238812e-07,9.804341599261234e-09,4.101837603711703e-11,1.7927686481861682e-11,1.0702855823265218e-09,-2.472605146593734e-09,-5.376046421374612e-05,-3.4293536278033353e-07,-1.530184502877223e-07,-9.046849022883849e-06,1.332842238736305e-05,-0.027697745412582415,1.5657789175997523e-05,1.112351756921766e-05,-10.49880021273715,0.0081096870172148,5.307909924496113e-07,1.3214907184434202e-07,8.094621879036017e-08,-2.3689356466901386e-05,-1.59121911097484e-06
dB/dt tg09,-2.1029995080500688e-07,-2.1387751996021532e-08,-2.3856734526526736e-08,-6.411662583814488e-08,3.674872519041604e-09,9.086736426549749e-12,2.1725149719377786e-12,3.881949618124957e-10,-1.3858855401642088e-09,-3.203420375761704e-05,-1.2621807065923017e-07,-4.899194184131637e-08,-2.16879044422964e-06,6.844720818016679e-06,-0.017763364687799005,1.3199543445349694e-05,9.241924111519317e-06,-2.7577383055191547,0.004502394489026953,2.9306519269311154e-07,7.867436100005081e-08,4.5554796739222615e-08,-6.295793450110099e-06,-8.923027778378722e-07
dB/dt tg10,3.0709890033215806e-07,1.5300346788665642e-07,1.5724276355504895e-07,2.756616811032179e-08,-2.4128707412851336e-09,-2.7033443882292658e-11,-1.7404658050640905e-11,-2.5888872034438823e-10,-6.900055813135926e-10,-1.774966659096459e-05,1.127534923259871e-07,7.695859686296434e-08,5.026003674701963e-06,2.510205479200807e-06,-0.010590648087680137,1.1504208494894411e-05,7.945449142917102e-06,5.2626270750901085,0.0022166157554537906,6.70988255120692e-08,2.6516929414805788e-08,8.43280400196037e-09,1.1608676246166964e-05,-4.4528056029440324e-07
