X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.449,100.000,0.0,1.0e-06,0.202
0.000,0.000,0.000,4.573,2523.481,0.1,6.0e-04,0.878
0.000,0.000,0.000,3.907,2327.580,0.2,5.7e-04,0.844
0.000,0.000,0.000,7.595,1482.893,0.6,1.0e-06,0.311
0.000,0.000,0.000,0.000,468.802,0.0,1.0e-06,0.100
