time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,7.926014078e-06,4.777866667e-04,1.076933333e-06,5.255653333e-05,1.007181318e+03,6.560000000e+01
6.070000e-06,3.583770750e-07,1.802542222e-04,5.311777778e-07,1.982796444e-05,5.878721071e+03,9.297000000e+01
7.080000e-06,2.015605336e-06,6.835155556e-05,2.798933333e-07,7.518671111e-06,1.438241196e+03,1.373600000e+02
8.520000e-06,3.158506605e-06,1.589342222e-05,1.147088889e-07,1.748276444e-06,7.830153978e+02,2.667900000e+02
1.053000e-05,-2.032295567e-07,2.470933333e-07,5.344577778e-08,5.344577778e-08,-3.425986297e+03,3.007130000e+03
1.255000e-05,-7.377923115e-07,-9.276933333e-07,4.899955556e-08,1.020462667e-07,-1.082584638e+03,-9.297900000e+02
1.456000e-05,-2.775293673e-09,-5.904000000e-07,3.629866667e-08,6.494400000e-08,-3.494211843e+04,-9.809600000e+02
1.744000e-05,3.282862007e-07,-7.868355556e-08,2.855422222e-08,8.655191111e-09,1.073358831e+03,-2.782190000e+03
2.146000e-05,2.781236224e-08,2.124711111e-07,2.829911111e-08,2.829911111e-08,3.938063420e+03,1.014670000e+03
2.549000e-05,-2.616593059e-07,2.775244444e-07,2.897333333e-08,3.052768889e-08,-6.633106508e+02,6.377900000e+02
2.950000e-05,-2.050638184e-07,3.052222222e-07,2.543822222e-08,3.357444444e-08,-6.116853796e+02,4.691400000e+02
3.528000e-05,1.580022003e-08,2.906444444e-07,2.465466667e-08,3.197088889e-08,2.507077558e+03,3.598100000e+02
4.330000e-05,1.184184884e-08,2.033600000e-07,2.396222222e-08,2.396222222e-08,2.159722656e+03,3.245400000e+02
5.140000e-05,-5.590782767e-08,1.437004444e-07,2.445422222e-08,2.445422222e-08,-5.766388203e+02,3.072900000e+02
5.941000e-05,-6.173388995e-08,1.214511111e-07,2.387111111e-08,2.387111111e-08,-4.240097115e+02,2.700800000e+02
7.095000e-05,-3.029239032e-08,1.008782222e-07,2.164800000e-08,2.164800000e-08,-5.070075862e+02,2.273400000e+02
8.707000e-05,1.104129990e-09,7.294355556e-08,1.958888889e-08,1.958888889e-08,3.278660449e+03,2.006000000e+02
