X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.513,100.000,0.0,1.0e-06,0.187
0.000,0.000,0.000,4.552,2472.029,0.1,6.0e-04,0.870
0.000,0.000,0.000,3.967,2310.921,0.2,5.6e-04,0.837
0.000,0.000,0.000,7.705,1464.088,0.5,1.0e-06,0.234
0.000,0.000,0.000,0.000,482.489,0.0,1.0e-06,0.100
