,thk_00,thk_01,thk_02,rho0_00,rho0_01,rho0_02,rho0_03,max_pha_00,max_pha_01,max_pha_02,max_pha_03,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,c_00,c_01,c_02,c_03
dB/dt tg01,6.801163940930501e-08,-4.6650719769127104e-08,-3.8353354532035496e-08,8.355040019917196e-09,-2.9771003357097363e-10,-4.1385099688754433e-10,-2.9025667166474698e-09,-0.0006093715777686195,2.0209442147976955e-06,3.113502945553183e-06,4.96646460466586e-05,-1.5642690987613963,1.5278252965774066e-05,1.0676994989651229e-05,0.037216258330936246,4.836914561281826e-07,-8.402998819159233e-08,-3.547445012457826e-07,-5.0666812571565565e-06
dB/dt tg02,-3.76640491569041e-07,-2.8596224631477335e-08,-1.847954290154691e-08,1.0362157729867825e-08,-1.464722872538278e-10,-2.2876770729883596e-10,-1.7773712107583673e-09,-0.00037689226794382797,9.440057511191572e-07,1.6936640515743052e-06,2.8603550886807122e-05,-1.169795567868637,1.2764423553401865e-05,9.112813237916035e-06,0.022597284530976723,1.570495255614402e-06,1.3272788008834337e-09,-1.7413085177083876e-07,-3.1052204475058084e-06
dB/dt tg03,-4.869311855233567e-07,-1.2368575439224271e-08,-9.911771197010354e-09,9.737261005312237e-09,-8.407514786823602e-11,-1.2423071466414042e-10,-1.1846044756379037e-09,-0.00025059981840085637,5.046544444054255e-07,9.00725155328112e-07,1.8153702650458377e-05,-0.8802493534758234,1.100096420773815e-05,7.934890097246188e-06,0.014914590628362485,1.8411128561964685e-06,2.9467170623673383e-08,-7.482082572055873e-08,-2.0704764604973266e-06
dB/dt tg04,-4.2791442616053226e-07,-2.3157313102228798e-09,-4.834497634259168e-09,7.530670021940758e-09,-4.6211882898325055e-11,-5.796652983555807e-11,-7.359461305508238e-10,-0.0001545625940580717,2.453352584563145e-07,4.0193365986523234e-07,1.0646435412873972e-05,-0.603574573569076,9.25757880575467e-06,6.711748992363213e-06,0.009139776746661015,1.7396842491622034e-06,3.9958333772985535e-08,-1.5841634990985313e-08,-1.2861879500874663e-06
dB/dt tg05,-2.755801997188053e-07,-3.1408474346442435e-09,-1.8762216002217e-09,4.741712532999244e-09,-2.0103102709401468e-11,-3.406581194775779e-11,-4.1702265517223613e-10,-8.842216734151342e-05,7.336816303639116e-08,2.233307062697789e-07,5.453225956448615e-06,-0.38205059184844053,7.663088436267372e-06,5.554884921174346e-06,0.005085786639501862,1.4095946411667132e-06,4.3409966911115184e-08,-2.859157355984559e-10,-7.281802501621731e-07
dB/dt tg06,-1.9009088682518285e-07,-2.2470699481597814e-09,-7.863866954835716e-10,3.2098644909266307e-09,-1.0063462818737435e-11,-2.0625698618390173e-11,-2.6207788733438855e-10,-5.5670478594452156e-05,1.1641432347186015e-08,1.2542640515188499e-07,3.122071393172115e-06,-0.25686607642753495,6.596023416540397e-06,4.762496512896898e-06,0.0031368131717498795,1.1067062473757743e-06,4.0509151363694256e-08,7.4271292463751704e-09,-4.569550395204891e-07
dB/dt tg07,-1.4621672015169355e-07,-3.5309558271426963e-10,-3.809273073522794e-10,2.382830634146315e-09,-6.358972471187069e-12,-1.0586705920533092e-11,-1.8004309622259095e-10,-3.779661855377307e-05,-7.818933782696011e-09,5.3347401445491056e-08,2.0045066746363275e-06,-0.18158283525884591,5.836784092097645e-06,4.19099093428401e-06,0.002115962682613666,8.720805243109194e-07,3.608131341599163e-08,1.3432844369177856e-08,-3.1335519262312346e-07
dB/dt tg08,-1.027688748040585e-07,5.908469524689173e-10,-1.307923739738567e-10,1.6248050254507253e-09,-3.539148373047416e-12,-4.229596613208067e-12,-1.1381026544480626e-10,-2.3561583275384816e-05,-2.0406887132510508e-08,9.215376768488356e-09,1.1490825283453316e-06,-0.11797098014750833,5.0584041974768325e-06,3.6001795444456255e-06,0.0013038173257277487,6.343156498328e-07,3.0949472372690275e-08,1.5567794190700288e-08,-1.9748452704159602e-07
dB/dt tg09,-6.162843374759016e-08,2.947294448446422e-10,-2.601933611801012e-13,9.753695868405338e-10,-1.3933527313468848e-12,-2.309912806858627e-12,-6.620373288470522e-11,-1.3673068374626413e-05,-2.8213835571947792e-08,-1.7540750236763525e-09,5.63883226927744e-07,-0.07115971621547926,4.321327325576754e-06,3.0371817492678772e-06,0.0007321267040482514,4.26170298245117e-07,2.585763647646838e-08,1.3431650688128872e-08,-1.1430705567814701e-07
dB/dt tg10,-3.720565484138162e-08,-1.2230537739861888e-10,3.9606869822255354e-11,6.05726391214127e-10,-3.5515173106962116e-13,-2.0982360605040006e-12,-4.179496062300642e-11,-8.705875230796728e-06,-3.0389934396471805e-08,-8.831579404580398e-10,2.8670301761217044e-07,-0.04645794052627601,3.811760830833948e-06,2.646732342805717e-06,0.00044579592617397613,3.004597429849016e-07,2.2138937986027084e-08,1.0883455360326678e-08,-7.175028631980524e-08
dB/dt tg11,-2.5896788009757077e-08,-4.726201432346555e-11,4.0317652536240484e-11,4.223714982075929e-10,-3.110860764990281e-14,-1.2770606422639975e-12,-2.8649312066566697e-11,-5.939120853578343e-06,-2.9001416431834132e-08,-5.110186633517014e-09,1.6137309506586528e-07,-0.032202577928660284,3.43778544279566e-06,2.3600272494235308e-06,0.0002951490040262756,2.2106384297531538e-07,1.9185644599266876e-08,9.76878104451868e-09,-4.8898391552718255e-08
dB/dt tg12,-1.8830302273717596e-08,2.581646312060505e-10,2.4652141851082092e-11,2.9549616852658946e-10,2.6926169521816753e-14,-5.344470795573123e-14,-1.8518276732371964e-11,-3.7326455969057724e-06,-2.5598039236022248e-08,-1.2171522108997538e-08,8.562258307401752e-08,-0.02050738035670784,3.0401191133628783e-06,2.055525248143491e-06,0.00018246318203820892,1.5042842106091384e-07,1.5946107015877544e-08,9.024517185599675e-09,-3.136121998430883e-08
dB/dt tg13,-1.1385394653509853e-08,2.0704110051260903e-10,1.370174792996834e-11,1.7944388583039055e-10,1.6805516625672115e-13,1.499317435576804e-13,-1.0958201246183213e-11,-2.1858062882776903e-06,-2.285327360253745e-08,-1.1727398871723793e-08,3.053900977002113e-08,-0.012166835240915344,2.650731222467129e-06,1.7584311987569589e-06,0.00010110379224845438,9.550794699223906e-08,1.2964745627940277e-08,7.35954401954594e-09,-1.833600710185081e-08
dB/dt tg14,-6.522493233390282e-09,6.724097388809564e-11,7.707754803587335e-12,1.085177603414463e-10,2.748685429826359e-13,-2.6956635046707608e-14,-6.8979344856554806e-12,-1.3955044014962942e-06,-2.09362434201282e-08,-9.025040300370676e-09,3.180303705701378e-09,-0.00784612297286846,2.368129373622731e-06,1.5440640774749904e-06,5.904444636163888e-05,6.473427604520515e-08,1.0910268747451e-08,5.8911694668828314e-09,-1.1383130614282031e-08
dB/dt tg15,-4.183583557802021e-09,3.1874088066401475e-11,1.929095437971296e-12,7.26398549223955e-11,2.9369436272210883e-13,-2.63226749447658e-14,-4.698164400446374e-12,-9.552762342917802e-07,-1.9115626854827024e-08,-7.998873797486812e-09,-6.864830280708857e-09,-0.005405343020674437,2.154372027842039e-06,1.3830295751947381e-06,3.731639124504187e-05,4.64023438045162e-08,9.386822579937065e-09,4.9731055739472045e-09,-7.647181317821903e-09
dB/dt tg16,-2.6959206366405936e-09,5.237674461712102e-11,-4.820954723819659e-12,4.728564211177543e-11,2.6299443833680473e-13,8.957499612135766e-14,-2.938771820272121e-12,-5.885275749503633e-07,-1.671423469536962e-08,-7.696151537581616e-09,-9.825346753542933e-09,-0.003342383941532555,1.906417353502117e-06,1.197969769981036e-06,2.1051487553393233e-05,3.0095534296214526e-08,7.678905400314995e-09,4.09565427960769e-09,-4.693581771703907e-09
dB/dt tg17,-1.8557703011061508e-09,7.731089557885115e-11,-9.551704374567767e-12,3.185825630984312e-11,2.1923274180733173e-13,1.8841004994926678e-13,-1.8083739798921388e-12,-3.498008098643712e-07,-1.4374600983813184e-08,-7.351741009642757e-09,-8.706563644962386e-09,-0.001985735303045337,1.6666195659829165e-06,1.0214996788499618e-06,1.1474187612940033e-05,1.8763821157506595e-08,6.1330249918493336e-09,3.313970938526981e-09,-2.8251878240750007e-09
