,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,4.640714376927489e-06,1.243108646633178e-06,1.3239457853720627e-06,-1.7541300518344515e-06,-3.4579522800540813e-08,-7.421859859487108e-10,-7.216987825992693e-10,6.031310096085478e-09,-4.527610166495159e-08,-0.0006738094438402843,4.4914643895874135e-06,4.440973794113359e-06,3.848140137371932e-05,0.0002639820655197363,-0.2040752891458757,4.189071280597663e-05,2.9362919208717394e-05,-5.975067922742813,0.13781280907438995,-1.2620050968347412e-06,-4.4692092824265875e-07,-8.279963856193121e-07,0.000854904309301862,-2.7250160363275164e-05
dB/dt tg02,1.6787276727435456e-06,1.6306695225296106e-06,1.6652844416262682e-06,-1.8312908189379821e-06,4.274958174578172e-09,-6.982193729345992e-12,-2.4902461820670944e-10,8.529684973737368e-09,-3.229390680536038e-08,-0.0004558610397273648,-1.3674513404982037e-07,1.4465055898981612e-06,7.310699883803531e-05,0.00018726815090089343,-0.18120563439104542,3.4864582559040304e-05,2.466127192715757e-05,-8.214485709689194,0.09766641861444961,7.140212905861566e-08,2.51085270754539e-07,-1.8949278692318294e-07,0.0005521451834006654,-1.946276844728103e-05
dB/dt tg03,9.015678935054316e-07,5.769792591429777e-07,6.002930869263381e-07,-7.43472007112722e-07,9.709107523110015e-10,-1.9375425443510317e-10,-2.1188353601868303e-10,2.956379329474666e-09,-2.1017435570883767e-08,-0.00031430770842896886,1.0590741206702437e-06,1.2464707564245203e-06,2.1470688577339488e-05,0.0001162423700911027,-0.14565204732967388,2.991603217825151e-05,2.1214541337843323e-05,-2.645368580761107,0.0637114631651293,2.51163467047196e-07,1.4276298566740767e-08,-1.6703800920838177e-07,0.00035932803840042364,-1.2692290380481836e-05
dB/dt tg04,5.372131751253724e-07,-1.467681829396905e-07,-1.3030635087852198e-07,8.013032709628264e-09,-3.949604862023728e-09,-3.2551456768448937e-10,-1.923845306897376e-10,-8.997132942107463e-10,-1.2210731619236224e-08,-0.00020150793160129962,1.9134010553886254e-06,1.1522232520494284e-06,-1.402681866669257e-05,6.24485647641659e-05,-0.10771771605822765,2.5037367435408174e-05,1.7736329006801943e-05,1.136221620071051,0.03714576571691557,2.7803010601613404e-07,-1.6424256640878444e-07,-1.6823240473793622e-07,0.00021370034452272777,-7.393911063417734e-06
dB/dt tg05,3.182763241624163e-08,3.397358325019568e-07,3.4439119250704553e-07,-3.6532527715192915e-07,6.118689272523887e-09,4.6825004579745455e-12,-3.906720891055114e-11,1.7867919701196226e-09,-8.700804520042457e-09,-0.0001315926661252477,-1.4666567327313141e-07,1.8107491060554776e-07,1.559857088237835e-05,4.59458660692642e-05,-0.0809059830425096,2.0606215220454193e-05,1.4538963964498756e-05,-1.6028947381093972,0.026089097314835146,5.037913288806068e-07,1.4000812806347327e-07,2.865455839038542e-08,0.00013422312182645327,-5.265594596493125e-06
dB/dt tg06,-8.321375288952869e-08,3.332615207231088e-07,3.345132142473454e-07,-3.318588137321739e-07,6.655093470393022e-09,5.755682337331481e-11,-3.2845876581769284e-12,1.771800384001639e-09,-6.088952942468151e-09,-9.081644464530736e-05,-4.633567376141396e-07,-3.694735783638753e-08,1.6450352675569758e-05,3.1997407644261085e-05,-0.06134102886051909,1.7639056026009304e-05,1.2370295666477495e-05,-1.6351662102998783,0.01811908395257158,4.892935881593488e-07,1.702446804160242e-07,6.417778254001388e-08,8.885238165505456e-05,-3.6851285526223044e-06
dB/dt tg07,-3.956804591601157e-08,1.0062584988416162e-07,1.020941005830959e-07,-1.0833676877213004e-07,3.106292478634593e-09,-1.5154893550015732e-11,-1.966009903207417e-11,5.106519128980718e-10,-3.916081764727619e-09,-6.395082448010933e-05,7.996351540296622e-09,7.87027704025717e-08,4.118422552573262e-06,1.918743987224438e-05,-0.04657535953569207,1.5525238606221354e-05,1.0812549267836508e-05,-0.4127648596448121,0.011642464787043918,3.8250463919860507e-07,7.793324650894247e-08,2.9146488392001268e-08,5.8652960023731166e-05,-2.37366596177165e-06
dB/dt tg08,-1.2096975918620568e-08,-1.9482521864174822e-08,-1.823915541388806e-08,1.2241868714774102e-08,1.0102597712151161e-09,-4.6227313371834305e-11,-2.4057742941169255e-11,-1.5264010813943674e-10,-2.3088680613050968e-09,-4.2038896464256255e-05,2.1709258102081e-07,1.1603519161908178e-07,-2.249879573146805e-06,1.022203362882653e-05,-0.03338236815191572,1.3361182143831327e-05,9.21238559363315e-06,0.2183235460065657,0.006840259992234321,2.9102227994171554e-07,2.8707494276294854e-08,1.1626807257673314e-08,3.5616704233859486e-05,-1.4017407399115706e-06
dB/dt tg09,-3.260588910764224e-08,1.8754802814205975e-08,1.8954549974237842e-08,-1.7663872387937477e-08,1.3141657502194398e-09,-1.3477095713404288e-11,-8.713687654931555e-12,6.93851529537749e-11,-1.5044928301832344e-09,-2.7238762694427653e-05,2.2846073106759035e-08,2.418865632712584e-08,3.018588685119078e-07,6.622117686355739e-06,-0.023349326508906802,1.1315388984227235e-05,7.696845137514215e-06,-0.025844648332445857,0.0044001885977540105,2.41141388116589e-07,4.6940702366166514e-08,2.3793713156513907e-08,2.202401425656818e-05,-9.123196444098041e-07
dB/dt tg10,-5.375517691210389e-08,6.82941327915756e-08,6.776346760006982e-08,-6.350174272400576e-08,1.9114063055400473e-09,1.752842681242646e-11,3.900520794277363e-12,3.647911876574818e-10,-1.1711378023255115e-09,-1.95654828894565e-05,-1.6423278392583511e-07,-5.2568692023612784e-08,3.476225461255203e-06,5.504648287698159e-06,-0.01752643397237861,9.901780928658183e-06,6.6489332193915735e-06,-0.33341816720174045,0.003382022801612011,2.1168399722308764e-07,6.856044516732557e-08,3.542028217200622e-08,1.5738901393649623e-05,-7.083543415498153e-07
dB/dt tg11,-4.257919423960131e-08,4.9420884227535336e-08,4.886981907277183e-08,-4.533287454494461e-08,1.4411872340722767e-09,1.3465055569029311e-11,3.4311660222508026e-12,2.6348294729033035e-10,-8.31288410307663e-10,-1.4279326938210584e-05,-1.323503746178556e-07,-4.594768869380609e-08,2.520924363866974e-06,3.8060237759004655e-06,-0.013391633027420559,8.863478284949099e-06,5.8792802764803064e-06,-0.24065316117585547,0.0023806826673715615,1.717312457958676e-07,5.690223332139432e-08,3.003516492841598e-08,1.1053313253781061e-05,-5.023929959779544e-07
dB/dt tg12,-1.4948708476248602e-08,-2.750924165112439e-09,-3.000109349288028e-09,4.2748407845296454e-09,4.1816094335162193e-10,-6.917924585385631e-12,-2.974175163175179e-12,-3.098695317851262e-11,-4.361642433731125e-10,-9.218273309881558e-06,2.8214182713944407e-09,-7.405027814391348e-10,-4.3184827152067165e-07,1.5905188793359371e-06,-0.009325910358861366,7.759334571020848e-06,5.0623865716239004e-06,0.045609166235038884,0.0012338076415873151,1.196751880726167e-07,2.8155933914090235e-08,1.5961150780292136e-08,6.35486425594265e-06,-2.638451286686415e-07
dB/dt tg13,-1.006003963618358e-08,-4.1798443244678595e-09,-4.454465872968397e-09,5.362928364432432e-09,2.541208122982887e-10,-4.995073790172508e-12,-1.8887953832823494e-12,-3.426623784246701e-11,-2.5921644019051094e-10,-5.9001558735458655e-06,-3.029464044798976e-09,-4.352005335860329e-09,-4.2067248225186924e-07,8.463877258874227e-07,-0.0063317536443178064,6.680460438568291e-06,4.268588633834562e-06,0.043463929455795254,0.0007192203286012738,8.748777750863408e-08,2.300812412357138e-08,1.3124547227357422e-08,3.8062643987097057e-06,-1.564492411168704e-07
dB/dt tg14,-1.3217201946083749e-08,9.795869343509007e-09,9.440449847076071e-09,-8.161031084934129e-09,3.960765262939404e-10,2.738432425931394e-12,9.700562245927083e-13,4.9000094663105856e-11,-2.0971855312028495e-10,-4.256809797727897e-06,-4.738718544765662e-08,-2.0518024254660813e-08,4.56730639517969e-07,8.064470968963375e-07,-0.0046696293535614716,5.899427998504706e-06,3.698262895373478e-06,-0.04241649989512577,0.0005758771883840456,7.132321721096497e-08,2.6107706585389053e-08,1.4277993664837083e-08,2.8043883399672866e-06,-1.260725276243839e-07
dB/dt tg15,-1.142697072978546e-08,1.0932468325569252e-08,1.061184064192919e-08,-9.3925511594814e-09,3.564437208849134e-10,3.953373441458097e-12,1.4634385396369022e-12,5.711516320355296e-11,-1.597829072016054e-10,-3.166908300088976e-06,-5.177948020625441e-08,-2.198798814858057e-08,5.544688019365737e-07,6.33253405703374e-07,-0.0035638908652354316,5.310143816460529e-06,3.2714364333846174e-06,-0.052199344750888534,0.0004342516125621396,5.7619538236458215e-08,2.384268975569696e-08,1.2867690555128812e-08,2.068814024398248e-06,-9.580437442822522e-08
dB/dt tg16,-6.4190612512489285e-09,4.2480767895105374e-09,3.999267807407056e-09,-3.2917795569051696e-09,1.9282680000882365e-10,1.4771323722734543e-12,6.510774243931795e-13,2.039381385331038e-11,-9.330069807933332e-11,-2.076586536225649e-06,-3.246779177085084e-08,-1.4785955197755654e-08,1.8930046842674567e-07,3.184221861556617e-07,-0.002459075081336104,4.6293595418685406e-06,2.783753409362214e-06,-0.017234079835004457,0.0002474136586088779,4.122504777894381e-08,1.7435231478241354e-08,9.397951048771846e-09,1.257019103179158e-06,-5.574630070146678e-08
dB/dt tg17,-2.221759613238891e-09,-2.271921837778043e-09,-2.4777977714706833e-09,2.6183722666169503e-09,4.7564318381864194e-11,-1.1091951635351184e-12,-2.257393728773402e-13,-1.5540754747487684e-11,-4.238214564778391e-11,-1.2770138012682943e-06,-1.272087314053113e-08,-7.320775489576992e-09,-1.7278926582495875e-07,6.896609943298788e-08,-0.0016206847534089262,3.975665406260031e-06,2.32324802000933e-06,0.017335179172824625,0.00010579440187193121,2.771356645375761e-08,1.1330610990089689e-08,6.117338107596166e-09,6.617562162316457e-07,-2.5146520341605396e-08
