name	ri	minT(us)	maxT(us)	lam	lam_fin	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
B013	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.16e-04	123.635	214.328	 1.0
B013	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.18e-04	110.441	112.457	 0.9
B013	r002	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.11	25	14	1.19e-04	104.213	 67.633	 1.2
B013	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.18e-04	110.691	 52.482	 2.2
B013	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.17e-04	120.860	 45.587	 1.9
B013	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.18e-04	110.965	 28.681	 1.0
B014	r000	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.05	25	12	1.23e-04	111.799	272.569	 1.1
B014	r001	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.08	25	12	1.25e-04	102.819	135.536	 1.3
B014	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.24e-04	105.107	 84.908	 1.0
B014	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.26e-04	108.617	 60.160	 1.0
B014	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.23e-04	112.890	 44.097	 1.0
B014	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.21e-04	115.126	 33.135	 1.0
B015	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.34e-04	128.859	173.185	 1.0
B015	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.40e-04	286.100	842.599	 1.0
B015	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.40e-04	106.506	 66.236	 1.0
B015	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.40e-04	102.893	 45.195	 1.1
B015	r004	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.17	25	13	1.40e-04	156.461	 77.638	 1.2
B015	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.39e-04	105.197	 25.226	 1.0
B016	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.38e-04	112.819	173.344	 2.4
B016	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.40e-04	105.313	100.292	 2.3
B016	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.40e-04	109.750	 77.845	 1.2
B016	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.39e-04	232.026	182.026	 1.0
B016	r004	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.17	25	12	1.39e-04	104.251	 35.155	 1.1
B016	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.39e-04	109.961	 30.053	 1.0
B017	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.39e-04	 97.466	221.648	 1.0
B017	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.39e-04	 97.335	111.176	 1.0
B017	r002	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.11	25	13	1.40e-04	100.982	 72.611	 1.2
B017	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.38e-04	128.266	 81.865	 1.0
B017	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.38e-04	120.936	 48.187	 1.0
B017	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.39e-04	117.309	 34.398	 1.0
B018	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.55e-04	114.571	376.866	 1.0
B018	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.56e-04	147.838	202.071	 1.0
B018	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.55e-04	105.627	 88.371	 1.0
B018	r003	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.14	25	12	1.54e-04	107.156	 57.409	 1.1
B018	r004	5.0	100.0	   500.0	    14.1	1.0e+02	8.0e-01	0.17	25	15	1.55e-04	 99.526	 34.265	 1.3
B018	r005	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.20	25	14	1.54e-04	110.394	 30.467	 1.2
