,thk_00,thk_01,thk_02,rho0_00,rho0_01,rho0_02,rho0_03,max_pha_00,max_pha_01,max_pha_02,max_pha_03,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,c_00,c_01,c_02,c_03
dB/dt tg01,1.718558243141536e-05,-8.882147036851673e-08,1.4385590761637126e-07,-7.974677401422757e-07,-6.000781369853329e-10,-8.741796094817624e-10,-1.697220169491904e-09,-0.001655586193792672,2.9450612097796826e-06,5.593125224363036e-06,4.515377356720558e-05,-3.563756923932067,0.0023802024241553594,1.9640602225505992e-06,0.03561741748906479,-4.361768060607573e-06,3.1802891736270256e-07,-8.4169948347977e-07,-3.6623380497444254e-06
dB/dt tg02,8.07025651387881e-06,-4.6155498116791396e-08,7.87589802344162e-08,-3.5154205329460057e-07,-2.822707750987209e-10,-4.5611467529472805e-10,-1.087232096572656e-09,-0.001032264925236754,-3.1380503980790064e-07,2.9073325584249618e-06,2.7348854695940734e-05,-2.987128532190296,0.001650809961580461,6.297770893701999e-06,0.02263257544176435,1.5439449327093677e-06,3.0917227886372374e-07,-4.2010794460589095e-07,-2.3478447411286226e-06
dB/dt tg03,4.210049490444387e-06,-2.727281715327296e-08,4.66785754674396e-08,-1.71676895141451e-07,-1.4470360042916406e-10,-2.595394919440817e-10,-7.345499183239049e-10,-0.000684198018361847,-1.344073027009641e-06,1.6447254977791167e-06,1.7548239374670146e-05,-2.3535769806466007,0.001202502461746729,8.155118850695667e-06,0.015154822534816193,3.597975872358782e-06,2.5629752460454844e-07,-2.2444768467501537e-07,-1.5867393513496786e-06
dB/dt tg04,2.0282154746026994e-06,-1.5731161943828103e-08,2.5079502418348276e-08,-7.686387036092088e-08,-6.544953723426814e-11,-1.3392225345521589e-10,-4.539996122215508e-10,-0.00041620083381292407,-1.5675060142049443e-06,8.384909474401126e-07,1.015394842874436e-05,-1.6430813249526626,0.0008178958502161466,9.041164281357142e-06,0.009241074527422932,4.089969703744111e-06,1.8207379854995017e-07,-1.0219671729436373e-07,-9.80530392944972e-07
dB/dt tg05,8.448652390723118e-07,-8.726601084714862e-09,1.2126077226021706e-08,-2.7866816461332853e-08,-2.3272828260029688e-11,-6.13887272334964e-11,-2.587900487253704e-10,-0.00023450306064028297,-1.4051002940874912e-06,3.739779641703469e-07,5.301582728753218e-06,-1.0456859588923018,0.0005215269424983589,9.115156342516282e-06,0.005165359360891872,3.568630560451145e-06,1.1529444690911942e-07,-3.432029991379422e-08,-5.583544763570921e-07
dB/dt tg06,4.029271797213522e-07,-5.590419833961137e-09,6.591854829314905e-09,-1.1044225885511206e-08,-8.170040656694278e-12,-3.1826057934727314e-11,-1.6124425285445971e-10,-0.00014553043811117434,-1.1586850059424467e-06,1.8550781691514497e-07,3.0334866484736804e-06,-0.6998931618470785,0.0003559293753550299,8.780601828800595e-06,0.0031536669211791254,2.8623372610489264e-06,7.501180280196912e-08,-8.581911344327415e-09,-3.4729589777293206e-07
dB/dt tg07,2.2282156658249092e-07,-3.975157293092685e-09,3.9539725076366444e-09,-5.043830368846503e-09,-2.4796150199227e-12,-1.8423241034570446e-11,-1.0780790081454652e-10,-9.739109409339291e-05,-9.42212322106175e-07,1.0068828808625924e-07,1.8691119171180848e-06,-0.49026598836407737,0.00025563092619392826,8.357979140045464e-06,0.0020659892245259923,2.2632764358403106e-06,5.0110924275500656e-08,1.8186613947326465e-09,-2.3168154072196183e-07
dB/dt tg08,1.0588729737696727e-07,-2.662734522056087e-09,2.091088666626462e-09,-1.5364040102937218e-09,6.917037345112488e-13,-9.297109111884302e-12,-6.577671233222322e-11,-5.970836057749252e-05,-7.148426945223332e-07,4.360710198758532e-08,1.012114011491512e-06,-0.3145342312857427,0.00016867956312409496,7.774669573352206e-06,0.0012234251141515756,1.6415295023275738e-06,2.9320641271227626e-08,7.701772657606595e-09,-1.4080727217106403e-07
dB/dt tg09,4.355675476754323e-08,-1.698681559082018e-09,9.789376948108994e-10,-1.3414417363321046e-12,1.8277513764112434e-12,-4.117782261204526e-12,-3.7198593030552944e-11,-3.4113002599681494e-05,-5.078094059801198e-07,1.2024525521639979e-08,4.817574089703374e-07,-0.1869116820698154,0.00010228133404832213,7.076531462135934e-06,0.000663286229710679,1.0940541071820343e-06,1.4615636376458772e-08,9.697569156852077e-09,-7.91226734552027e-08
dB/dt tg10,2.120624533276073e-08,-1.175905881666796e-09,5.000768664586077e-10,3.217475903730675e-10,1.865579048707285e-12,-2.031168773662434e-12,-2.315338681075698e-11,-2.1483660211473474e-05,-3.7620967364497857e-07,-7.938251751459071e-11,2.4889707092328314e-07,-0.12044087712087344,6.592584643557135e-05,6.505060629200517e-06,0.0003954537810151929,7.648633555990294e-07,7.3927866759200695e-09,9.545822046088425e-09,-4.889234864721531e-08
dB/dt tg11,1.1471221404797825e-08,-8.560163102572652e-10,2.6292038487854535e-10,3.684210813279314e-10,1.6735500689525356e-12,-1.0530260439527067e-12,-1.545468886080398e-11,-1.4512003658292227e-05,-2.891446071293783e-07,-5.335446669483926e-09,1.3469395362851697e-07,-0.08257242384828674,4.435721509818474e-05,6.034266685090204e-06,0.00025260924096015194,5.578993860937563e-07,3.6286152109127167e-09,8.875642473477171e-09,-3.2379177195479126e-08
dB/dt tg12,5.225309031620541e-09,-5.718748491722141e-10,9.502579969693667e-11,3.3308919850025857e-10,1.359963160895395e-12,-3.9775556650467526e-13,-9.430850390264543e-12,-9.000555925592609e-06,-2.0772605942403694e-07,-8.377813482035277e-09,5.6850396988802205e-08,-0.05193958514715989,2.629274834509481e-05,5.478237562597742e-06,0.0001445041139604246,3.751855062572501e-07,9.993749980847059e-10,7.78512708487778e-09,-1.9520431663484223e-08
dB/dt tg13,2.079830937144352e-09,-3.4952761557557787e-10,-4.647107518654183e-12,2.483002862859479e-10,1.0071144231842308e-12,-3.765645527384045e-14,-5.3465143776739475e-12,-5.209710174350728e-06,-1.4061082677692161e-07,-9.465917783999017e-09,1.3856732828538918e-08,-0.030408200973293532,1.3367437474224372e-05,4.868343422524102e-06,7.45312274102101e-05,2.353331211678052e-07,-3.913919239701628e-10,6.4578837975121096e-09,-1.086683932391877e-08
dB/dt tg14,9.942379357437626e-10,-2.2265677632840224e-10,-4.58767714437768e-11,1.7901238457067112e-10,7.563032342751344e-13,9.789559764058162e-14,-3.330838141295708e-12,-3.3061350503180163e-06,-1.0053961268186014e-07,-9.388680080924983e-09,-1.8366127331323668e-09,-0.019411435908904692,6.834712017316778e-06,4.37689535710308e-06,4.1992220039809955e-05,1.5813978628802416e-07,-7.939407983124291e-10,5.395415012370334e-09,-6.639915560064032e-09
dB/dt tg15,5.240576696465992e-10,-1.453288771937955e-10,-6.424348362014054e-11,1.3323931394756324e-10,5.848938894081121e-13,1.5393978137367004e-13,-2.231015292084881e-12,-2.251099417450395e-06,-7.527776671303302e-08,-8.994537572757675e-09,-7.75958575352015e-09,-0.01326654102375415,3.3438225631934685e-06,3.9736275547857604e-06,2.5253514412683854e-05,1.1253617570231247e-07,-8.487431822577909e-10,4.5693733291382975e-09,-4.3584468037070895e-09
dB/dt tg16,2.3807400211989193e-10,-7.547256056321767e-11,-7.443065316589665e-11,8.901846391413833e-11,4.126307444883197e-13,1.8165256619758703e-13,-1.3334473580827926e-12,-1.3748310113779502e-06,-5.143391828174195e-08,-8.253421564713006e-09,-1.0101279301497378e-08,-0.008127289846294733,6.875979252941977e-07,3.4680610721025297e-06,1.2592665535075451e-05,7.228566868320859e-08,-7.292069667795368e-10,3.6123707118586956e-09,-2.5228534253679433e-09
dB/dt tg17,1.1986647786135405e-10,-2.7195883409426203e-11,-7.561822340520805e-11,5.6061588547156126e-11,2.7775788487313005e-13,1.8240542438751356e-13,-7.650901482033598e-13,-8.080051725233619e-07,-3.3732383729169305e-08,-7.321528485848528e-09,-9.568297177130114e-09,-0.004783930500916412,-7.03670504951704e-07,2.939043419622089e-06,5.426328261407181e-06,4.4597310079216273e-08,-5.188578765839961e-10,2.7174511763341235e-09,-1.3848344764256462e-09
