,thk_00,thk_01,thk_02,rho0_00,rho0_01,rho0_02,rho0_03,max_pha_00,max_pha_01,max_pha_02,max_pha_03,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,c_00,c_01,c_02,c_03
dB/dt tg01,7.483716320517625e-07,-2.4288278842149145e-07,-1.791861891898598e-07,-1.6884583909971156e-09,-2.4917283509165564e-10,-3.327806390285176e-10,-7.978316511193314e-09,-0.0006334348105927968,1.8275860345618078e-06,2.1835677170868296e-06,8.994712772908932e-05,-1.0376826663013563,5.676371025357485e-05,1.9238798052422863e-05,0.06531304146726302,-6.679373061536477e-08,3.0587007479758065e-08,-2.573495884939327e-07,-9.551167854158499e-06
dB/dt tg02,8.58551696528487e-08,-7.924587636501827e-08,-5.276156499853439e-08,4.6311475094603084e-09,-1.4306490762657054e-10,-1.8384769130356338e-10,-4.8959044098958e-09,-0.00040084469113236957,9.535961041704728e-07,1.1842593381757461e-06,5.192595930426907e-05,-0.7983184275346753,4.897918306382366e-05,1.8407993990946452e-05,0.039778808535509386,9.120800078619302e-07,5.530918397214728e-08,-1.1895705463208297e-07,-5.865043383302746e-06
dB/dt tg03,-2.925880294370596e-07,-6.82400742707434e-08,-4.9547660794260014e-08,7.411653300420317e-09,-7.4801447220641e-11,-1.0339233377876383e-10,-3.283727206441783e-09,-0.0002728873168235793,4.0152324319031266e-07,6.52879819499919e-07,3.3322997126066866e-05,-0.6177623765039836,4.3390171899558684e-05,1.7431221739247006e-05,0.026422890422822434,1.2456472333546164e-06,6.953420355880771e-08,-4.7252092135354205e-08,-3.935946224968406e-06
dB/dt tg04,-4.113120509810181e-07,-6.293861961849136e-08,-4.901813819180784e-08,7.338757518807152e-09,-3.137452239236263e-11,-5.143899042248638e-11,-2.057918925295681e-09,-0.00017333436848503917,6.39759976392223e-08,3.1159690114705666e-07,1.985907356759023e-05,-0.44004607484958497,3.7725038322304696e-05,1.613516330739017e-05,0.016336723537485654,1.2858085809975842e-06,7.154952161848879e-08,-4.512852701773457e-09,-2.4670777799410884e-06
dB/dt tg05,-2.3759043281920996e-07,-9.834720629853169e-09,-6.142884437325546e-09,4.592461367372436e-09,-2.096540104470619e-11,-2.861333142987933e-11,-1.1694346340655606e-09,-0.00010234369357291237,4.915364717054475e-09,1.592306505096601e-07,1.01945483967453e-05,-0.29175036699104734,3.23766854810268e-05,1.4667130573969794e-05,0.009136077996778751,1.1103749788665705e-06,5.8763051617478126e-08,9.82814083472385e-09,-1.4003927189413003e-06
dB/dt tg06,-1.6535301835960937e-07,1.7606851883343646e-09,2.6740668447146566e-09,3.2219430968993105e-09,-1.321399225266257e-11,-1.6884581272680033e-11,-7.379702890161198e-10,-6.627321526752182e-05,-3.9421396569237573e-08,8.332641681245218e-08,5.873635783421842e-06,-0.20431963004762105,2.8668402783670455e-05,1.351252327190329e-05,0.005667913711761605,9.1700024623052e-07,5.066867015699048e-08,1.555840527422849e-08,-8.824228576019539e-07
dB/dt tg07,-1.5435213430126068e-07,-4.838775889323945e-09,-3.4894656445825702e-09,2.676500927681627e-09,-5.858459277287066e-12,-9.201932772027037e-12,-5.108819458315641e-10,-4.616822134298112e-05,-8.560614740979667e-08,3.526882323527887e-08,3.840807628285544e-06,-0.14971262762129645,2.5939764157668793e-05,1.259179418811521e-05,0.003855758345123135,7.556811641668184e-07,4.5879338473231404e-08,1.8802948154467807e-08,-6.100450149070704e-07
dB/dt tg08,-1.2534295536874474e-07,-6.986399319130351e-09,-5.712833768387676e-09,2.0130761483222774e-09,-1.427925749638544e-12,-4.109556302684134e-12,-3.257373940219256e-10,-2.9698199596202033e-05,-1.062582020310447e-07,4.1978005852704965e-09,2.2540372935290445e-06,-0.10167223462046424,2.3034495174375492e-05,1.1547359760009038e-05,0.0024000232941645268,5.788798199882634e-07,3.946131278910036e-08,1.9315163477020352e-08,-3.880180207961327e-07
dB/dt tg09,-7.525011936488373e-08,-2.1425126043988984e-09,-1.818506730892053e-09,1.2383587074109393e-09,-6.870841210914097e-13,-2.0500119186091367e-12,-1.903745272168394e-10,-1.7814173844622294e-05,-9.624730195833643e-08,-7.357698210758055e-09,1.1242711639829007e-06,-0.0645041200909172,2.014112288137279e-05,1.0438983494883932e-05,0.0013585709605129577,4.1094880494455335e-07,3.17207980195852e-08,1.702998895097875e-08,-2.2573687137472982e-07
dB/dt tg10,-4.0702358691766664e-08,1.862927418418839e-09,1.4974979120533332e-09,7.444586526365289e-10,-9.969321069381602e-13,-1.4836907205518507e-12,-1.2020648043256557e-10,-1.1630142142522774e-05,-8.207355345553164e-08,-9.591451634206234e-09,5.740041219502411e-07,-0.04389148608081631,1.8026444565503388e-05,9.583706539153961e-06,0.0008307255186289676,3.0252512242052167e-07,2.601797442282171e-08,1.4574395589954251e-08,-1.4173742110211632e-07
dB/dt tg11,-2.920682726418414e-08,1.5180941148152028e-09,1.1516898161483383e-09,5.357320184784857e-10,-4.5182074974978465e-13,-8.046821384326122e-13,-8.272118510005449e-11,-8.11839211325529e-06,-7.795351752319873e-08,-1.2590670432585734e-08,3.311598909299164e-07,-0.0315051681643469,1.639370913358216e-05,8.895676763523813e-06,0.0005539610271582471,2.3119237007905728e-07,2.2268659373265347e-08,1.300955621271198e-08,-9.703314183694452e-08
