,thk_00,thk_01,thk_02,rho0_00,rho0_01,rho0_02,rho0_03,max_pha_00,max_pha_01,max_pha_02,max_pha_03,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,c_00,c_01,c_02,c_03
dB/dt tg01,9.604162532742923e-07,-2.436944503892235e-07,-1.7396045570162644e-07,-4.1202113189302775e-09,-2.5167365697242496e-10,-3.6113765217233235e-10,-8.145068449398872e-09,-0.0006529808451671389,1.7578661771916526e-06,2.329153377453917e-06,9.165041838989304e-05,-1.1242423745001355,9.205362586541911e-05,2.5244622435174407e-05,0.0664775499292293,-4.584080086386949e-08,7.005009782637596e-08,-2.8736175345511774e-07,-9.728182747139323e-06
dB/dt tg02,1.4187858532043833e-07,-1.0484853648691382e-07,-6.614268817988352e-08,3.996863625861377e-09,-1.401731238554197e-10,-1.9953225788251707e-10,-4.99965717443481e-09,-0.000412427241350267,8.425564497825557e-07,1.2622260874335356e-06,5.297493193320521e-05,-0.8633692925581595,7.894504569132633e-05,2.4070666062797996e-05,0.040491705671423454,9.97747373582055e-07,9.033529188393513e-08,-1.3090103008824425e-07,-5.975831878192556e-06
dB/dt tg03,-2.261057997416967e-07,-7.007267654562135e-08,-4.8941152190327857e-08,6.9434303164524234e-09,-7.433559037291674e-11,-1.1167739406799023e-10,-3.3480309287373467e-09,-0.00027999719644248645,3.156126879095496e-07,6.904017779404236e-07,3.3906139354433365e-05,-0.666546089673797,6.957607744487164e-05,2.2745931438972856e-05,0.026858679670015692,1.3417123195196502e-06,9.827662660321251e-08,-4.932848860751711e-08,-4.003765583589567e-06
dB/dt tg04,-3.3636412082565616e-07,-4.895881107488262e-08,-3.9088316597324326e-08,6.886971959288578e-09,-3.272558869322586e-11,-5.5059173599597146e-11,-2.0935956236762167e-09,-0.00017721560599630364,1.9169678907079667e-09,3.24043467173108e-07,2.0122875225483645e-05,-0.4731216915557036,6.010933839108882e-05,2.1015217726107035e-05,0.016573555437248824,1.3726353295005782e-06,9.403096527882305e-08,-1.079117396640893e-09,-2.5038516603926966e-06
dB/dt tg05,-2.2242866784018042e-07,-1.3990201920688717e-08,-8.356375187470157e-09,4.560964451653982e-09,-1.982304323608967e-11,-3.075865629557656e-11,-1.191053231173716e-09,-0.00010437603148361619,-6.599034720974643e-08,1.6518934053045939e-07,1.0366724484470627e-05,-0.3123154796051546,5.1188939992189506e-05,1.9070284058641188e-05,0.009275587280594758,1.1812602572356977e-06,7.719554348002857e-08,1.4041461995173383e-08,-1.4230555775660762e-06
dB/dt tg06,-1.6286506656839603e-07,-4.1884929011997485e-09,-9.098098814379073e-10,3.2654425244364698e-09,-1.1858802051243811e-11,-1.8144372479130435e-11,-7.517257483360746e-10,-6.741362045874631e-05,-1.0387137612971549e-07,8.517179413112763e-08,5.9817694675811285e-06,-0.2178564506449687,4.5009171933554635e-05,1.7546105456732835e-05,0.0057544554881608255,9.713146816439982e-07,6.573660672634276e-08,1.9997850278722736e-08,-8.968912422104971e-07
dB/dt tg07,-1.4326342223767914e-07,-5.0674967875129166e-09,-3.5060671269286212e-09,2.647535209184161e-09,-5.313088547309374e-12,-9.74699094007109e-12,-5.193485179205854e-10,-4.681165840749238e-05,-1.3749352561498112e-07,3.349993726993592e-08,3.892583341123169e-06,-0.15905832559691538,4.046277685561582e-05,1.6332212891903442e-05,0.0039073967615052664,7.962846897641273e-07,5.814068559751713e-08,2.3455832869855153e-08,-6.1873162911963e-07
dB/dt tg08,-1.1196393557845868e-07,-4.5826957022654634e-09,-4.112456403717973e-09,1.954693530129561e-09,-1.2951062882884013e-12,-4.2183853195780705e-12,-3.304194647781732e-10,-2.9996872406650568e-05,-1.482513652601893e-07,4.716004355157812e-10,2.2711096986264376e-06,-0.10753558878004364,3.56215576626853e-05,1.4955459309927362e-05,0.0024271710236817155,6.064893904052525e-07,4.904362088061309e-08,2.3721231912698113e-08,-3.9265111930702344e-07
dB/dt tg09,-6.884890920946337e-08,-1.5551135652500086e-09,-1.4319352814647846e-09,1.2159682459506967e-09,-3.808744935042285e-13,-2.0605082846041448e-12,-1.9313034113727803e-10,-1.7935506137247324e-05,-1.330202462192574e-07,-1.1047400545744851e-08,1.1335486467239289e-06,-0.06787311421169473,3.080014872702328e-05,1.3493438118919603e-05,0.0013737852023664521,4.283114748807382e-07,3.904280600509356e-08,2.0717621868275596e-08,-2.2846606394334106e-07
dB/dt tg10,-4.008857636582937e-08,5.93550330361137e-10,6.677603503704116e-10,7.546879505179763e-10,-4.955372222026087e-13,-1.5071831330010493e-12,-1.2219355318019886e-10,-1.1688008013648515e-05,-1.1565948117305775e-07,-1.2774241776562691e-08,5.841976839069496e-07,-0.045987016456035854,2.7278413629894793e-05,1.2363871775351069e-05,0.0008414929350718801,3.141367802614814e-07,3.184374844831034e-08,1.763125223568248e-08,-1.4376933144724637e-07
