X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.329,100.000,0.0,1.0e-06,0.548
0.000,0.000,0.000,6.414,3619.046,0.0,2.5e-04,0.907
0.000,0.000,0.000,4.904,2889.727,0.1,2.7e-04,0.936
0.000,0.000,0.000,0.000,1367.175,0.0,1.0e-06,0.117
