X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.386,100.000,0.0,1.0e-06,0.588
0.000,0.000,0.000,6.259,3603.729,0.0,2.2e-04,0.893
0.000,0.000,0.000,4.904,2831.691,0.1,2.6e-04,0.935
0.000,0.000,0.000,0.000,1440.505,0.0,1.0e-06,0.118
