time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,3.027511827e-05,4.644844444e-04,1.605013333e-07,2.322422222e-05,4.121800702e+02,6.684000000e+01
6.070000e-06,1.221683101e-05,1.746782222e-04,8.916133333e-08,8.733911111e-06,5.591615377e+02,9.494000000e+01
7.080000e-06,5.299408734e-06,6.660222222e-05,5.956844444e-08,3.330111111e-06,7.550060744e+02,1.397600000e+02
8.520000e-06,1.966549947e-06,1.561644444e-05,4.203866667e-08,7.808222222e-07,1.073877743e+03,2.699300000e+02
1.053000e-05,3.959497178e-07,6.210133333e-07,3.329200000e-08,3.329200000e-08,2.196258774e+03,1.626950000e+03
1.255000e-05,-4.658282902e-08,-7.208711111e-07,3.263600000e-08,3.604355556e-08,-6.827589004e+03,-1.100030000e+03
1.456000e-05,-1.433952680e-07,-3.934177778e-07,3.425777778e-08,1.967088889e-08,-2.518828789e+03,-1.285610000e+03
1.744000e-05,-1.638797679e-07,4.865333333e-08,2.835377778e-08,2.835377778e-08,-1.705675686e+03,3.833300000e+03
2.146000e-05,-1.377321026e-07,3.001200000e-07,2.857244444e-08,2.857244444e-08,-1.355453133e+03,8.061600000e+02
2.549000e-05,-1.039492102e-07,3.542400000e-07,3.012133333e-08,3.012133333e-08,-1.227421232e+03,5.420300000e+02
2.950000e-05,-7.873684005e-08,3.327377778e-07,2.744266667e-08,2.744266667e-08,-1.157894006e+03,4.429200000e+02
3.528000e-05,-5.500104656e-08,2.849955556e-07,2.478222222e-08,2.478222222e-08,-1.091513782e+03,3.645300000e+02
4.330000e-05,-3.544369189e-08,2.212177778e-07,2.685955556e-08,2.685955556e-08,-1.039884307e+03,3.067100000e+02
5.140000e-05,-2.412600785e-08,1.668426667e-07,2.624000000e-08,2.624000000e-08,-1.009784372e+03,2.781900000e+02
5.941000e-05,-1.737972601e-08,1.402746667e-07,2.547466667e-08,2.547466667e-08,-9.871040847e+02,2.453500000e+02
7.095000e-05,-1.135881173e-08,1.197017778e-07,2.363422222e-08,2.363422222e-08,-9.750230575e+02,2.028300000e+02
8.707000e-05,-7.150272856e-09,6.862488889e-08,2.255911111e-08,2.255911111e-08,-9.436874280e+02,2.089600000e+02
