X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.306,100.000,0.0,1.0e-06,0.514
0.000,0.000,0.000,6.459,3596.603,0.0,2.6e-04,0.912
0.000,0.000,0.000,4.908,2887.317,0.1,2.7e-04,0.937
0.000,0.000,0.000,0.000,1314.234,0.0,1.0e-06,0.116
