X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,5.248,100.000,0.0,1.0e-06,0.584
0.000,0.000,0.000,4.754,3649.204,0.0,5.0e-05,0.526
0.000,0.000,0.000,4.213,2786.523,0.1,2.8e-04,0.932
0.000,0.000,0.000,0.000,3544.068,0.0,1.0e-06,0.145
