time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,3.724270444e-06,4.644844444e-04,1.605013333e-07,3.715875556e-05,1.666415951e+03,6.684000000e+01
6.070000e-06,1.758000219e-06,1.746782222e-04,8.916133333e-08,1.397425778e-05,2.036246660e+03,9.494000000e+01
7.080000e-06,9.478359368e-07,6.660222222e-05,5.956844444e-08,5.328177778e-06,2.378372876e+03,1.397600000e+02
8.520000e-06,4.885857765e-07,1.561644444e-05,4.203866667e-08,1.249315556e-06,2.717258456e+03,2.699300000e+02
1.053000e-05,2.151423376e-07,6.210133333e-07,3.329200000e-08,4.968106667e-08,3.298321198e+03,1.626950000e+03
1.255000e-05,1.101783384e-07,-7.208711111e-07,3.263600000e-08,5.766968889e-08,3.846099051e+03,-1.100030000e+03
1.456000e-05,6.780497178e-08,-3.934177778e-07,3.425777778e-08,3.147342222e-08,4.149994317e+03,-1.285610000e+03
1.744000e-05,3.722747325e-08,4.865333333e-08,2.835377778e-08,2.835377778e-08,4.581464357e+03,3.833300000e+03
2.146000e-05,1.699107934e-08,3.001200000e-07,2.857244444e-08,2.857244444e-08,5.469663961e+03,8.061600000e+02
2.549000e-05,7.856375958e-09,3.542400000e-07,3.012133333e-08,3.012133333e-08,6.866355036e+03,5.420300000e+02
2.950000e-05,3.961613357e-09,3.327377778e-07,2.744266667e-08,2.744266667e-08,8.495834986e+03,4.429200000e+02
3.528000e-05,1.721188339e-09,2.849955556e-07,2.478222222e-08,2.478222222e-08,1.099151599e+04,3.645300000e+02
4.330000e-05,-1.199126409e-10,2.212177778e-07,2.685955556e-08,2.685955556e-08,-4.614248866e+04,3.067100000e+02
5.140000e-05,-1.121857243e-09,1.668426667e-07,2.624000000e-08,2.624000000e-08,-7.808972456e+03,2.781900000e+02
5.941000e-05,-1.484692310e-09,1.402746667e-07,2.547466667e-08,2.547466667e-08,-5.089017294e+03,2.453500000e+02
7.095000e-05,-1.556317227e-09,1.197017778e-07,2.363422222e-08,2.363422222e-08,-3.668636961e+03,2.028300000e+02
8.707000e-05,-1.447360292e-09,6.862488889e-08,2.255911111e-08,2.255911111e-08,-2.737319409e+03,2.089600000e+02
