time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,3.937006919e-06,4.644844444e-04,1.605013333e-07,5.109328889e-05,1.605831979e+03,6.684000000e+01
6.070000e-06,1.951419101e-06,1.746782222e-04,8.916133333e-08,1.921460444e-05,1.899368803e+03,9.494000000e+01
7.080000e-06,1.113339842e-06,6.660222222e-05,5.956844444e-08,7.326244444e-06,2.136404856e+03,1.397600000e+02
8.520000e-06,6.084422938e-07,1.561644444e-05,4.203866667e-08,1.717808889e-06,2.347534042e+03,2.699300000e+02
1.053000e-05,2.817834257e-07,6.210133333e-07,3.329200000e-08,6.831146667e-08,2.755285278e+03,1.626950000e+03
1.255000e-05,1.515654733e-07,-7.208711111e-07,3.263600000e-08,7.929582222e-08,3.109456057e+03,-1.100030000e+03
1.456000e-05,9.787756912e-08,-3.934177778e-07,3.425777778e-08,4.327595556e-08,3.249124941e+03,-1.285610000e+03
1.744000e-05,5.712745548e-08,4.865333333e-08,2.835377778e-08,2.835377778e-08,3.443632242e+03,3.833300000e+03
2.146000e-05,2.783230625e-08,3.001200000e-07,2.857244444e-08,3.301320000e-08,3.936181909e+03,8.061600000e+02
2.549000e-05,1.359417835e-08,3.542400000e-07,3.012133333e-08,3.896640000e-08,4.764007669e+03,5.420300000e+02
2.950000e-05,7.620673335e-09,3.327377778e-07,2.744266667e-08,3.660115556e-08,5.492776098e+03,4.429200000e+02
3.528000e-05,4.355150589e-09,2.849955556e-07,2.478222222e-08,3.134951111e-08,5.919355297e+03,3.645300000e+02
4.330000e-05,1.252633945e-09,2.212177778e-07,2.685955556e-08,2.685955556e-08,9.655947038e+03,3.067100000e+02
5.140000e-05,-6.126574159e-10,1.668426667e-07,2.624000000e-08,2.624000000e-08,-1.168800778e+04,2.781900000e+02
5.941000e-05,-1.334482368e-09,1.402746667e-07,2.547466667e-08,2.547466667e-08,-5.464071070e+03,2.453500000e+02
7.095000e-05,-1.561712249e-09,1.197017778e-07,2.363422222e-08,2.363422222e-08,-3.660183082e+03,2.028300000e+02
8.707000e-05,-1.496865656e-09,6.862488889e-08,2.255911111e-08,2.255911111e-08,-2.676628081e+03,2.089600000e+02
