,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,5.486613926860421e-06,1.2468781710577272e-06,1.3510502480649348e-06,-6.077616551061901e-06,-4.8763705078212416e-08,-7.703300565657077e-10,-1.0172809401931614e-09,6.2567970208864106e-09,-4.897820025578555e-08,-0.0007390105670326671,4.567276234521917e-06,6.243975919530273e-06,-2.0711348633355792e-05,0.0002986175419550836,-0.10398782216469246,5.571004821813787e-05,4.107344660442346e-05,-11.978308382454562,0.15808621814043888,-2.338583270557337e-06,-4.7371464987566674e-07,-1.2866195295197918e-06,-3.9909252245026245e-05,-3.035306404784291e-05
dB/dt tg02,6.1108466167309205e-06,2.4856110009624226e-06,2.50026959042484e-06,1.6097079435441008e-05,-5.6975455444995716e-08,-4.2240915608809587e-10,2.9686114640854567e-10,1.7810526030172684e-08,-2.3883955873501952e-08,-0.00045744568844959183,2.431368591630417e-06,-2.0791896357908163e-06,2.2846915461101837e-05,0.00013192341851381816,-0.07757373057972711,4.631499072699005e-05,3.44890970285794e-05,33.55110639774183,0.08173767187606089,-2.1032081975232872e-06,-1.5866881582351507e-07,6.861363725833389e-07,8.528253959566164e-05,-1.5369994985080148e-05
dB/dt tg03,1.407333854431852e-06,6.581737260036288e-07,6.863160397575027e-07,-1.1538069261355295e-06,-4.8321857678667e-09,-2.3027992362233522e-10,-2.7147515438324044e-10,3.748802308331287e-09,-2.1425771106447212e-08,-0.00034795662885784965,1.239254415078507e-06,1.5847167295395406e-06,6.91038225666966e-07,0.00012256667319181857,-0.08631818147674039,3.9559244364760366e-05,2.9529364563671482e-05,-3.8520512300961585,0.0692243973861978,-5.1252378462321603e-08,5.646044925385776e-09,-2.3471223095042195e-07,-7.547610532398604e-06,-1.3359789609766285e-05
dB/dt tg04,-1.5526286462473742e-06,-5.809706664400313e-07,-5.433355679254374e-07,-1.2410673206358096e-05,2.6493918103022717e-08,-1.0832404726218637e-10,-6.468995157150533e-10,-5.703405024354426e-09,-1.8437099802184138e-08,-0.0002534825478179182,4.968967029715983e-07,4.013130771504232e-06,-1.613776161119892e-05,0.00010931565237139839,-0.08217918972397321,3.2922135600713215e-05,2.453697455236115e-05,-27.514482413581156,0.05654328916233518,1.167815259966409e-06,9.160727231357876e-08,-8.54903759836707e-07,-6.82553507422434e-05,-1.1176272569887567e-05
dB/dt tg05,7.76724121307706e-07,5.085182311217485e-07,5.087316068851753e-07,2.7331432257798274e-06,-3.0173964031883268e-09,-6.121047920106217e-11,6.132703493869878e-11,3.6045926886790468e-09,-7.033424583716407e-09,-0.00014125279418215417,2.453951802531991e-07,-4.785570563582953e-07,4.3555584794253115e-06,3.531406437619661e-05,-0.04721249413853969,2.7002588730583317e-05,2.003725382183186e-05,5.78650859222613,0.023207943357342064,1.7778271848491705e-07,9.714680208134649e-08,2.0703992324728478e-07,1.5128673654385814e-05,-4.485438833638351e-06
dB/dt tg06,9.188290942743935e-07,5.559812647849113e-07,5.497709475384973e-07,4.436326033224673e-06,-6.295919752945555e-09,-3.599625125309621e-11,1.6014890810481017e-10,4.185068788547159e-09,-3.5618191707083985e-09,-9.221021336646927e-05,1.102736745039696e-07,-1.0928274155103653e-06,6.622583381528275e-06,1.4757935972814105e-05,-0.03335344643802298,2.3010637095201378e-05,1.6963023159158585e-05,9.557562453253162,0.012355423930248589,5.328627626852361e-08,9.494544502240775e-08,3.3811150586708577e-07,2.455901353951222e-05,-2.3625860529736104e-06
dB/dt tg07,3.0656925939046123e-08,1.260743228786955e-07,1.2725774403618637e-07,-1.7218172573135014e-08,2.899342250035964e-09,-1.8370242138635704e-11,-1.7941892919177823e-11,7.669200673541663e-10,-3.7425464862273685e-09,-7.294687742619816e-05,1.1476832902475277e-08,5.4026727834196686e-08,4.3733689477008157e-07,1.8587434217330335e-05,-0.030270947966042513,2.014843832094386e-05,1.4741393270656873e-05,-0.13432201451001505,0.011853076909951755,3.5089628674281e-07,9.382660707616499e-08,4.749601328741359e-08,1.6613478054448273e-07,-2.3451080700666755e-06
dB/dt tg08,-3.8502617477839257e-07,-9.017393963767804e-08,-8.59171844139293e-08,-2.0949529536760206e-06,6.747890113651329e-09,-7.493980752949609e-12,-9.868823093439273e-11,-9.454142869381997e-10,-3.255948355421259e-09,-5.330834976700789e-05,-4.2638362199808505e-08,5.79342375973943e-07,-2.411208324352063e-06,1.745187251943406e-05,-0.024784549796966333,1.723403845648729e-05,1.2474962822472511e-05,-4.679146626955527,0.009792232372900687,4.5023723449815205e-07,8.497113176703144e-08,-9.225652062744467e-08,-1.124793449039007e-05,-1.9787053933270227e-06
dB/dt tg09,-1.2080120387771372e-07,5.770992090543241e-09,6.5255704821296235e-09,-5.6659808123735e-07,2.92785586466578e-09,-3.4319532499786577e-12,-2.8052704246313852e-11,-8.541806708076969e-11,-1.6948880980403584e-09,-3.29343300667657e-05,-5.163354875251941e-08,1.3837021888778326e-07,-4.740612980479464e-07,8.265551200185973e-06,-0.01634055945208123,1.4500230085633587e-05,1.0348996444943686e-05,-1.3015035538197697,0.0051505738605802055,2.756102278961814e-07,7.000241313777135e-08,3.6617403274054746e-09,-2.9215365434289256e-06,-1.0448340323096042e-06
dB/dt tg10,1.6186876557786372e-07,1.185587098392311e-07,1.1610884235630383e-07,1.0180869289127585e-06,-7.864158781064398e-10,-2.1356308113105974e-12,4.2533416588323714e-11,9.075897657846383e-10,-5.638936644421603e-10,-2.044323426066486e-05,-4.787949767590697e-08,-3.052001016912821e-07,1.4838465360985143e-06,1.340516094626269e-06,-0.010464376186498798,1.2618676612451975e-05,8.887283715229043e-06,2.2230449656778184,0.0019098493350762362,1.1446252022129285e-07,5.839515787995898e-08,1.0405532523735395e-07,5.7250246923636436e-06,-3.8232435267340285e-07
