time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,1.072190397e-05,5.667555556e-04,5.390222222e-07,1.133511111e-04,8.099913272e+02,5.759000000e+01
6.070000e-06,5.158794556e-06,2.252444444e-04,3.825777778e-07,4.504888889e-05,9.772258263e+02,7.881000000e+01
7.080000e-06,2.728832618e-06,8.878222222e-05,2.533333333e-07,1.775644444e-05,1.156027633e+03,1.135000000e+02
8.520000e-06,1.286817624e-06,2.357333333e-05,1.459022222e-07,4.714666667e-06,1.401514466e+03,2.018300000e+02
1.053000e-05,4.664051233e-07,2.398222222e-06,9.847111111e-08,4.796444444e-07,1.936951514e+03,6.501500000e+02
1.255000e-05,1.484488790e-07,-2.702222222e-07,7.096888889e-08,5.404444444e-08,3.101349792e+03,-2.081550000e+03
1.456000e-05,1.855262795e-08,-1.857777778e-07,5.845333333e-08,3.715555556e-08,9.685803657e+03,-2.086340000e+03
1.744000e-05,-5.795396256e-08,1.201422222e-07,4.490666667e-08,4.490666667e-08,-3.355124844e+03,2.063890000e+03
2.146000e-05,-8.625211163e-08,3.699555556e-07,3.953777778e-08,7.399111111e-08,-1.821568704e+03,6.897000000e+02
2.549000e-05,-8.590047898e-08,4.472888889e-07,3.530666667e-08,8.945777778e-08,-1.371075784e+03,4.564900000e+02
2.950000e-05,-7.885580143e-08,3.982222222e-07,3.548444444e-08,7.964444444e-08,-1.137843282e+03,3.865300000e+02
3.528000e-05,-6.716884618e-08,2.904888889e-07,3.038222222e-08,5.809777778e-08,-9.397565404e+02,3.541100000e+02
4.330000e-05,-5.320847656e-08,2.880000000e-07,3.180444444e-08,5.760000000e-08,-7.802034495e+02,2.530700000e+02
5.140000e-05,-4.263041038e-08,2.229333333e-07,2.860444444e-08,4.458666667e-08,-6.796052145e+02,2.255300000e+02
5.941000e-05,-3.497548315e-08,1.932444444e-07,2.577777778e-08,3.864888889e-08,-6.091625193e+02,1.949300000e+02
7.095000e-05,-2.681286361e-08,1.121422222e-07,2.193777778e-08,2.242844444e-08,-5.409935792e+02,2.083900000e+02
8.707000e-05,-1.992901864e-08,7.109333333e-08,2.184888889e-08,2.184888889e-08,-4.687091086e+02,2.007400000e+02
