time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,1.538285674e-05,5.118533333e-04,3.666000000e-07,2.559266667e-05,6.260947437e+02,6.060000000e+01
6.070000e-06,5.908756111e-06,1.960400000e-04,2.593066667e-07,9.802000000e-06,8.777404753e+02,8.504000000e+01
7.080000e-06,2.524876974e-06,7.507066667e-05,1.478360000e-07,3.753533333e-06,1.197096266e+03,1.248200000e+02
8.520000e-06,1.008622097e-06,1.859866667e-05,7.533066667e-08,9.299333333e-07,1.621037307e+03,2.324000000e+02
1.053000e-05,2.216289221e-07,1.011746667e-06,4.186000000e-08,5.058733333e-08,3.127613498e+03,1.136680000e+03
1.255000e-05,6.482989061e-09,-6.220933333e-07,4.815200000e-08,3.110466667e-08,2.458979556e+04,-1.173780000e+03
1.456000e-05,-2.604862236e-08,-4.463333333e-07,5.044000000e-08,2.231666667e-08,-7.595432738e+03,-1.143260000e+03
1.744000e-05,-3.721899787e-08,-1.087493333e-08,1.825200000e-08,5.437466667e-10,-4.431907990e+03,-1.006598000e+04
2.146000e-05,-4.142884856e-08,2.383333333e-07,2.279333333e-08,2.279333333e-08,-2.920293816e+03,9.091200000e+02
2.549000e-05,-3.808581732e-08,3.104400000e-07,2.291466667e-08,2.291466667e-08,-2.318565705e+03,5.726100000e+02
2.950000e-05,-2.998599038e-08,2.976133333e-07,2.334800000e-08,2.334800000e-08,-2.131550839e+03,4.613700000e+02
3.528000e-05,-1.914286723e-08,2.567066667e-07,1.806133333e-08,1.806133333e-08,-2.133662387e+03,3.780400000e+02
4.330000e-05,-1.330316327e-08,2.031466667e-07,1.465013333e-08,1.465013333e-08,-1.932983790e+03,3.140500000e+02
5.140000e-05,-1.091831301e-08,1.745466667e-07,1.799200000e-08,1.799200000e-08,-1.656923387e+03,2.610600000e+02
5.941000e-05,-8.756757882e-09,1.395680000e-07,1.546826667e-08,1.546826667e-08,-1.507821176e+03,2.381000000e+02
7.095000e-05,-6.035457185e-09,9.058400000e-08,1.125973333e-08,1.125973333e-08,-1.437530954e+03,2.362400000e+02
8.707000e-05,-3.841064936e-09,4.806533333e-08,1.095813333e-08,1.095813333e-08,-1.381219327e+03,2.562100000e+02
