time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,8.508586134e-06,5.118533333e-04,3.666000000e-07,1.023706667e-04,9.291655974e+02,6.060000000e+01
6.070000e-06,4.456310928e-06,1.960400000e-04,2.593066667e-07,3.920800000e-05,1.059367174e+03,8.504000000e+01
7.080000e-06,2.338393091e-06,7.507066667e-05,1.478360000e-07,1.501413333e-05,1.259923601e+03,1.248200000e+02
8.520000e-06,1.022789130e-06,1.859866667e-05,7.533066667e-08,3.719733333e-06,1.606033474e+03,2.324000000e+02
1.053000e-05,4.853206260e-07,1.011746667e-06,4.186000000e-08,2.023493333e-07,1.854719347e+03,1.136680000e+03
1.255000e-05,2.246580091e-07,-6.220933333e-07,4.815200000e-08,1.244186667e-07,2.313434316e+03,-1.173780000e+03
1.456000e-05,5.896662942e-08,-4.463333333e-07,5.044000000e-08,8.926666667e-08,4.405597591e+03,-1.143260000e+03
1.744000e-05,-3.629874500e-08,-1.087493333e-08,1.825200000e-08,2.174986667e-09,-4.506500732e+03,-1.006598000e+04
2.146000e-05,-5.316513055e-08,2.383333333e-07,2.279333333e-08,4.766666667e-08,-2.472922662e+03,9.091200000e+02
2.549000e-05,-4.282574099e-08,3.104400000e-07,2.291466667e-08,6.208800000e-08,-2.144165664e+03,5.726100000e+02
2.950000e-05,-4.337937340e-08,2.976133333e-07,2.334800000e-08,5.952266667e-08,-1.666425019e+03,4.613700000e+02
3.528000e-05,-4.845795694e-08,2.567066667e-07,1.806133333e-08,5.134133333e-08,-1.148736163e+03,3.780400000e+02
4.330000e-05,-3.895545999e-08,2.031466667e-07,1.465013333e-08,4.062933333e-08,-9.443926571e+02,3.140500000e+02
5.140000e-05,-2.789261448e-08,1.745466667e-07,1.799200000e-08,3.490933333e-08,-8.866386094e+02,2.610600000e+02
5.941000e-05,-2.209829338e-08,1.395680000e-07,1.546826667e-08,2.791360000e-08,-8.134663195e+02,2.381000000e+02
7.095000e-05,-1.787893820e-08,9.058400000e-08,1.125973333e-08,1.811680000e-08,-6.969412530e+02,2.362400000e+02
8.707000e-05,-1.455247569e-08,4.806533333e-08,1.095813333e-08,1.095813333e-08,-5.683368612e+02,2.562100000e+02
