X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,5.000,50.000,0.0,1.0e-06,0.100
0.000,0.000,0.000,5.000,1500.000,0.4,5.0e-04,0.700
0.000,0.000,0.000,8.000,1500.000,0.4,5.0e-04,0.700
0.000,0.000,0.000,0.000,500.000,0.0,1.0e-06,0.100
