,thk_00,thk_01,thk_02,rho0_00,rho0_01,rho0_02,rho0_03,max_pha_00,max_pha_01,max_pha_02,max_pha_03,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,c_00,c_01,c_02,c_03
dB/dt tg01,3.890797901113855e-05,-3.394180648975342e-05,-1.6118607938925754e-05,-7.801972090086462e-07,5.199911092615534e-08,-2.8730629404250805e-09,-1.0789673619085166e-06,-0.0003434434459406925,-0.0005498048250345962,1.2950089505853212e-05,0.0025228966492613306,0.4639601436489902,4.3672654295722335,4.582824399844893e-06,1.050256464075064,-0.00010756809243948754,0.00046479210587602963,-4.499398900818141e-06,-0.0003286345368298339
dB/dt tg02,2.5428510666799064e-05,-2.539638320678062e-05,-8.805912579965481e-06,-3.824395807502562e-07,4.537943201012508e-08,-1.5566031910975913e-09,-7.068656407393614e-07,-0.0004020953963404711,-0.0004096224359632032,7.001229184713368e-06,0.0016132813938780231,0.20769610706245153,2.51685058804998,9.004382153446265e-06,0.6873761844071375,-5.2595248806178385e-05,0.0003024334854806385,-2.3799410080422483e-06,-0.0002155942916039447
dB/dt tg03,1.7721368130508192e-05,-1.9249777967106966e-05,-5.235885459899513e-06,-2.0579087184726795e-07,3.7173773597544173e-08,-9.210940208436819e-10,-4.896059228576711e-07,-0.0003669774474634171,-0.00029978208654193156,4.130193653401366e-06,0.0010938805411476438,0.09813326419017336,1.3815846363134345,1.0828978816026387e-05,0.4754349303276026,-2.8177206401478643e-05,0.00019438648476771862,-1.3645093179185041e-06,-0.00014948857868443742
dB/dt tg04,1.1450910372682647e-05,-1.3301875250546891e-05,-2.8427834178531926e-06,-1.000811263128674e-07,2.7118562643016984e-08,-4.99578319518396e-10,-3.136272449010986e-07,-0.0002899734236716395,-0.00019176351761437697,2.2270371689733986e-06,0.0006828411751740953,0.036720500348475335,0.4754642008498482,1.1590044002183042e-05,0.30380368520491974,-1.3569311475680616e-05,0.00010204033862937048,-6.992550489235518e-07,-9.586131599169281e-05
dB/dt tg05,6.752443499099764e-06,-8.322877364802479e-06,-1.3938307414361897e-06,-4.150700251948723e-08,1.7657747407451905e-08,-2.4513139252737896e-10,-1.8714942522610301e-07,-0.0002089192846773279,-0.00010621706937495178,1.0797352153540392e-06,0.0003946424110281505,0.005939457223115151,-0.07680512661056839,1.1458166559070453e-05,0.18060583922610426,-5.4911781469997455e-06,4.0722219219811995e-05,-3.0569425616597273e-07,-5.726391999039246e-05
dB/dt tg06,4.243279701998593e-06,-5.427524507019325e-06,-7.711723857628868e-07,-1.9258301214763367e-08,1.1750027067875433e-08,-1.3601770840036028e-10,-1.21615089986777e-07,-0.00015388938818557013,-6.082939946916408e-05,5.889410923382577e-07,0.000249269484951717,-0.003588921366334536,-0.265725639176215,1.0934445627090823e-05,0.11689447793660489,-2.4387347770936246e-06,1.4959084674706893e-05,-1.4257417792800117e-07,-3.723751760192959e-05
dB/dt tg07,2.807614103159949e-06,-3.674275858079816e-06,-4.737794645769855e-07,-1.0087377860793574e-08,8.02887376163854e-09,-8.39175882602852e-11,-8.447685745867376e-08,-0.00011660787246147492,-3.609976090264251e-05,3.554317394446255e-07,0.00016888912185961073,-0.006148113546759417,-0.3064368907625423,1.0354530853884931e-05,0.08087088929572947,-1.193531628615466e-06,4.5035183661216645e-06,-6.834134677756617e-08,-2.5876382641406263e-05
dB/dt tg08,1.6494179007037835e-06,-2.2128141844709313e-06,-2.623947866647349e-07,-4.290160700341853e-09,4.8666170693827494e-09,-4.666255824298989e-11,-5.420220203032313e-08,-8.238391142790987e-05,-1.8105857265062475e-05,1.8931631595633144e-07,0.00010490096068602668,-0.006662372343691698,-0.2761983430328465,9.596628287022756e-06,0.051589613473672656,-4.209337262173594e-07,-1.7989427663776563e-07,-1.867211746306643e-08,-1.6607373872453445e-05
dB/dt tg09,8.605831011022542e-07,-1.1855701376867736e-06,-1.3460778782354835e-07,-1.346943634648838e-09,2.6118953936836627e-09,-2.3884072303331332e-11,-3.261574128680734e-08,-5.4779432619124564e-05,-7.714784745734411e-06,8.874507676048503e-08,6.065548676826346e-05,-0.0057992975594005425,-0.19954077091796935,8.72778173976432e-06,0.030801395476315475,-4.6234965387897946e-08,-5.733190701966094e-07,7.9666338892638e-09,-9.993032158536426e-06
dB/dt tg10,4.882809878055939e-07,-6.872654817409119e-07,-7.846171457111188e-08,-3.4551911016042214e-10,1.510358792974844e-09,-1.3732830721432196e-11,-2.1442687249041727e-08,-3.885199605949369e-05,-3.713084434528821e-06,4.464354735053952e-08,3.8491139312254124e-05,-0.004751610271525574,-0.13604445032440346,8.040662575042304e-06,0.020097970941339544,6.786042416481968e-08,1.6396343684835314e-07,1.729931638294521e-08,-6.567581473474828e-06
dB/dt tg11,2.9610805242068653e-07,-4.25284016852628e-07,-4.9827711569897424e-08,5.4005860156922396e-11,9.310964408132598e-10,-8.481919759415439e-12,-1.502256409052586e-08,-2.8972645946578784e-05,-1.9993204386099775e-06,2.2288612574757102e-08,2.6109886954823047e-05,-0.003901890992293619,-0.09252510578722795,7.489060133504795e-06,0.013979216657389671,1.0465709796324756e-07,6.815610411761291e-07,2.0610608975204526e-08,-4.598877634907822e-06
dB/dt tg12,1.5818077028724543e-07,-2.3396887488887605e-07,-2.8656751750395415e-08,2.6960103378886695e-10,5.097971056302432e-10,-4.54346340578692e-12,-9.731678344217553e-09,-2.0232981562649457e-05,-9.890901357304078e-07,6.024722370791733e-09,1.6210775133696313e-05,-0.0030071658307300794,-0.054279001873150684,6.8536438539678695e-06,0.008966960289680904,1.1487489613359197e-07,9.501306571331876e-07,2.1521413054878302e-08,-2.9764851063802252e-06
dB/dt tg13,7.555732668668532e-08,-1.1656557095567088e-07,-1.5186479197713625e-08,3.2948380727161744e-10,2.5292905727354433e-10,-2.0091232630139083e-12,-5.911957199056534e-09,-1.3398599018960028e-05,-4.759523337264707e-07,-3.8476293184996835e-09,9.326892833460373e-06,-0.002189022857042128,-0.027784347008952576,6.17589920120617e-06,0.005377092071981378,1.0471241028888238e-07,8.765841162951688e-07,2.036657369140558e-08,-1.8055843534543089e-06
dB/dt tg14,4.050699242550752e-08,-6.519389119241853e-08,-8.956175609051433e-09,3.099679801819201e-10,1.4146107173548087e-10,-8.3409782591832e-13,-3.895737065731357e-09,-9.48816857860625e-06,-2.774151744997087e-07,-7.957116634002388e-09,5.842996998459423e-06,-0.001658146888327252,-0.015399000455845177,5.643706084386419e-06,0.00349991001147488,8.954268970539118e-08,6.801729591247176e-07,1.8544768808643092e-08,-1.1879255152725792e-06
dB/dt tg15,2.3681743144372114e-08,-3.981942546781989e-08,-5.7212037391079885e-09,2.7577140969713515e-10,8.675548311771555e-11,-2.320592210747132e-13,-2.7343569976178534e-09,-7.085115049755325e-06,-1.7966148016957131e-07,-9.737509706123575e-09,3.909432258303694e-06,-0.0013035618190760918,-0.009251449874464744,5.215418151437815e-06,0.0024279805181293117,7.61319271770528e-08,5.100545370968441e-07,1.677608061840787e-08,-8.3243031031615e-07
dB/dt tg16,1.1803809717188259e-08,-2.121235629624234e-08,-3.2360431276397084e-09,2.2394021900486455e-10,4.6833411131686714e-11,2.1253249978955088e-13,-1.731224919920901e-09,-4.860976214276141e-06,-1.0514369809259328e-07,-1.061897952148087e-08,2.309706881193334e-06,-0.0009489682594409804,-0.004800693701999184,4.687377974038696e-06,0.0015115438030503623,5.99064928258162e-08,3.28314588078035e-07,1.4420270869778155e-08,-5.2571274361763e-07
dB/dt tg17,5.4722039885989645e-09,-1.0732984905834056e-08,-1.786043656704188e-09,1.7017198567255281e-10,2.4349244337956906e-11,4.4337070540674027e-13,-1.0542758470597662e-09,-3.2314967594100017e-06,-5.921411707908444e-08,-1.0532317045627309e-08,1.2892392854427329e-06,-0.0006676768395976387,-0.0023822926564767257,4.14175452874626e-06,0.0009014632972087674,4.491953591276492e-08,1.9459692376698322e-07,1.1962187875299618e-08,-3.1907704137882673e-07
