time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,1.267782836e-05,4.550088889e-04,4.227555556e-07,2.275044444e-05,7.364008978e+02,6.776000000e+01
6.070000e-06,5.066370832e-06,1.708333333e-04,2.478222222e-07,8.541666667e-06,1.005491380e+03,9.636000000e+01
7.080000e-06,2.109428109e-06,6.335866667e-05,1.461604444e-07,3.167933333e-06,1.395272082e+03,1.444800000e+02
8.520000e-06,6.539390839e-07,1.393453333e-05,7.361777778e-08,6.967266667e-07,2.237346758e+03,2.912500000e+02
1.053000e-05,-3.672904289e-08,-1.957066667e-07,4.136444444e-08,9.785333333e-09,-1.071775423e+04,-3.514190000e+03
1.255000e-05,-2.301485985e-07,-1.193920000e-06,3.505955556e-08,5.969600000e-08,-2.353670806e+03,-7.858300000e+02
1.456000e-05,-2.658697668e-07,-6.053422222e-07,3.722800000e-08,3.026711111e-08,-1.668947052e+03,-9.647200000e+02
1.744000e-05,-2.553685781e-07,-1.232004444e-07,2.793466667e-08,6.160022222e-09,-1.269019747e+03,-2.063180000e+03
2.146000e-05,-2.128444359e-07,2.070044444e-07,3.190711111e-08,3.190711111e-08,-1.014066470e+03,1.032540000e+03
2.549000e-05,-1.712938225e-07,2.826266667e-07,3.052222222e-08,3.052222222e-08,-8.797919020e+02,6.302900000e+02
2.950000e-05,-1.399353244e-07,3.161555556e-07,3.318266667e-08,3.318266667e-08,-7.891675531e+02,4.582400000e+02
3.528000e-05,-1.079748161e-07,2.736977778e-07,2.982977778e-08,2.982977778e-08,-6.961906890e+02,3.745800000e+02
4.330000e-05,-7.826762679e-08,2.359777778e-07,2.757022222e-08,2.757022222e-08,-6.132292792e+02,2.938000000e+02
5.140000e-05,-5.890983162e-08,2.029955556e-07,3.046755556e-08,3.046755556e-08,-5.568784784e+02,2.440600000e+02
5.941000e-05,-4.622277121e-08,1.282662222e-07,2.864533333e-08,2.864533333e-08,-5.142262547e+02,2.604200000e+02
7.095000e-05,-3.377037234e-08,9.550266667e-08,2.334266667e-08,2.334266667e-08,-4.715700930e+02,2.357800000e+02
8.707000e-05,-2.400146124e-08,8.558977778e-08,2.310577778e-08,2.310577778e-08,-4.209379910e+02,1.803400000e+02
