X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.591,100.000,0.0,1.0e-06,0.165
0.000,0.000,0.000,4.336,2372.404,0.1,5.8e-04,0.861
0.000,0.000,0.000,3.896,2229.432,0.2,5.5e-04,0.826
0.000,0.000,0.000,7.733,1500.850,0.6,1.0e-06,0.214
0.000,0.000,0.000,0.000,516.219,0.0,1.0e-06,0.102
