X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.342,100.000,0.0,1.0e-06,0.635
0.000,0.000,0.000,6.083,2809.499,0.1,6.4e-04,0.907
0.000,0.000,0.000,4.813,2566.455,0.1,6.0e-04,0.872
0.000,0.000,0.000,7.982,2081.480,0.6,1.0e-06,0.362
0.000,0.000,0.000,0.000,590.242,0.0,1.0e-06,0.104
