,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,6.460765651571785e-06,1.927999684217782e-06,2.011711807860344e-06,-1.2999635261550541e-06,-5.89919838111798e-08,-7.538842545076591e-10,-7.481172188438618e-10,8.132829586457114e-09,-3.313786870694135e-08,-0.0007467075855240365,4.695008624997094e-06,4.704444184283791e-06,3.356912008459733e-05,0.0002243870912592379,-2.1044745231537716,1.9495655808331027e-05,1.2880113955590995e-05,-7.258865199635095,0.11751297657879463,3.227859475197562e-07,-4.4816793767344964e-07,-7.874816516588328e-07,0.0009391531718886695,-2.189203183139024e-05
dB/dt tg02,2.340984041533548e-06,6.334431451428649e-07,6.549472121489823e-07,-1.3339093198394544e-06,-1.5323991740214876e-08,-4.065388853285047e-10,-3.9450175973690085e-10,4.690935571297076e-09,-2.1945860111199698e-08,-0.00045941541217900985,2.473251686884103e-06,2.454243065531828e-06,3.061565317723891e-05,0.00014347724483362154,-1.5868395846958927,1.6523607733276654e-05,1.1262425821918857e-05,-4.029020484981932,0.07773100753634823,2.0035216790604798e-06,-1.9316262460572158e-07,-3.847304207544576e-07,0.0006196657697388348,-1.4526898870152906e-05
dB/dt tg03,1.4577104492719483e-06,7.037509233025718e-07,7.25935579169766e-07,-6.365679163157512e-07,-5.901739868792225e-09,-2.0605961500908412e-10,-2.1005753620763807e-10,3.93835230403628e-09,-1.5323213081874545e-08,-0.0003014488639849692,1.2128838853466099e-06,1.2875294146089402e-06,2.1917271128212347e-05,9.736147879777322e-05,-1.191219177623575,1.4353621787923817e-05,9.91254906496734e-06,-2.839852573719008,0.05417216128246078,2.3931682535665182e-06,-5.1263492814913384e-08,-1.7886885412165718e-07,0.000426398171454955,-1.0158544463514404e-05
dB/dt tg04,1.0648045851245926e-06,7.316177528115151e-07,7.554014858455823e-07,-1.2386761736446154e-07,-3.4381280427544663e-09,-8.615276928332869e-11,-9.876050301315024e-11,3.0972603718139148e-09,-9.901871564684004e-09,-0.00018242006977912205,4.674711894601256e-07,5.873747332741484e-07,1.3343412654704717e-05,6.0923285321051466e-05,-0.807678675995828,1.2153181279202628e-05,8.43817770987944e-06,-1.9330521998393775,0.03488657509660297,2.247942462795648e-06,2.4679201919314818e-08,-6.022903271789557e-08,0.0002697414982914303,-6.5744324855961715e-06
dB/dt tg05,2.4334355812659664e-07,1.7738090069431468e-07,1.7989847898520417e-07,-2.939261957325283e-07,1.6113311754529259e-09,-5.751651326600091e-11,-5.7614809693558024e-11,1.369822825123966e-09,-5.980572185824451e-09,-0.00010354315927757566,2.918626509395631e-07,3.3074357974624785e-07,9.629114180272891e-06,3.539872868410315e-05,-0.5029504502125139,1.011206681661009e-05,7.016542306252787e-06,-0.9162016192516504,0.02095878410944822,1.8242394215218881e-06,2.8478470592895696e-08,-2.3698676798293383e-08,0.00016178021390400745,-3.976398074506048e-06
dB/dt tg06,4.4420829942270195e-08,4.7957572340929564e-08,4.627004798348212e-08,-2.471949302475535e-07,2.174072336088367e-09,-3.690056160198227e-11,-3.508833547839254e-11,7.683291682365917e-10,-3.9340271276403215e-09,-6.456794557170308e-05,1.6999708973212106e-07,1.923553862527455e-07,6.782234554187764e-06,2.2527765254267865e-05,-0.3329464110929117,8.7320495148917e-06,6.029248719246329e-06,-0.5261024405276212,0.013710548824756415,1.417235279766639e-06,3.2165112847300934e-08,-5.12170296861744e-09,0.00010560998412237468,-2.617894514448524e-06
dB/dt tg07,1.0606390584275647e-07,1.1115464733721077e-07,1.1281111297773336e-07,-9.934186618835533e-08,1.0338181073095408e-09,-1.740869349557231e-11,-1.8629239475532413e-11,6.859150546263718e-10,-2.763419485563413e-09,-4.3113846935016936e-05,5.558836989130728e-08,9.201906436577577e-08,4.4216763808531145e-06,1.5388489568077767e-05,-0.2320684764329707,7.74369161863471e-06,5.311275464237756e-06,-0.4133643834574862,0.009578516078832911,1.0963094720225563e-06,3.873154362941243e-08,8.690982586611593e-09,7.318204810399762e-05,-1.8397394436932217e-06
dB/dt tg08,1.1718078961732482e-07,1.223795371643938e-07,1.2523021307568144e-07,-1.543345001766025e-08,3.550515590571051e-10,-5.5260680104069275e-12,-7.953172276117305e-12,5.431273673872974e-10,-1.7963345502358705e-09,-2.6362976279308094e-05,-1.1153741148226336e-08,2.8362183584872758e-08,2.650167844312488e-06,9.648820321328137e-06,-0.14817969198933148,6.725819458130788e-06,4.565919473331439e-06,-0.2977454357171783,0.006178459208292526,7.807803178889109e-07,3.905405396848511e-08,1.5628347678612953e-08,4.694408617713424e-05,-1.1961798279011315e-06
dB/dt tg09,4.6882547303508986e-08,5.686617381213549e-08,5.766845608804982e-08,-2.4088650653764122e-08,4.2687529453879584e-10,-3.4618225754403446e-12,-4.46676140089985e-12,2.9611986988546754e-10,-1.0936277951671824e-09,-1.5140553950325447e-05,-1.7395738987405734e-08,9.806805022473869e-09,1.7236231094314997e-06,5.617629491235197e-06,-0.08765035267093586,5.757467798566464e-06,3.852602346838406e-06,-0.16365594599811992,0.003722036347411106,5.157820690296483e-07,3.212736633108269e-08,1.450928035027401e-08,2.8509251368388264e-05,-7.280683658117567e-07
dB/dt tg10,-7.269028812501267e-09,4.79418883325517e-09,3.853168685997059e-09,-4.64093676885117e-08,5.781699002673589e-10,-4.249976798608432e-12,-3.951729833287236e-12,1.29667537884996e-10,-7.234888180383226e-10,-9.64480912142576e-06,-7.835469641092375e-09,8.957447400335603e-09,1.3231547878183396e-06,3.5700223573910707e-06,-0.05631197931271243,5.085198411718318e-06,3.3558126735944814e-06,-0.08116436803783475,0.0024371694953259884,3.6010959959978306e-07,2.569964189828173e-08,1.161552801875638e-08,1.8980706053600532e-05,-4.813391723010195e-07
