Name,Longitude,Latitude,Ellipsoidal height,Antenna height
p1-018,7.691184816369731,46.47280645005006,2445.856725,2.0
p1-020,7.691370430023721,46.47276939903124,2447.244375,2.0
p1-019,7.691431207937993,46.47289244918122,2444.140042,2.0
p1-017,7.691246754699714,46.47292686578302,2441.189262,2.0
p1-015,7.691071861086499,46.472973760776334,2437.460935,2.0
p1-016,7.691013676951746,46.472854992086624,2442.407748,2.0
p1-014,7.690846168486274,46.47290646188827,2437.307369,2.0
p1-013,7.690909805386174,46.47302444886042,2431.825388,2.0
p1-011,7.690728604921278,46.4730524243417,2427.094196,2.0
p1-012,7.690668091568386,46.47293792544983,2433.086057,2.0
p1-010,7.690505840570152,46.472997874449966,2427.354344,2.0
p1-009,7.690576472542672,46.47311218111154,2421.030259,2.0
p1-007,7.690415563503011,46.473169796378286,2415.683756,2.0
p1-008,7.690346221660885,46.473055845553226,2421.537678,2.0
p1-006,7.690185880912238,46.47310553164503,2415.1893,2.0
p1-005,7.69025407953788,46.47322239609054,2409.870533,2.0
p1-003,7.690084631266143,46.47326596155697,2404.731267,2.0
p1-004,7.690010932659407,46.47315594790234,2411.272885,2.0
p1-002,7.689843866868203,46.473221645045406,2409.051961,2.0
p1-001,7.689925941448615,46.47333694506937,2402.026842,2.0
a6-014,7.690158083082168,46.47367518431126,2397.875333,2.0
a6-013,7.689995625014857,46.47374451371239,2396.017192,2.0
a6-012,7.689901091589584,46.47363146948992,2392.222346,2.0
a6-011,7.690063490216697,46.47356309564816,2394.328821,2.0
a6-010,7.689820635748407,46.47351168288849,2394.112547,2.0
a6-009,7.689986389028892,46.47344296519052,2395.553455,2.0
a6-008,7.689750376485844,46.47339574507558,2401.004827,2.0
a6-007,7.689926078481602,46.473335678979694,2402.198698,2.0
a6-006,7.689670568240786,46.47328520324504,2408.236814,2.0
a6-005,7.689845962327037,46.47322942719863,2408.648535,2.0
a6-004,7.689598756883211,46.47317670234828,2416.05563,2.0
a6-003,7.689774762107639,46.47312257385041,2415.849942,2.0
a6-002,7.689528117746507,46.47306495211477,2424.586278,2.0
a6-001,7.689702949148068,46.47301935593969,2423.793385,2.0
a5-014,7.689532581468211,46.47306638865141,2424.468396,2.0
a5-013,7.689347851934525,46.473098485233045,2427.645196,2.0
a5-011,7.68937693876732,46.473208671499,2419.612517,2.0
a5-012,7.689560642762853,46.47317641895456,2416.587268,2.0
a5-010,7.689602643201481,46.473285759427526,2409.271843,2.0
a5-009,7.689416892795853,46.47331792072788,2411.535997,2.0
a5-007,7.689471406084296,46.47344478106962,2403.052867,2.0
a5-008,7.689653118000973,46.47339646925626,2402.403241,2.0
a5-006,7.689732049303518,46.47350588679127,2396.817508,2.0
a5-005,7.689556042168869,46.47355762259556,2396.19505,2.0
a5-003,7.689643774503873,46.47367311730322,2392.495254,2.0
a5-004,7.689817022321983,46.47361741631632,2391.4728,2.0
a5-002,7.689887926014331,46.47373706105134,2393.270967,2.0
a5-001,7.689712780067641,46.473792874756406,2391.116687,2.0
a4-013,7.688834840030604,46.47330521456445,2423.161265,2.0
a4-014,7.688661802518074,46.47336760707936,2421.543766,2.0
a4-012,7.688719673673148,46.47347410184469,2413.28483,2.0
a4-011,7.688893861286678,46.473410842956966,2414.908852,2.0
a4-009,7.688987725302091,46.4735248569892,2405.990028,2.0
a4-010,7.688813745863645,46.47358323412608,2405.357285,2.0
a4-008,7.68887157770778,46.47368473053436,2398.610863,2.0
a4-007,7.689048189731145,46.473632724990416,2398.81038,2.0
a4-005,7.689116071362963,46.47374140111243,2392.482186,2.0
a4-006,7.688939862744233,46.473796165905775,2392.14771,2.0
a4-004,7.688993784125498,46.47391664617352,2387.318903,2.0
a4-003,7.689169506957525,46.4738582858642,2387.266548,2.0
a4-002,7.689087239174316,46.47403786024694,2385.571501,2.0
a4-001,7.689257511071486,46.47397551095026,2387.297121,2.0
a3-013,7.689396732022927,46.47392203998233,2387.184459,2.0
a3-014,7.689231061050523,46.47399284958793,2387.559469,2.0
a3-012,7.689178340113159,46.47386567801882,2386.964206,2.0
a3-011,7.689344213116,46.47379429526728,2388.554501,2.0
a3-010,7.689118352930045,46.473744704921685,2392.08877,2.0
a3-009,7.689276486790347,46.47367818443343,2393.693298,2.0
a3-008,7.689039449857301,46.47363160739484,2399.222772,2.0
a3-007,7.689198550283637,46.47356078341982,2399.930763,2.0
a3-006,7.688968671094104,46.47351805155766,2406.813501,2.0
a3-005,7.68913245732781,46.47344663386846,2406.840804,2.0
a3-004,7.688897431235196,46.473412496696014,2414.884322,2.0
a3-003,7.689060027619182,46.4733422025606,2414.235845,2.0
a3-002,7.688836536750295,46.4733019172724,2423.282701,2.0
a3-001,7.689000026833531,46.47323570072245,2420.88053,2.0
a2-013,7.689001438953298,46.47323395541392,2421.074104,2.0
