time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,1.697533351e-05,5.652533333e-04,5.721777778e-07,7.913546667e-05,6.061759161e+02,5.864000000e+01
6.070000e-06,8.293859085e-06,2.212177778e-04,2.173911111e-07,3.097048889e-05,7.238888712e+02,8.111000000e+01
7.080000e-06,4.453306658e-06,8.670133333e-05,9.309733333e-08,1.213818667e-05,8.478395192e+02,1.172300000e+02
8.520000e-06,2.155812719e-06,2.195777778e-05,4.134622222e-08,3.074088889e-06,1.010068457e+03,2.151000000e+02
1.053000e-05,8.605998802e-07,1.390720000e-06,5.023866667e-08,1.947008000e-07,1.308908678e+03,9.505400000e+02
1.255000e-05,3.452286530e-07,-7.139466667e-07,5.481244444e-08,9.995253333e-08,1.796167033e+03,-1.107100000e+03
1.456000e-05,1.220741485e-07,-5.650711111e-07,3.846711111e-08,7.910995556e-08,2.804181109e+03,-1.010140000e+03
1.744000e-05,-1.671756541e-08,-4.947333333e-09,1.906044444e-08,6.926266667e-10,-7.812643335e+03,-1.759517000e+04
2.146000e-05,-7.659391148e-08,2.988444444e-07,2.093733333e-08,4.183822222e-08,-2.004372605e+03,8.083700000e+02
2.549000e-05,-8.655944129e-08,4.243955556e-07,2.133822222e-08,5.941537778e-08,-1.386749862e+03,4.805100000e+02
2.950000e-05,-8.439946440e-08,4.156488889e-07,2.237688889e-08,5.819084444e-08,-1.105505734e+03,3.818300000e+02
3.528000e-05,-7.589734739e-08,4.147377778e-07,2.226755556e-08,5.806328889e-08,-8.806272651e+02,2.838700000e+02
4.330000e-05,-6.180139140e-08,3.407555556e-07,1.836800000e-08,4.770577778e-08,-7.178143853e+02,2.300100000e+02
5.140000e-05,-4.992491438e-08,2.917377778e-07,1.735120000e-08,4.084328889e-08,-6.218334343e+02,1.917000000e+02
5.941000e-05,-4.128348391e-08,2.368888889e-07,1.726737778e-08,3.316444444e-08,-5.544648327e+02,1.729800000e+02
7.095000e-05,-3.205537354e-08,1.871422222e-07,1.397462222e-08,2.619991111e-08,-4.882432625e+02,1.505900000e+02
8.707000e-05,-2.414953804e-08,1.548888889e-07,1.390537778e-08,2.168444444e-08,-4.192155281e+02,1.214300000e+02
