,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,3.5452046275651466e-06,1.1035511586790417e-06,1.178098698535016e-06,-1.6852182732997392e-06,-2.0439799866124357e-08,-5.440829917463655e-10,-5.638768584666105e-10,8.048387464167866e-09,-3.7221442086401247e-08,-0.0006378524176157958,3.5918750188424633e-06,3.7899310250962154e-06,3.1405424196151724e-05,0.0002376048351107679,-0.5821041663488916,2.286768107431332e-05,1.4816019608106071e-05,-6.421321464497869,0.1273699335351324,-5.68860699097614e-07,-2.713441915809129e-07,-6.044403286780537e-07,-0.00015765266448059036,-2.3542818171687128e-05
dB/dt tg02,3.809381046748855e-06,1.470937725596693e-06,1.4880472265749833e-06,-1.366194886632648e-06,-2.3151998305860587e-08,-5.95921362048361e-10,-6.381583133609411e-10,5.210078195771095e-09,-2.4363963494948414e-08,-0.00040021362014816346,3.884403674907558e-06,4.193818692971061e-06,1.8248525333678548e-05,0.00015043708274074238,-0.4606881408582486,1.923825351317808e-05,1.2771327488117252e-05,-3.8695094249019584,0.08325591018684875,1.1537143009134923e-07,-3.4840367081454494e-07,-7.130888166298794e-07,-0.0001039469327544906,-1.544138521438097e-05
dB/dt tg03,7.166963842302155e-07,5.175456587870125e-07,5.380613568649203e-07,-7.27744696450692e-07,2.0742864572050546e-09,-1.7978302677647144e-10,-1.9308877499428472e-10,3.6315508724027648e-09,-1.6901176894304453e-08,-0.0002841808953066368,1.107985327300673e-06,1.2570873110110909e-06,1.670609710068244e-05,0.00010150832541826024,-0.3703039306139994,1.664778798949687e-05,1.1167089208713663e-05,-2.4590146666452157,0.05762845599333479,6.890949773840566e-07,-2.0318806902726246e-08,-1.6792784155145482e-07,-6.786210010509618e-05,-1.072846664236841e-05
dB/dt tg04,-1.1815470772368647e-06,-1.3779192908681858e-07,-1.1425869527711044e-07,-2.6453085214206343e-07,1.6339632722957842e-08,9.089778330384861e-11,9.823925155565041e-11,2.3454838004599228e-09,-1.0902209949062118e-08,-0.00019101724125297653,-6.884271272689392e-07,-6.600503541820004e-07,1.4022762262433225e-05,6.344051516057921e-05,-0.27544047903028523,1.4056767540302365e-05,9.46919792640958e-06,-1.4465815647474265,0.03703234979679651,9.565460046987074e-07,1.843936019969835e-07,1.83637458070291e-07,-3.990463375122478e-05,-6.930959237402081e-06
dB/dt tg05,3.971303550650743e-07,3.0787696543658135e-07,3.10130352748071e-07,-3.004339923044013e-07,6.652337040589784e-10,-9.533274657486334e-11,-1.0425654963951925e-10,1.364121848498942e-09,-6.614286693274855e-09,-0.00011019220197189284,5.553057754674097e-07,6.550501534235665e-07,6.157177710191992e-06,3.704927076371182e-05,-0.18724812697659776,1.1669318988892798e-05,7.853809485763431e-06,-0.8510037316499658,0.02234297642698807,7.352198243772889e-07,4.333123324707986e-09,-8.292571812804641e-08,-2.4794082178934315e-05,-4.210132991150572e-06
dB/dt tg06,5.26191478000519e-07,3.0335431671769765e-07,3.0153785777285493e-07,-2.3092907234492427e-07,-1.6451715540183269e-09,-9.924344111875377e-11,-1.0853400070724107e-10,8.808601145357527e-10,-4.365920907023852e-09,-7.161414505150196e-05,5.894750282620273e-07,6.825351204743265e-07,3.485987179783843e-06,2.366314740009281e-05,-0.13506869973129587,1.0061799925080369e-05,6.738174275094401e-06,-0.5442257609046776,0.014662800766033067,6.172177615516664e-07,-1.3827383871550124e-08,-9.686367830299755e-08,-1.6272738727148195e-05,-2.780983774673543e-06
dB/dt tg07,-3.199624815749539e-08,9.147797192514402e-08,9.315071062973238e-08,-1.1090414252368409e-07,2.4414640707749153e-09,-1.7816904625474726e-11,-2.0175687772934906e-11,6.248451443459373e-10,-3.069303141002451e-09,-5.2651525032728564e-05,5.6087761841388716e-08,1.0721287459013176e-07,3.2476335199975327e-06,1.6168526826244672e-05,-0.10272694701043232,8.912983732801956e-06,5.928409118383141e-06,-0.3608495622243036,0.010247931437926554,5.735578629809111e-07,4.467209366330056e-08,7.821398998506794e-09,-1.0624455641517572e-05,-1.9558431643385106e-06
dB/dt tg08,-2.836015353683964e-07,-1.9276621013369174e-08,-1.6514966262526614e-08,-3.807064726884593e-08,3.943712953620935e-09,2.2217486643307217e-11,2.336401411631559e-11,4.1031839346095667e-10,-1.997489854024266e-09,-3.585614339533879e-05,-2.016218894783362e-07,-1.7465767410349018e-07,2.635247485836803e-06,1.0139594839926379e-05,-0.07287020891363996,7.730997982844105e-06,5.0881606218791576e-06,-0.2202647668141213,0.006614381016343727,4.834059734819873e-07,6.802568643078056e-08,5.62728732759558e-08,-6.352751597900345e-06,-1.2730435138135803e-06
dB/dt tg09,-9.705412823804853e-08,1.6165350762150414e-08,1.6894560474120537e-08,-3.254031461876231e-08,1.8014396229431869e-09,3.491317773397083e-12,3.20232825025023e-12,2.4717468189874186e-10,-1.2212428455620464e-09,-2.1758858220396534e-05,-6.915712270164526e-08,-4.0216800272574876e-08,1.4495770408203675e-06,5.924104827843793e-06,-0.04809199731958484,6.607382823488709e-06,4.284157470924807e-06,-0.132529545812968,0.003999863361128633,3.498136746927262e-07,4.2405148720808464e-08,2.5348789007864115e-08,-3.889647684449246e-06,-7.779830408652687e-07
dB/dt tg10,9.39148819730853e-08,6.310083279924131e-08,6.224567419552715e-08,-4.185625778552561e-08,-1.4117313423270814e-10,-1.812930806397721e-11,-2.0151049458783365e-11,1.5985217427723963e-10,-8.126227996158378e-10,-1.3830404430662411e-05,8.022410794545845e-08,1.1450032910637715e-07,6.400050896501936e-07,3.787368740749515e-06,-0.03362459927251605,5.827820284953892e-06,3.7241478083389735e-06,-0.09083539289218848,0.002634056300766258,2.525241693660096e-07,1.752459705448084e-08,-7.708688974442559e-09,-2.7818557714448365e-06,-5.172167745673946e-07
