time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,7.218097968e-06,5.900355556e-04,2.671377778e-07,1.180071111e-04,1.072002273e+03,5.699000000e+01
6.070000e-06,3.637753955e-06,2.343377778e-04,1.455591111e-07,4.686755556e-05,1.253970887e+03,7.804000000e+01
7.080000e-06,2.087007636e-06,9.318844444e-05,9.690577778e-08,1.863768889e-05,1.405247103e+03,1.117300000e+02
8.520000e-06,1.115990340e-06,2.487333333e-05,5.652533333e-08,4.974666667e-06,1.566695292e+03,1.979300000e+02
1.053000e-05,4.706253443e-07,2.341555556e-06,3.411200000e-08,4.683111111e-07,1.957311708e+03,6.715900000e+02
1.255000e-05,2.073422352e-07,-3.717333333e-07,2.104666667e-08,7.434666667e-08,2.523245029e+03,-1.710370000e+03
1.456000e-05,9.875670130e-08,-2.576622222e-07,2.534711111e-08,5.153244444e-08,3.229813745e+03,-1.704590000e+03
1.744000e-05,2.291466916e-08,6.527200000e-08,1.158933333e-08,1.305440000e-08,6.331466181e+03,3.151230000e+03
2.146000e-05,-2.267990092e-08,3.126933333e-07,1.355915556e-08,6.253866667e-08,-4.511772458e+03,7.844700000e+02
2.549000e-05,-3.862051670e-08,3.484088889e-07,1.608475556e-08,6.968177778e-08,-2.374993221e+03,5.480600000e+02
2.950000e-05,-4.052597979e-08,3.604355556e-07,1.738400000e-08,7.208711111e-08,-1.802872902e+03,4.198800000e+02
3.528000e-05,-3.593399238e-08,3.114177778e-07,6.560000000e-09,6.228355556e-08,-1.449682440e+03,3.435800000e+02
4.330000e-05,-3.083400767e-08,2.265022222e-07,8.196355556e-09,4.530044444e-08,-1.141101673e+03,3.018900000e+02
5.140000e-05,-2.668605050e-08,1.792520000e-07,9.991244444e-09,3.585040000e-08,-9.441248297e+02,2.651900000e+02
5.941000e-05,-2.274347012e-08,1.412586667e-07,1.311817778e-08,2.825173333e-08,-8.250629406e+02,2.442000000e+02
7.095000e-05,-1.773763148e-08,1.121395556e-07,4.617511111e-09,2.242791111e-08,-7.243910379e+02,2.118400000e+02
8.707000e-05,-1.321302778e-08,8.404088889e-08,4.158311111e-09,1.680817778e-08,-6.266740055e+02,1.825300000e+02
