X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.528,100.000,0.0,1.0e-06,0.235
0.000,0.000,0.000,5.250,2532.635,0.1,6.1e-04,0.881
0.000,0.000,0.000,4.457,2333.058,0.1,5.7e-04,0.846
0.000,0.000,0.000,8.269,1320.102,0.6,1.0e-06,0.314
0.000,0.000,0.000,0.000,380.569,0.0,1.0e-06,0.096
