X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,2.630,100.000,0.0,1.0e-06,0.222
0.000,0.000,0.000,4.945,2264.948,0.1,6.1e-04,0.879
0.000,0.000,0.000,4.301,2060.547,0.2,5.7e-04,0.844
0.000,0.000,0.000,7.456,1117.273,0.5,1.0e-06,0.293
0.000,0.000,0.000,0.000,458.028,0.0,1.0e-06,0.098
