X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.427,100.000,0.0,1.0e-06,0.200
0.000,0.000,0.000,4.467,2503.828,0.1,6.0e-04,0.874
0.000,0.000,0.000,3.864,2329.943,0.2,5.6e-04,0.841
0.000,0.000,0.000,7.882,1715.290,0.5,1.0e-06,0.253
0.000,0.000,0.000,0.000,529.775,0.0,1.0e-06,0.102
