X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.400,100.000,0.0,1.0e-06,0.216
0.000,0.000,0.000,4.699,2558.296,0.1,6.0e-04,0.877
0.000,0.000,0.000,4.007,2376.063,0.1,5.6e-04,0.844
0.000,0.000,0.000,8.002,1454.811,0.6,1.0e-06,0.218
0.000,0.000,0.000,0.000,469.487,0.0,1.0e-06,0.100
