time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,3.793567197e-06,5.317244444e-04,1.858666667e-07,1.063448889e-04,1.646060147e+03,6.109000000e+01
6.070000e-06,2.104619247e-06,2.057288889e-04,1.216697778e-07,4.114577778e-05,1.806039771e+03,8.511000000e+01
7.080000e-06,1.958656528e-06,7.873822222e-05,1.071102222e-07,1.574764444e-05,1.465986151e+03,1.250100000e+02
8.520000e-06,1.676842719e-06,1.878711111e-05,4.694044444e-08,3.757422222e-06,1.194253738e+03,2.386300000e+02
1.053000e-05,7.013861023e-07,2.268666667e-07,3.649911111e-08,4.537333333e-08,1.500164085e+03,3.184450000e+03
1.255000e-05,3.700117611e-07,-1.360288889e-06,4.203866667e-08,2.720577778e-07,1.715040017e+03,-7.203600000e+02
1.456000e-05,3.447227675e-07,-8.766711111e-07,4.960088889e-08,1.753342222e-07,1.403595229e+03,-7.537000000e+02
1.744000e-05,2.721544760e-07,-2.716933333e-07,2.336088889e-08,5.433866667e-08,1.216287840e+03,-1.217940000e+03
2.146000e-05,1.288973237e-07,9.364400000e-08,1.895111111e-08,1.895111111e-08,1.416702598e+03,1.752410000e+03
2.549000e-05,3.333638857e-08,1.697582222e-07,2.161155556e-08,3.395164444e-08,2.619763344e+03,8.852400000e+02
2.950000e-05,1.503015387e-08,2.454533333e-07,1.880533333e-08,4.909066667e-08,3.492570453e+03,5.425700000e+02
3.528000e-05,2.892641852e-08,2.572977778e-07,1.745506667e-08,5.145955556e-08,1.675251758e+03,3.902900000e+02
4.330000e-05,1.360449629e-08,1.814568889e-07,1.532124444e-08,3.629137778e-08,1.968895570e+03,3.500600000e+02
5.140000e-05,-4.293595626e-09,1.584240000e-07,1.742226667e-08,3.168480000e-08,-3.191573584e+03,2.879400000e+02
5.941000e-05,-8.733881438e-09,1.121577778e-07,1.521920000e-08,2.243155556e-08,-1.561660784e+03,2.847800000e+02
7.095000e-05,-6.112560845e-09,1.016617778e-07,1.268448889e-08,2.033235556e-08,-1.473741648e+03,2.261700000e+02
8.707000e-05,-2.170061250e-09,8.023244444e-08,1.104084444e-08,1.604648889e-08,-2.089594026e+03,1.882500000e+02
