name	ri	minT(us)	maxT(us)	lam	lam_fin	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
B007	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.53e-04	 97.171	254.636	 1.0
B007	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.52e-04	136.284	287.263	 1.0
B007	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.52e-04	107.494	 89.573	 1.3
B007	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.52e-04	103.263	 53.069	 1.1
B007	r004	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.17	25	12	1.52e-04	107.669	 38.854	 1.0
B007	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.50e-04	115.829	 33.263	 1.0
B008	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.48e-04	177.513	1186.724	 1.0
B008	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.46e-04	120.900	226.121	 1.0
B008	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.47e-04	152.329	191.768	 1.1
B008	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.44e-04	123.179	 77.414	 1.0
B008	r004	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.17	25	12	1.46e-04	436.781	660.131	 1.1
B008	r005	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.20	25	12	1.45e-04	171.666	 73.673	 1.1
B009	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.42e-04	105.145	228.071	 1.0
B009	r001	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.08	25	12	1.43e-04	108.438	142.550	 1.1
B009	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.42e-04	154.656	169.517	 1.0
B009	r003	5.0	100.0	   500.0	    11.3	1.0e+02	8.0e-01	0.14	25	16	1.51e-04	127.670	 78.401	 1.4
B009	r004	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.17	25	14	1.43e-04	187.629	121.290	 1.2
B009	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.42e-04	112.241	 30.412	 1.0
B010	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.43e-04	116.769	225.910	 1.0
B010	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.44e-04	113.044	143.862	 2.0
B010	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.44e-04	166.757	 90.602	 1.9
B010	r003	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.14	25	11	1.44e-04	107.831	 51.577	 0.9
B010	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.44e-04	259.063	 67.601	 1.0
B010	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.43e-04	112.041	 28.084	 0.9
B011	r000	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.05	25	12	1.31e-04	110.325	188.969	 1.1
B011	r001	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.08	25	12	1.33e-04	129.418	163.578	 1.1
B011	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.32e-04	115.835	 85.283	 1.0
B011	r003	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.14	25	12	1.30e-04	103.466	 51.084	 1.0
B011	r004	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.17	25	11	1.31e-04	104.682	 36.257	 0.9
B011	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.30e-04	109.794	 28.937	 1.0
B012	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.35e-04	292.473	173.542	 1.0
B012	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.27e-04	606.579	298.294	 1.0
B012	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.33e-04	155.324	 72.756	 1.0
B012	r003	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.14	25	12	1.32e-04	100.999	 47.780	 1.0
B012	r004	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.17	25	12	1.33e-04	277.579	 73.816	 1.1
B012	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.32e-04	108.135	 27.534	 1.0
