X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.488,100.000,0.0,1.0e-06,0.314
0.000,0.000,0.000,5.203,2596.956,0.1,6.2e-04,0.887
0.000,0.000,0.000,4.317,2379.923,0.1,5.8e-04,0.853
0.000,0.000,0.000,8.239,1621.403,0.5,1.0e-06,0.301
0.000,0.000,0.000,0.000,419.471,0.0,1.0e-06,0.098
