,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,3.2052585370494416e-06,8.833767977754631e-07,1.0115827621895443e-06,-1.6497269495053721e-06,-1.7665268212716108e-08,-4.530572313374349e-10,-4.3810217134766097e-10,8.15693064385671e-09,-4.323448827839958e-08,-0.0006372845568786567,2.9203156110049744e-06,2.858234237757162e-06,-3.031668715729928e-05,0.0002709487906777629,-1.1201047193831675,2.1417957211593096e-05,1.5493405324372456e-05,-6.517341854897104,0.1450259423256725,-8.509199780199813e-08,-2.015781900165977e-07,-4.1553445523721457e-07,-3.156051748271768e-05,-2.7544515992015997e-05
dB/dt tg02,8.167404334055534e-06,3.923925973067589e-06,3.783052039240104e-06,-1.2804087726065655e-06,-5.2955760772387213e-08,-6.490278070905077e-10,-7.720262951633021e-10,5.833015036905872e-09,-2.808484648178411e-08,-0.0003787418150023932,4.172667477237818e-06,4.911306882290566e-06,4.791953417232278e-05,0.00017025731524855187,-0.8629918071078752,1.8003496669668443e-05,1.3202886357381071e-05,-4.341810038612151,0.09403807312371502,5.486667953478603e-07,-3.9857472464747456e-07,-8.326076421212899e-07,1.2980280142596106e-05,-1.7924513307481027e-05
dB/dt tg03,1.1357882999580375e-06,7.109758246720798e-07,7.346458698152297e-07,-7.179175452909036e-07,-1.0456464859132863e-09,-1.638410952462173e-10,-1.724947470886634e-10,3.915815620808232e-09,-1.9448901275776063e-08,-0.00026997734240795585,9.866610607852015e-07,1.0814842881559814e-06,-3.544143710450985e-06,0.00011476389831381522,-0.6693928948601735,1.5582487023893403e-05,1.149474180814407e-05,-2.5430703421674092,0.0649642412115007,1.3021425414959092e-06,-1.3822651805683673e-08,-1.2922837920197198e-07,-8.842144134458517e-06,-1.2430721787364193e-05
dB/dt tg04,-3.4444648908145616e-06,-1.4738939463657504e-06,-1.3393093430633445e-06,-3.0487494469016937e-07,3.1457070063823996e-08,1.5544952130893675e-10,2.2441623002287177e-10,2.3599520583514034e-09,-1.2532245284578043e-08,-0.00018359682792782776,-1.1017041697831433e-06,-1.44905398067273e-06,-3.827007758085703e-05,7.170172976601054e-05,-0.4762935312630196,1.3163123461550056e-05,9.720625938024909e-06,-1.2682695857686264,0.041692680252718384,1.6027386268975126e-06,2.3148269597502282e-07,3.3119756449865587e-07,-2.3206322089073756e-05,-8.02103202951432e-06
dB/dt tg05,1.2297284885408198e-06,7.579983168798376e-07,7.333518907817576e-07,-2.924773082913782e-07,-5.319566179742025e-09,-1.0511065653320088e-10,-1.2716584273640189e-10,1.5999479595116103e-09,-7.525058099437992e-09,-9.667435467276421e-05,6.148974738902702e-07,7.777772216420735e-07,9.137078074811628e-06,4.1342872559116525e-05,-0.3120192267995933,1.0927599465987401e-05,8.034348122046348e-06,-0.948582506519617,0.02488419113762339,1.0997327974822945e-06,-8.65155042236142e-09,-1.0263203790044669e-07,1.9374562004547496e-06,-4.821172331201311e-06
dB/dt tg06,1.6434812044178107e-06,9.226764273678121e-07,8.786344817712968e-07,-2.1798732626260604e-07,-9.536500129016076e-09,-1.1824821403232443e-10,-1.4911299538663964e-10,1.1024812355951123e-09,-4.93417835486629e-09,-5.930237657186793e-05,7.095030292090072e-07,9.177552102166134e-07,1.4420836588981422e-05,2.6181086727162583e-05,-0.21663167427478547,9.424326295391194e-06,6.884473997558796e-06,-0.6620803281508487,0.01621572810479659,8.580466305836302e-07,-3.364333020195178e-08,-1.3778272529193262e-07,5.485032720339011e-06,-3.163044389907426e-06
dB/dt tg07,8.691266749289852e-08,1.4133643056207874e-07,1.4215141691090144e-07,-1.135016033101949e-07,1.3972051402981815e-09,-1.6576815649987587e-11,-1.8615688984458716e-11,7.299151409044813e-10,-3.4661612954358676e-09,-4.4505665122833554e-05,5.0254519551775444e-08,9.166985313529101e-08,4.4426283620722587e-07,1.788021424231653e-05,-0.15814599886246639,8.351275167730078e-06,6.0575801098495495e-06,-0.38174885509404205,0.011322589392149454,7.803395603859616e-07,4.2040984889396156e-08,1.2029268925391918e-08,-8.396517342622098e-07,-2.2226809230855527e-06
dB/dt tg08,-6.30746503811541e-07,-2.3370452155364972e-07,-2.121117978245806e-07,-4.753620510449753e-08,6.124498233318507e-09,3.217340408774193e-11,4.3500387777133305e-11,4.460089268186691e-10,-2.2520390003825004e-09,-3.0667341885655775e-05,-2.614743327329337e-07,-2.996779941045359e-07,-6.115695136717197e-06,1.119491033151718e-05,-0.10678466777495056,7.246389784762097e-06,5.2006089511630934e-06,-0.19277078808095358,0.007294132542375541,6.357360544783166e-07,7.314718153113353e-08,8.000088095177124e-08,-3.6302002410439567e-06,-1.4441956181533768e-06
dB/dt tg09,-1.5287302730501676e-07,-2.6844506487331566e-08,-2.1300160499577386e-08,-3.623874272557892e-08,2.039821809200884e-09,6.158535364914356e-12,8.585232595953678e-12,2.86855658400349e-10,-1.3667503578629202e-09,-1.751350377712822e-05,-8.323414169043271e-08,-7.490060291328669e-08,-1.4760062807126752e-06,6.471523000075464e-06,-0.06697288591188436,6.194998164056402e-06,4.380823561680354e-06,-0.1303085288557899,0.004375769821176813,4.27949489177635e-07,4.212800610028759e-08,3.2405224833074926e-08,-1.0804679166198216e-06,-8.759572953996259e-07
dB/dt tg10,3.3921784316865575e-07,1.9648120303625666e-07,1.8561903500322099e-07,-3.975073205906509e-08,-1.9268121100515205e-09,-2.2360186338089682e-11,-2.909927308009274e-11,2.1473747710225644e-10,-9.006002726078763e-10,-9.921547081685205e-06,1.091940718773871e-07,1.6672524117743125e-07,3.3487208982447243e-06,4.072868928225231e-06,-0.045001766399333884,5.465300281695165e-06,3.8108248991561635e-06,-0.11739805123521817,0.002850981913898358,2.837430073282683e-07,1.1993547269558029e-08,-1.6573907228143292e-08,1.4070442497295443e-06,-5.765932124827197e-07
