time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,5.453984211e-06,5.881200000e-04,1.427920000e-06,1.176240000e-04,1.249843024e+03,5.524000000e+01
6.070000e-06,2.629843868e-06,2.355600000e-04,1.823466667e-07,4.711200000e-05,1.505717593e+03,7.522000000e+01
7.080000e-06,1.268503078e-06,9.434533333e-05,1.229106667e-07,1.886906667e-05,1.894210358e+03,1.071700000e+02
8.520000e-06,4.669692727e-07,2.574000000e-05,1.323400000e-07,5.148000000e-06,2.708651466e+03,1.870700000e+02
1.053000e-05,1.344270586e-07,2.943200000e-06,4.602000000e-08,5.886400000e-07,4.364885987e+03,5.577400000e+02
1.255000e-05,-2.407482943e-09,-1.856400000e-07,7.248800000e-08,3.712800000e-08,-4.759517902e+04,-2.627940000e+03
1.456000e-05,-7.494970195e-08,-3.671200000e-07,4.752800000e-08,7.342400000e-08,-3.754589159e+03,-1.302360000e+03
1.744000e-05,-1.062897072e-07,-6.565866667e-08,3.087066667e-08,1.313173333e-08,-2.201775554e+03,-3.035810000e+03
2.146000e-05,-9.608802666e-08,1.550640000e-07,2.629466667e-08,3.101280000e-08,-1.666667402e+03,1.211050000e+03
2.549000e-05,-7.691101389e-08,3.518666667e-07,2.582666667e-08,7.037333333e-08,-1.451228850e+03,5.266100000e+02
2.950000e-05,-6.665411919e-08,3.227466667e-07,3.617466667e-08,6.454933333e-08,-1.251478226e+03,4.371300000e+02
3.528000e-05,-5.836505368e-08,2.977866667e-07,2.230800000e-08,5.955733333e-08,-1.014756324e+03,3.424800000e+02
4.330000e-05,-4.427072167e-08,2.724800000e-07,2.364266667e-08,5.449600000e-08,-8.672023084e+02,2.581600000e+02
5.140000e-05,-3.288013453e-08,1.847733333e-07,2.300133333e-08,3.695466667e-08,-7.945423759e+02,2.512800000e+02
5.941000e-05,-2.605585041e-08,1.351480000e-07,2.404133333e-08,2.702960000e-08,-7.288562767e+02,2.432600000e+02
7.095000e-05,-1.998195188e-08,8.136266667e-08,1.865066667e-08,1.865066667e-08,-6.471407006e+02,2.537500000e+02
8.707000e-05,-1.516567989e-08,6.631733333e-08,1.858133333e-08,1.858133333e-08,-5.529117545e+02,2.067400000e+02
