X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.482,100.000,0.0,1.0e-06,0.210
0.000,0.000,0.000,4.969,2517.620,0.1,6.0e-04,0.878
0.000,0.000,0.000,4.275,2333.853,0.2,5.7e-04,0.843
0.000,0.000,0.000,7.026,1387.558,0.5,1.0e-06,0.242
0.000,0.000,0.000,0.000,532.145,0.0,1.0e-06,0.102
