X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.559,100.000,0.0,1.0e-06,0.202
0.000,0.000,0.000,4.686,2462.623,0.1,6.0e-04,0.874
0.000,0.000,0.000,4.058,2292.483,0.2,5.7e-04,0.840
0.000,0.000,0.000,7.691,1498.266,0.5,1.0e-06,0.253
0.000,0.000,0.000,0.000,505.929,0.0,1.0e-06,0.102
