X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.284,100.000,0.0,1.0e-06,0.581
0.000,0.000,0.000,5.846,2893.784,0.1,6.4e-04,0.906
0.000,0.000,0.000,8.302,2907.091,0.1,5.9e-04,0.875
0.000,0.000,0.000,0.000,1474.550,0.0,1.0e-06,0.114
