X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.336,100.000,0.0,1.0e-06,0.592
0.000,0.000,0.000,5.642,2852.456,0.1,6.5e-04,0.906
0.000,0.000,0.000,8.200,2866.818,0.1,5.9e-04,0.876
0.000,0.000,0.000,0.000,1604.669,0.0,1.0e-06,0.115
