,thk_00,thk_01,thk_02,rho0_00,rho0_01,rho0_02,rho0_03,max_pha_00,max_pha_01,max_pha_02,max_pha_03,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,c_00,c_01,c_02,c_03
dB/dt tg01,1.1069167768702393e-05,-1.7078001487325737e-07,-1.1980036733102684e-07,-3.4423047401795867e-07,-1.1932554624008091e-09,-1.6181699596954822e-09,-6.249783377781059e-09,-0.001367870226430486,7.256317369822285e-06,1.033413486621704e-05,0.00010303589673644432,-2.0958559586737575,1.9316527631080645e-05,1.5193223187768529e-05,0.06185510146996313,-2.8602011101380445e-06,-9.028730128822872e-07,-1.8032013980663612e-06,-1.0079628535053194e-05
dB/dt tg02,4.986253461856695e-06,-8.732254042311385e-08,-6.224079640696928e-08,-1.4329937753777567e-07,-5.841083170018253e-10,-8.397998945207258e-10,-4.028825862165746e-09,-0.0008661309223217399,3.50169478641498e-06,5.329335049567553e-06,6.379401450738786e-05,-1.7273173358934184,1.6621940886228445e-05,1.4497511954729549e-05,0.03970095701234252,7.991149003001988e-07,-3.896019312945574e-07,-8.915706768729792e-07,-6.503453129503344e-06
dB/dt tg03,2.50191102580634e-06,-4.875068059750485e-08,-3.517017004176678e-08,-6.508313556663734e-08,-3.1872425428862606e-10,-4.791852617731791e-10,-2.744498969350866e-09,-0.0005855628153760543,1.8729658611976192e-06,3.014678509150827e-06,4.191663647902409e-05,-1.3720122991536035,1.4508709266147242e-05,1.335958598820355e-05,0.026913542375315885,2.1291191529382784e-06,-1.7452833385510396e-07,-4.7646130296342176e-07,-4.432882777294932e-06
dB/dt tg04,1.1617712238843453e-06,-2.459467684108572e-08,-1.792713981954158e-08,-2.6134400557231275e-08,-1.6195552842923338e-10,-2.5102954748392675e-10,-1.7193838197230874e-09,-0.0003671438913602013,9.182711120433954e-07,1.5548271788500645e-06,2.5116565524466006e-05,-0.9851203979293764,1.2268760042180512e-05,1.1756361838134698e-05,0.016737192455774517,2.5382458936688588e-06,-5.622147976013645e-08,-2.21246419557144e-07,-2.7783074250716953e-06
dB/dt tg05,4.4904231547800984e-07,-1.0847591554354904e-08,-8.076766058375423e-09,-6.939082994596841e-09,-7.28505923740549e-11,-1.1774935028799144e-10,-9.991968945987154e-10,-0.00021483460795196206,3.820704360105359e-07,7.066823039367893e-07,1.3791607933346714e-05,-0.6536397643957885,1.0136989094233951e-05,9.973748742330041e-06,0.009624389491900972,2.3337545456092583e-06,3.853740382272451e-09,-7.868407069584506e-08,-1.614785133298559e-06
dB/dt tg06,1.9357384976976297e-07,-5.3460310505647695e-09,-4.105415234546425e-09,-1.0260704921645456e-09,-3.735699136174948e-11,-6.260362750965401e-11,-6.344446505039479e-10,-0.00013782338246245342,1.7302616403633326e-07,3.590456089057155e-07,8.311718821420466e-06,-0.45555058004940613,8.675440186614407e-06,8.633309101561956e-06,0.0060457394640423935,1.9582171616450813e-06,2.2806501869988523e-08,-2.4145433250469047e-08,-1.025029762759653e-06
dB/dt tg07,9.651795846577935e-08,-2.9108004442762374e-09,-2.3284622389303902e-09,6.214223693124808e-10,-2.1718804622870773e-11,-3.719364637268544e-11,-4.3172307538687747e-10,-9.489447291666474e-05,8.392323533228643e-08,2.0101645189071984e-07,5.393535931761778e-06,-0.33131240434419584,7.623019090826455e-06,7.618247826670635e-06,0.00407065995392108,1.61112210381795e-06,2.7918554090685088e-08,-1.8355153347795817e-09,-6.970960043244332e-07
dB/dt tg08,3.6654973347496406e-08,-1.301170592135368e-09,-1.1479352340635505e-09,1.2918627981315293e-09,-1.0959897255349e-11,-1.9469202179646235e-11,-2.696099612664083e-10,-6.023081792243737e-05,2.522637629461973e-08,9.278908448763397e-08,3.155927755635212e-06,-0.22277369647211967,6.538833641542791e-06,6.538888527931485e-06,0.00250397763061608,1.2274377355666099e-06,2.8699934980178153e-08,1.1234436854523855e-08,-4.3481639787567376e-07
dB/dt tg09,7.818866129470853e-09,-4.417695938815126e-10,-5.090805231241167e-10,1.2842453320101941e-09,-4.757109492498352e-12,-9.06381638050573e-12,-1.5686143346151039e-10,-3.5761863125302085e-05,-5.740028539075125e-09,3.147162535825278e-08,1.6853498223102985e-06,-0.13969795895815945,5.51035320457846e-06,5.488515811079546e-06,0.001427061003923297,8.660966504324073e-07,2.6180800392489776e-08,1.6223053373730136e-08,-2.5243590422894514e-07
dB/dt tg10,-1.7696169952235296e-10,-1.313738908345698e-10,-2.686212497069024e-10,1.0332856405889858e-09,-2.2742209860273307e-12,-4.725940357541022e-12,-1.0006298318242907e-10,-2.3229818493386512e-05,-1.6045323481450737e-08,7.472642259540423e-09,9.902306544195688e-07,-0.09410424086066509,4.800237274373132e-06,4.75162822722514e-06,0.0008920853668561492,6.343663211521202e-07,2.3044739758962675e-08,1.64575459342873e-08,-1.60621009582154e-07
