,thk_00,thk_01,thk_02,rho0_00,rho0_01,rho0_02,rho0_03,max_pha_00,max_pha_01,max_pha_02,max_pha_03,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,c_00,c_01,c_02,c_03
dB/dt tg01,5.856265611648955e-07,-1.472066676925427e-07,-1.365919611895557e-07,5.492523249685033e-10,-3.7976658448978307e-10,-5.389998832980226e-10,-6.353235782327198e-09,-0.0006174685639754038,2.4882179020227696e-06,3.926097399259397e-06,8.278060183731546e-05,-1.2829435175959956,2.1065534666494986e-05,1.409674095013417e-05,0.055605396523325544,1.7630816342475658e-07,-1.321799076678223e-07,-5.10538996087444e-07,-8.597088700442523e-06
dB/dt tg02,-9.943229987712427e-08,-8.417349873862079e-08,-7.192382264877551e-08,6.297556489501358e-09,-1.930309054256423e-10,-3.0226628926950625e-10,-3.960017802812769e-09,-0.0003867559788055267,1.2078194129048436e-06,2.1698050275067973e-06,4.9137635221729086e-05,-0.9737505383072774,1.7597521601025306e-05,1.2094187882914055e-05,0.034441807642048045,1.2171592145920657e-06,-1.400695120106927e-08,-2.5861524300600427e-07,-5.364138784430248e-06
dB/dt tg03,-3.274292724918407e-07,-4.4211288065291944e-08,-4.099772938956446e-08,7.52778890594854e-09,-1.1159044024697878e-10,-1.6788212654590063e-10,-2.669282705232233e-09,-0.0002602275881010007,6.551223578134244e-07,1.183610803639963e-06,3.182562020999037e-05,-0.7434827794905022,1.5163083768976524e-05,1.0567502204168368e-05,0.02304899101911284,1.522638821654846e-06,2.897334588960333e-08,-1.1906093973889555e-07,-3.6178347957568163e-06
dB/dt tg04,-3.485121492064065e-07,-1.8611642428065868e-08,-2.1289645128475446e-08,6.530592692411099e-09,-6.083354137367504e-11,-8.102958268943664e-11,-1.676072925976333e-09,-0.00016285655013258268,3.1896387854411616e-07,5.505731422156454e-07,1.9060711502798638e-05,-0.5200319518156209,1.275435546646849e-05,8.966936786920668e-06,0.014325432469815753,1.4988743849774394e-06,4.746602416667417e-08,-3.384474677489011e-08,-2.272156979202913e-06
dB/dt tg05,-2.4534690532539417e-07,-1.1875143696541424e-08,-1.0327413456969227e-08,4.38819396232831e-09,-2.798970219947896e-11,-4.72752393856371e-11,-9.675530277356653e-10,-9.481465500333169e-05,1.098908955999367e-07,3.055789851419457e-07,1.0213395568740914e-05,-0.33724430388274695,1.054893550165879e-05,7.439991272512047e-06,0.008157754698163744,1.2573135741659089e-06,5.35050589335405e-08,-7.757809953957515e-09,-1.3113708964766457e-06
dB/dt tg06,-1.7893420841424627e-07,-7.30962365208001e-09,-5.590286282245176e-09,3.1069252121061504e-09,-1.4642253470866575e-11,-2.863506705970789e-11,-6.16169651053906e-10,-6.0595247986118224e-05,2.9752073714010735e-08,1.7339939054032792e-07,6.0812897919533166e-06,-0.23159640253632058,9.07152104727027e-06,6.386764814480762e-06,0.005123407243503266,1.013360846579039e-06,5.0837222862447734e-08,5.1619170010504335e-09,-8.345036221741697e-07
dB/dt tg07,-1.42547904948069e-07,-3.2106504811141274e-09,-3.226385927557771e-09,2.3862782207748437e-09,-8.985135442286388e-12,-1.5226489505611562e-11,-4.2572911943871235e-10,-4.165406412735625e-05,-9.20694029084279e-10,7.978985076315351e-08,3.990358789423187e-06,-0.16677158673367934,8.01947889644914e-06,5.623414969516774e-06,0.0034922624730582595,8.1604127364771e-07,4.602140924460153e-08,1.4532802236941363e-08,-5.759324543339536e-07
dB/dt tg08,-1.0348269019559375e-07,-7.836271451217953e-10,-1.6141651271036466e-09,1.6824962982937142e-09,-4.806447476187349e-12,-6.548078159792441e-12,-2.7099713016825027e-10,-2.6364158616505222e-05,-2.076567702090183e-08,2.091457633780793e-08,2.363159207095825e-06,-0.1108364344165011,6.94014088327848e-06,4.831137649050374e-06,0.0021813621788997254,6.089133741366916e-07,3.993656948717244e-08,1.8503907783443846e-08,-3.658912459579891e-07
dB/dt tg09,-6.421498324786511e-08,-4.087373389468005e-10,-7.590747284238847e-10,1.0421391891986299e-09,-1.9808681230347198e-12,-3.5505993383386988e-12,-1.5964173282854962e-10,-1.556355765021479e-05,-3.134329508171824e-08,3.131520352666147e-09,1.2447589328272658e-06,-0.0685970956345763,5.9173118384398354e-06,4.0732100193773755e-06,0.0012524917168048697,4.208639059532171e-07,3.346338397317709e-08,1.650621888505184e-08,-2.148518239276526e-07
dB/dt tg10,-4.00670541799354e-08,-6.080906434003059e-10,-4.365527193797934e-10,6.637498703081849e-10,-6.946048718865563e-13,-2.9662553247183035e-12,-1.022056341283636e-10,-1.0046779616462816e-05,-3.401026648976767e-08,1.7597878170134826e-09,7.033652956229972e-07,-0.0457322051733716,5.209743547664042e-06,3.5459459893755986e-06,0.0007817018159387877,3.035293123092679e-07,2.8618431541277483e-08,1.3558923743609595e-08,-1.3705013011878133e-07
