X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,1.470,100.000,0.0,1.0e-06,0.234
0.000,0.000,0.000,4.789,2528.639,0.1,6.1e-04,0.880
0.000,0.000,0.000,4.078,2341.427,0.1,5.7e-04,0.846
0.000,0.000,0.000,8.014,1636.054,0.5,1.0e-06,0.282
0.000,0.000,0.000,0.000,487.971,0.0,1.0e-06,0.100
