name	ri	minT(us)	maxT(us)	lam	lam_fin	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
B001	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.17e-04	121.490	190.231	 0.9
B001	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.21e-04	 96.669	104.320	 1.2
B001	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.21e-04	 96.517	 62.675	 3.9
B001	r003	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.14	25	13	1.20e-04	 96.808	 41.799	 4.1
B001	r004	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.17	25	14	1.20e-04	 97.121	 30.227	 4.5
B001	r005	5.0	100.0	   500.0	    11.3	1.0e+02	8.0e-01	0.20	25	16	1.20e-04	 97.100	 22.588	 3.7
B002	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.25e-04	106.872	172.703	 1.8
B002	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.25e-04	102.878	 95.062	 0.9
B002	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.24e-04	100.455	 62.269	 0.9
B002	r003	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.14	25	12	1.24e-04	 99.919	 43.089	 1.0
B002	r004	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.17	25	13	1.24e-04	 99.975	 31.588	 1.0
B002	r005	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.20	25	13	1.24e-04	100.916	 24.451	 1.1
B003	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.31e-04	144.625	198.913	 1.7
B003	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.35e-04	 97.070	109.488	 0.9
B003	r002	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.11	25	12	1.35e-04	100.437	 65.631	 1.0
B003	r003	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.14	25	14	1.35e-04	 99.614	 43.081	 1.2
B003	r004	5.0	100.0	   500.0	    14.1	1.0e+02	8.0e-01	0.17	25	15	1.35e-04	 99.417	 30.797	 1.3
B003	r005	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.20	25	11	1.33e-04	103.105	 25.900	 1.0
B004	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.40e-04	103.314	213.985	 1.0
B004	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.43e-04	100.871	120.443	 1.0
B004	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.43e-04	101.078	 71.532	 0.9
B004	r003	5.0	100.0	   500.0	    22.0	1.0e+02	8.0e-01	0.14	25	13	1.43e-04	100.966	 46.545	 1.1
B004	r004	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.17	25	14	1.43e-04	101.330	 33.141	 1.2
B004	r005	5.0	100.0	   500.0	    14.1	1.0e+02	8.0e-01	0.20	25	15	1.43e-04	101.576	 25.203	 1.3
B005	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.50e-04	100.684	276.027	 1.0
B005	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.50e-04	100.100	136.450	 1.0
B005	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.50e-04	100.346	 81.493	 1.0
B005	r003	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.14	25	12	1.50e-04	100.811	 51.851	 1.0
B005	r004	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.17	25	14	1.50e-04	100.949	 35.262	 1.2
B005	r005	5.0	100.0	   500.0	    11.3	1.0e+02	8.0e-01	0.20	25	16	1.50e-04	101.120	 25.563	 1.3
B006	r000	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.05	25	11	1.58e-04	 97.678	334.795	 1.0
B006	r001	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.08	25	11	1.59e-04	 96.789	145.502	 0.9
B006	r002	5.0	100.0	   500.0	    34.4	1.0e+02	8.0e-01	0.11	25	11	1.59e-04	 97.262	 78.181	 0.9
B006	r003	5.0	100.0	   500.0	    27.5	1.0e+02	8.0e-01	0.14	25	12	1.58e-04	 97.716	 48.716	 1.0
B006	r004	5.0	100.0	   500.0	    17.6	1.0e+02	8.0e-01	0.17	25	14	1.58e-04	 97.844	 33.126	 1.2
B006	r005	5.0	100.0	   500.0	    14.1	1.0e+02	8.0e-01	0.20	25	15	1.58e-04	 98.344	 24.179	 1.2
