,thk_00,thk_01,thk_02,thk_03,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,c_00,c_01,c_02,c_03,c_04
dB/dt tg01,4.761276704515715e-06,1.2155560659480971e-06,1.3155261579803454e-06,-1.5806930818819673e-06,-3.621818581500545e-08,-5.670275682281377e-10,-5.946333226077432e-10,6.964089396307957e-09,-4.6576488094182165e-08,-0.0006818864993465316,3.4753451968873712e-06,3.7617099335833654e-06,-1.7620951883740606e-05,0.00027693346355405347,-0.13564773070178043,4.653056108640997e-05,3.4047959572285496e-05,-5.763584380555311,0.1457903441020015,-1.5617011291083988e-06,-2.7052885704672235e-07,-6.491467208943083e-07,-6.317791036264457e-05,-2.8336551939767322e-05
dB/dt tg02,4.769237783051569e-06,2.049980503024807e-06,2.0380381319793227e-06,-1.7074729326128574e-06,-3.613179988278499e-08,-6.43100080017816e-10,-7.515991146412406e-10,4.36936495209203e-09,-3.06013257970983e-08,-0.00042863310437708715,3.911432803663889e-06,4.639810216087117e-06,5.5642466000152176e-05,0.00017635442795552994,-0.11047148486303769,3.8596046409069676e-05,2.8473062150534837e-05,-5.605510447408912,0.09560580234585012,-1.1129818929375072e-06,-4.1491100623995316e-07,-9.173981491907808e-07,3.641966556981603e-05,-1.8649566405804468e-05
dB/dt tg03,1.1661473785846603e-06,6.370706139213469e-07,6.61429173136254e-07,-7.078583843726176e-07,-1.836411428723815e-09,-1.911112318690208e-10,-2.1231210049959862e-10,3.199751692440885e-09,-2.1302166204874636e-08,-0.00031870404026461435,1.0587464554469587e-06,1.2756010556682531e-06,1.3516531278963358e-06,0.00011952077387197654,-0.10286112378212223,3.304451170729615e-05,2.443528072902819e-05,-2.4110109015034005,0.06642197462977138,1.0410024786120936e-07,2.2036682993969862e-08,-1.6130259851009144e-07,-1.850200509788928e-05,-1.300152784099833e-05
dB/dt tg04,-1.0880646749706004e-06,-3.3544897333507304e-07,-2.858428809147088e-07,-8.687735876164463e-09,1.8231145378492688e-08,1.0453243516233512e-10,1.431723509961674e-10,2.209276846920041e-09,-1.3784256248766754e-08,-0.00022624956398070584,-7.935881414515478e-07,-9.337573232012583e-07,-3.538543025465805e-05,7.496658247935834e-05,-0.08703547775044006,2.7569767290516686e-05,2.0358303687458563e-05,-0.20627053860187994,0.04283524675717253,8.077775526068765e-07,2.9308561634355065e-07,3.270502798993361e-07,-5.441303573076481e-05,-8.42536292660344e-06
dB/dt tg05,5.504698106571794e-07,4.313146467193088e-07,4.276500480301903e-07,-3.546050380266032e-07,-2.8105751058541224e-10,-1.0192431117440497e-10,-1.2240192229143643e-10,1.2146169915698667e-09,-8.366199964301283e-09,-0.0001298144388105457,5.23398385030446e-07,7.033568989450469e-07,1.0909733195713153e-05,4.38486589155996e-05,-0.05674541921003843,2.257736811145598e-05,1.6585090303276217e-05,-1.1590192104638117,0.025840420646308572,2.903156680992606e-07,3.3535607860084845e-08,-8.606657589231855e-08,4.7021221620512175e-06,-5.118574671592898e-06
dB/dt tg06,6.417915516980001e-07,4.477186877722707e-07,4.3607684299784537e-07,-3.2038339953800315e-07,-2.593936346733075e-09,-1.0688697649817085e-10,-1.3159901338010292e-10,7.701450977995987e-10,-5.521852836387355e-09,-8.563244891453739e-05,5.69393859384848e-07,7.631492286861061e-07,1.557885011637617e-05,2.801974196971056e-05,-0.041595578624375754,1.924814121158161e-05,1.4044519168050106e-05,-1.0210485055028382,0.016953824127169944,2.0734528922217293e-07,2.338960511658916e-09,-1.1683327767528362e-07,1.290003620703621e-05,-3.380304118051937e-06
dB/dt tg07,-7.765977781576446e-10,1.2007712546770327e-07,1.210694025289522e-07,-1.0937566983112105e-07,2.876850316546506e-09,-1.7611912496010046e-11,-2.1330260447855475e-11,5.805958718295928e-10,-3.883631459756511e-09,-6.607890212911373e-05,1.9058708229984697e-08,8.643035929026228e-08,1.2027505549163956e-06,1.9152453528886364e-05,-0.03455271022608233,1.6885845069219742e-05,1.2232301984944401e-05,-0.37365425894056786,0.011860185244385844,3.4345971924814234e-07,7.941282960027478e-08,3.1607342108181906e-08,-2.2520389078307496e-06,-2.378465838785827e-06
dB/dt tg08,-2.9521540544955747e-07,-4.7350904897862065e-08,-4.0715955802098545e-08,5.479714555697961e-09,4.9685406464182894e-09,2.6059393172364707e-11,3.2445672625273985e-11,4.0396125279439535e-10,-2.527285290509473e-09,-4.7264988665831976e-05,-2.4298506021343473e-07,-2.40166269770656e-07,-5.665973658798324e-06,1.2009094850147918e-05,-0.02660970498002326,1.4469235840762507e-05,1.0373322312315398e-05,-0.01573064152438963,0.007658734782541787,3.6809758452832345e-07,1.0786389141695241e-07,9.782028550595994e-08,-8.919137320158176e-06,-1.5480962967485674e-06
dB/dt tg09,-1.0110093134615655e-07,1.6337842736330062e-08,1.7810472038253457e-08,-2.050578935070692e-08,2.36163590292955e-09,5.102518835599386e-12,5.836329317813134e-12,2.3969408725161745e-10,-1.542382983775166e-09,-2.941457755504136e-05,-9.818757584688607e-08,-6.9876384467833e-08,-1.2008194241567667e-06,7.004772376799118e-06,-0.018042095270234815,1.2186583602170921e-05,8.614961236645362e-06,-0.08153169178949085,0.004622787208041307,2.4762897737031793e-07,6.893246756815324e-08,4.805567255392704e-08,-2.8015339055466868e-06,-9.443150954967907e-07
dB/dt tg10,1.0247692005085128e-07,9.462111021265568e-08,9.10453523594361e-08,-6.21514023843805e-08,-5.6188668029397206e-11,-1.8884914356380324e-11,-2.429752837395979e-11,1.442248773859023e-10,-1.0236417430069418e-09,-1.878915148964721e-05,6.190912757116664e-08,1.2067275324058239e-07,3.551319582753981e-06,4.467136925737954e-06,-0.01250504756356328,1.0612844463526119e-05,7.4033552688105894e-06,-0.19949115120506533,0.003034583463724556,1.432779785696146e-07,3.228862780606942e-08,-3.123726807299279e-09,3.1762422747142305e-06,-6.260808086517024e-07
dB/dt tg11,7.127279590420876e-08,6.876631952895924e-08,6.597243957882523e-08,-4.446721372697408e-08,1.0546597879867085e-11,-1.3175318824760019e-11,-1.7186001736253126e-11,1.0228934678142584e-10,-7.211131904982273e-10,-1.3771654051413653e-05,3.2610579737413756e-08,8.021901161460057e-08,2.6041653734325345e-06,3.0315442060406895e-06,-0.009638245278643017,9.46105650418102e-06,6.518459585123928e-06,-0.14302042233027618,0.002116464018251722,1.2070736459976282e-07,3.050076134459384e-08,2.0738506119731217e-09,2.3571540031058158e-06,-4.4061040544408493e-07
dB/dt tg12,-6.926569787488644e-08,-7.508400373985349e-09,-6.761934649683869e-09,2.492867578126046e-09,1.1933171636063988e-09,6.633862764103991e-12,7.60925023996131e-12,7.772550812337119e-11,-4.687874922987313e-10,-1.045444858085481e-05,-8.509452433364619e-08,-6.911745912129663e-08,-1.0408960779104953e-06,1.8730457657051475e-06,-0.007481910079523513,8.240308041073773e-06,5.583863246360469e-06,0.000282499262003867,0.0013582201417684512,1.3001386653641157e-07,4.3546702142822464e-08,3.29325677765313e-08,-1.6277036079870703e-06,-2.860593757165869e-07
dB/dt tg13,-5.306546732130436e-08,-8.35111316731047e-09,-7.79548071866591e-09,4.0230111483847505e-09,8.632012591762583e-10,5.64335680039282e-12,6.419458337668324e-12,4.89948591136662e-11,-2.858531697403623e-10,-6.828686674864056e-06,-7.207161565923677e-08,-5.8119609208478053e-08,-8.397521357080917e-07,1.0713711447932567e-06,-0.005152752833817139,7.050486364589162e-06,4.678347547299531e-06,0.007383207026866543,0.0008134390131400447,9.643630795011696e-08,3.498465756469409e-08,2.6371872732938577e-08,-1.2266106903474475e-06,-1.739910647058795e-07
dB/dt tg14,3.445645922861496e-09,1.331682637711877e-08,1.2591655181570372e-08,-8.314178884555755e-09,2.0242411896749195e-10,-1.1326873804620674e-12,-2.003266823466625e-12,2.929597481188982e-11,-1.890385927514071e-10,-4.381106390286993e-06,-2.458990514287351e-08,-3.5104235186848357e-09,4.1760395107735827e-07,6.686550224725414e-07,-0.0035612819604917264,6.192198006995564e-06,4.030514035858098e-06,-0.027996363890770037,0.000528438474361193,6.104878710397483e-08,2.2620496975291982e-08,1.0838710165644094e-08,3.1347281461901263e-07,-1.147126894197624e-07
dB/dt tg15,1.4278357426647713e-08,1.5484828050299954e-08,1.4522767028652804e-08,-9.292369722561181e-09,3.308114835001098e-11,-2.207447964791079e-12,-3.2997625085232184e-12,1.9821764451357434e-11,-1.330190538756492e-10,-3.112398258704696e-06,-1.4274102982158325e-08,6.427221242649894e-09,6.020189629860669e-07,4.452069729661153e-07,-0.002661702780591752,5.547308928532469e-06,3.548162091602543e-06,-0.03007913375277071,0.00036573433892647406,4.517984172565524e-08,1.779201945552667e-08,6.634231076566684e-09,5.738194727359251e-07,-8.048153999457768e-08
dB/dt tg16,-2.878392312745302e-10,5.802569633383892e-09,5.33395538116514e-09,-3.4281411625825417e-09,1.2349150978832643e-10,6.168555047512361e-15,-4.732329985449573e-13,1.3702028516270974e-11,-8.439726488913365e-11,-2.181469730611785e-06,-2.4226544035181672e-08,-8.848493659349376e-09,1.6711515371061236e-07,2.6030290845506097e-07,-0.0019146432625101399,4.80580771983548e-06,3.0000795489245117e-06,-0.011806225954470648,0.00022674068749933056,3.670153028163708e-08,1.6144784683200722e-08,8.261351855661321e-09,1.1582180123806786e-07,-5.084892438943603e-08
dB/dt tg17,-1.6033981672446176e-08,-3.814461875948225e-09,-3.6937696178457807e-09,2.2221937994873955e-09,2.4259534860911574e-10,2.282056198031861e-12,2.4296477071851636e-12,1.0012337110976947e-11,-5.14731282690196e-11,-1.5644475860551332e-06,-3.486319131996224e-08,-2.4764651827938633e-08,-2.788372243274869e-07,1.4291948430002608e-07,-0.0013727284297547202,4.098061268072913e-06,2.4859080009749887e-06,0.005634068525830875,0.00013444437616481534,3.109898904026541e-08,1.5013933186880618e-08,1.0317157345596157e-08,-3.652025132724385e-07,-3.084702623338664e-08
